Endergebnis der Landtagswahl vom 22. März 2026 (Stimmbezirksebene);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Identifikationsschlüssel;"Stimm
bezirk-Id";"Stimmbezirks-
kennzeichen";Bezeichnung;"GUW 
(Gesamt, Urnenwahl,
Wahlschein/Briefwahl)";"Stimmbezirk für repr.
Wahlstatistik";A;A1;A2;A3;B;B1;Wahlbeteiligung;"ungültige 
Wahlkreisstimmen";"ungültige 
Wahlkreisstimmen Prozent";"gültige 
Wahlkreis-
stimmen";"gültige Wahlkreis-
stimmen 
Prozent";SPD;SPD Prozent;CDU;CDU Prozent;GRÜNE;GRÜNE Prozent;AfD;AfD Prozent;FDP;FDP Prozent;FREIE WÄHLER;FREIE WÄHLER Prozent;Die Linke;Die Linke Prozent;Tierschutzpartei;Tierschutzpartei Prozent;Volt;Volt Prozent;ÖDP;ÖDP Prozent;BSW;BSW Prozent;PdH;PdH Prozent;Bastian Ruhl;Bastian Ruhl Prozent;Team Todenhöfer;Team Todenhöfer Prozent;Yunus Emre;Yunus Emre Prozent;Die PARTEI;Die PARTEI Prozent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ungültige Landesstimmen;ungültige Landesstimmen Prozent;gültige Landesstimmen;gültige Landesstimmen Prozent;SPD;SPD Prozent;CDU;CDU Prozent;GRÜNE;GRÜNE Prozent;AfD;AfD Prozent;FDP;FDP Prozent;FREIE WÄHLER;FREIE WÄHLER Prozent;Die Linke;Die Linke Prozent;Tierschutzpartei;Tierschutzpartei Prozent;Volt;Volt Prozent;ÖDP;ÖDP Prozent;BSW;BSW Prozent;PdH;PdH Prozent;Bastian Ruhl;Bastian Ruhl Prozent;Team Todenhöfer;Team Todenhöfer Prozent;Yunus Emre;Yunus Emre Prozent;Die PARTEI;Die PARTEI Prozent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Berechnung Wahlbeteiligung;Zusammenlegung Abgabe Identifikationsschlüssel;Zusammenlegung Grund;Zusammenlegung Aufnahme
0;0;LD;Rheinland-Pfalz;G;0;2990064;1945079;1044945;40;2046542;983927;68,4;24020;1,2;2022522;98,8;548727;27,1;675037;33,4;160126;7,9;383251;18,9;50088;2,5;83051;4,1;76967;3,8;6389;0,3;13675;0,7;8277;0,4;15263;0,8;;;250;0;531;0;374;0;516;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18312;0,9;2028230;99,1;525807;25,9;627954;31;160073;7,9;394756;19,5;42063;2,1;84972;4,2;88983;4,4;32733;1,6;22099;1,1;9173;0,5;37804;1,9;1813;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
1110000000;0;KS;Koblenz, Kreisfreie Stadt;G;0;79627;51672;27955;0;50005;26328;62,8;535;1,1;49470;98,9;13470;27,2;15172;30,7;6141;12,4;6370;12,9;1185;2,4;2657;5,4;3266;6,6;;;983;2;;;226;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;326;0,7;49679;99,3;12641;25,4;15366;30,9;6305;12,7;6552;13,2;1115;2,2;1398;2,8;3758;7,6;697;1,4;756;1,5;187;0,4;849;1,7;55;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
1310000000;0;LK;Ahrweiler, Landkreis;G;0;98407;61883;36524;0;66316;33968;67,4;784;1,2;65532;98,8;14163;21,6;29228;44,6;5910;9;9760;14,9;1968;3;;;2371;3,6;;;784;1,2;831;1,3;517;0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;595;0,9;65721;99,1;14225;21,6;25965;39,5;6067;9,2;9914;15,1;1572;2,4;2549;3,9;2412;3,7;933;1,4;708;1,1;405;0,6;929;1,4;42;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
1320000000;0;LK;Altenkirchen, Landkreis;G;0;97868;66216;31652;0;64352;29348;65,8;604;0,9;63748;99,1;15359;24,1;25124;39,4;3494;5,5;13371;21;2044;3,2;1332;2,1;2345;3,7;;;;;;;679;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;457;0,7;63895;99,3;14702;23;22486;35,2;3600;5,6;14078;22;1383;2,2;2002;3,1;2422;3,8;1046;1,6;502;0,8;229;0,4;1407;2,2;38;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
1330000000;0;LK;Bad Kreuznach, Landkreis;G;0;117451;80048;37403;0;79580;35207;67,8;1337;1,7;78243;98,3;23815;30,4;26251;33,6;5470;7;16352;20,9;2697;3,4;;;3658;4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;764;1;78816;99;21873;27,8;24030;30,5;5427;6,9;16114;20,4;1840;2,3;2527;3,2;3157;4;1268;1,6;766;1;320;0,4;1409;1,8;85;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
1370000000;0;LK;Mayen-Koblenz, Landkreis;G;0;162838;103514;59323;1;107720;55586;66,2;1319;1,2;106401;98,8;27291;25,6;40679;38,2;8099;7,6;20036;18,8;2482;2,3;3066;2,9;3855;3,6;893;0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;962;0,9;106758;99,1;26156;24,5;37534;35,2;7529;7,1;20191;18,9;2078;1,9;4465;4,2;4022;3,8;1645;1,5;897;0,8;420;0,4;1730;1,6;91;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
1380000000;0;LK;Neuwied, Landkreis;G;0;137079;91595;45464;20;85928;42486;62,7;965;1,1;84963;98,9;21896;25,8;29920;35,2;7464;8,8;17114;20,1;1431;1,7;4323;5,1;;;;;1774;2,1;;;1041;1,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;683;0,8;85245;99,2;20707;24,3;28755;33,7;6196;7,3;17401;20,4;1530;1,8;2981;3,5;3303;3,9;1338;1,6;952;1,1;299;0,4;1706;2;77;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
1400000000;0;LK;Rhein-Hunsrück-Kreis, Landkreis;G;0;79516;52201;27315;0;57396;25689;72,2;680;1,2;56716;98,8;13019;23;20364;35,9;3334;5,9;11537;20,3;1390;2,5;3015;5,3;1902;3,4;;;550;1;567;1;1038;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;598;1;56798;99;13470;23,7;19053;33,5;3429;6;11828;20,8;1364;2,4;2471;4,4;2086;3,7;796;1,4;601;1,1;388;0,7;1267;2,2;45;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
1410000000;0;LK;Rhein-Lahn-Kreis, Landkreis;G;0;92630;59896;32731;3;63463;30777;68,5;713;1,1;62750;98,9;18299;29,2;18886;30,1;3865;6,2;11853;18,9;988;1,6;5076;8,1;2569;4,1;;;304;0,5;502;0,8;408;0,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;583;0,9;62880;99,1;16662;26,5;18580;29,5;4456;7,1;12371;19,7;1054;1,7;3571;5,7;2710;4,3;1151;1,8;781;1,2;305;0,5;1183;1,9;56;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
1430000000;0;LK;Westerwaldkreis, Landkreis;G;0;153195;100461;52733;1;105420;49754;68,8;1213;1,2;104207;98,8;26656;25,6;38085;36,5;6906;6,6;21109;20,3;3043;2,9;2378;2,3;3606;3,5;1213;1,2;791;0,8;;;;;;;;;420;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;832;0,8;104588;99,2;23964;22,9;36731;35,1;6860;6,6;21349;20,4;2350;2,2;4186;4;3860;3,7;1924;1,8;1086;1;413;0,4;1779;1,7;86;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
