ags,municipality_name,population_census22,share_under18_census22,share_18to29_census22,share_30to49_census22,share_50to59_census22,share_60plus_census22,share_foreign_census22,share_migration_bg_census22,avg_household_size_census22,share_single_family_census22,total_dwellings_census22,vacancy_rate_census22,share_owner_occupied_census22,avg_rent_per_m2_census22
01001000,"Flensburg, Stadt",95015.0,13.8,12.5,47.4,8.3,18.0,15.5,24.7,1.81,99.8,53561.0,2.9,23.6,6.96
01002000,"Kiel, Landeshauptstadt",249132.0,13.4,12.1,49.1,8.2,17.2,12.3,22.1,1.82,99.8,138600.0,2.1,23.6,7.64
01003000,"Lübeck, Hansestadt",215958.0,13.3,9.7,46.7,9.2,21.0,11.4,20.2,1.84,99.9,121193.0,2.9,28.1,7.47
01004000,"Neumünster, Stadt",79625.0,14.2,10.0,45.8,9.5,20.5,11.9,21.2,1.94,99.9,42000.0,3.7,35.5,6.22
01051001,Albersdorf,3717.0,15.8,8.9,43.5,9.8,22.0,8.2,13.5,2.1,100.0,1807.0,3.2,51.5,5.71
01051002,Arkebek,227.0,17.6,11.0,47.1,7.9,13.7,4.8,10.6,2.27,100.0,108.0,,60.2,5.4
01051003,Averlak,568.0,8.8,9.3,48.9,16.0,16.5,2.6,5.1,1.93,100.0,294.0,3.7,72.8,5.12
01051004,Bargenstedt,920.0,16.8,7.5,43.7,10.0,22.6,1.6,3.8,2.25,100.0,411.0,2.9,69.8,5.55
01051005,Barkenholm,177.0,11.9,,44.1,10.7,27.7,2.3,4.5,,100.0,96.0,3.1,74.0,5.63
01051006,Barlt,763.0,16.6,8.7,44.6,11.5,18.0,5.5,8.4,2.13,100.0,386.0,4.4,69.9,4.89
01051008,Bergewöhrden,35.0,,,40.0,8.6,28.6,,,,100.0,29.0,,44.8,5.51
01051010,Brickeln,191.0,12.0,12.0,51.3,5.8,18.8,2.6,4.7,,100.0,100.0,,68.0,5.73
01051011,"Brunsbüttel, Stadt",12573.0,13.8,8.2,43.1,11.3,23.6,9.2,17.1,1.94,100.0,6702.0,3.6,47.4,5.74
01051012,Buchholz,1001.0,13.8,10.8,46.0,10.0,19.2,2.2,4.5,2.19,100.0,471.0,3.2,65.0,5.0
01051013,Büsum,4911.0,8.4,6.0,34.2,12.5,39.0,8.9,15.9,1.72,100.0,4350.0,4.9,32.2,7.78
01051014,Büsumer Deichhausen,343.0,6.7,4.7,35.9,13.1,40.8,7.0,10.8,,100.0,301.0,2.7,43.2,7.28
01051015,Bunsoh,771.0,13.5,10.0,40.9,10.8,24.5,2.5,4.0,2.03,99.6,387.0,3.4,62.0,5.21
01051016,Burg (Dithmarschen),4150.0,13.2,7.4,40.3,11.0,27.8,3.8,9.9,1.98,100.1,2260.0,3.9,51.2,5.67
01051017,Busenwurth,308.0,15.3,11.0,45.1,11.0,18.2,7.1,8.1,2.13,100.0,160.0,6.9,65.6,4.78
01051019,Dellstedt,718.0,13.6,9.2,44.2,11.1,22.1,1.8,3.3,2.29,100.0,337.0,5.0,67.7,4.94
01051020,Delve,760.0,12.6,8.7,40.0,13.9,24.9,1.4,3.2,1.99,100.0,388.0,1.8,67.0,4.91
01051021,Diekhusen-Fahrstedt,675.0,15.3,8.4,48.3,12.4,15.4,1.8,5.5,,100.0,322.0,2.8,72.4,6.0
01051022,Dingen,648.0,15.4,8.3,46.6,12.5,17.1,2.0,5.2,2.37,100.0,299.0,5.7,79.6,5.89
01051023,Dörpling,637.0,15.2,10.8,44.7,9.7,19.6,1.4,2.8,2.19,100.0,290.0,2.4,70.3,5.1
01051024,Eddelak,1330.0,14.1,9.7,48.9,9.9,17.7,3.1,5.8,2.15,100.0,652.0,2.8,68.6,4.83
01051026,Eggstedt,761.0,11.3,8.9,47.8,10.8,20.8,2.5,6.2,2.08,100.0,382.0,2.4,74.6,4.97
01051027,Elpersbüttel,851.0,13.7,8.6,49.8,8.5,19.0,3.6,7.1,2.16,100.0,430.0,2.8,70.5,5.8
01051028,Epenwöhrden,766.0,17.1,8.5,47.3,9.7,17.4,5.6,8.7,2.1,100.0,375.0,2.7,69.3,6.94
01051030,Fedderingen,265.0,10.6,10.9,48.3,11.7,17.7,1.5,4.9,,100.0,123.0,2.4,79.7,4.27
01051032,Frestedt,337.0,9.2,9.8,49.6,11.3,22.0,0.9,1.8,,100.0,188.0,2.7,69.7,5.12
01051033,Friedrichsgabekoog,52.0,34.6,,48.1,15.4,,5.8,7.7,,100.0,32.0,25.0,56.2,4.66
01051034,Friedrichskoog,2403.0,10.0,7.6,40.9,12.8,28.3,6.7,9.7,1.93,100.0,1871.0,4.8,49.8,6.1
01051035,Gaushorn,175.0,13.1,5.1,46.3,12.0,18.9,,8.6,2.09,100.0,93.0,5.4,68.8,6.09
01051036,Glüsing,107.0,,,38.3,11.2,28.0,12.1,12.1,,100.0,60.0,5.0,58.3,4.48
01051037,Großenrade,482.0,16.0,9.1,45.6,10.2,20.7,2.1,5.4,,100.0,231.0,1.7,71.9,4.9
01051038,Groven,90.0,,16.7,35.6,5.6,24.4,10.0,11.1,,100.0,53.0,15.1,41.5,5.23
01051039,Gudendorf,428.0,18.5,4.9,46.7,12.1,16.6,9.8,11.4,2.21,100.0,189.0,4.2,75.1,5.2
01051043,Hedwigenkoog,218.0,,12.8,49.1,8.7,13.8,12.4,14.2,2.4,100.0,112.0,6.2,58.0,5.93
01051044,"Heide, Stadt",21487.0,13.3,11.7,43.9,9.5,21.7,11.5,20.3,1.8,99.8,12416.0,3.2,35.0,6.68
01051045,Hellschen-Heringsand-Unterschaar,164.0,20.7,13.4,43.3,5.5,16.5,7.3,11.6,,100.0,86.0,3.5,62.8,5.96
01051046,Helse,800.0,13.0,10.2,43.9,12.1,20.1,1.2,6.1,2.17,100.0,407.0,4.2,73.5,5.76
01051047,Hemme,499.0,17.4,5.8,47.5,8.2,19.2,8.4,11.2,1.95,100.0,271.0,4.8,56.5,4.92
01051048,Hemmingstedt,2860.0,16.0,7.8,45.3,10.8,20.1,2.8,8.3,2.14,100.0,1427.0,2.6,67.2,5.87
01051049,Hennstedt,2071.0,13.8,9.9,41.2,10.1,24.7,3.8,6.5,2.05,100.0,1089.0,2.3,58.5,5.78
01051050,Hillgroven,57.0,,15.8,35.1,15.8,29.8,5.3,7.0,,100.0,37.0,,62.2,2.85
01051051,Hochdonn,1124.0,11.7,8.6,46.2,11.8,21.2,1.2,4.5,2.09,100.0,556.0,3.6,74.8,5.09
01051052,Hövede,64.0,,,39.1,10.9,23.4,6.2,10.9,,100.0,27.0,,77.8,
01051053,Hollingstedt,304.0,14.8,9.2,45.1,11.5,20.7,2.3,6.2,,100.0,147.0,5.4,71.4,5.03
01051054,Immenstedt,106.0,,9.4,55.7,6.6,14.2,2.8,2.8,2.59,100.0,47.0,6.4,72.3,4.75
01051057,Kaiser-Wilhelm-Koog,356.0,16.0,9.3,51.7,10.1,12.1,12.9,15.4,2.2,100.0,196.0,6.6,66.8,6.1
01051058,Karolinenkoog,132.0,,11.4,47.0,12.1,20.5,4.5,4.5,,100.0,84.0,4.8,85.7,4.51
01051060,Kleve,413.0,14.0,6.8,42.4,13.6,24.9,1.5,3.1,2.16,100.0,216.0,3.7,73.6,4.63
01051061,Krempel,600.0,13.7,7.5,46.3,10.8,21.7,2.2,4.3,2.2,100.0,292.0,3.4,66.8,5.04
01051062,Kronprinzenkoog,833.0,13.9,9.6,46.3,11.8,18.2,6.6,7.8,2.22,100.0,429.0,4.0,70.2,5.23
01051063,Krumstedt,496.0,10.5,9.9,43.8,12.5,23.8,2.4,4.0,2.09,100.0,248.0,4.0,71.4,5.05
01051064,Kuden,622.0,17.7,6.8,45.2,12.5,18.2,1.9,5.0,2.18,100.0,308.0,3.9,70.8,4.95
01051065,Lehe,1092.0,14.7,5.8,42.3,10.7,25.8,2.7,6.7,2.08,100.0,546.0,2.7,73.1,5.32
01051067,Lieth,381.0,9.2,5.0,35.7,10.8,37.8,1.0,5.0,,100.0,170.0,1.8,60.0,5.53
01051068,Linden,874.0,16.7,7.4,48.7,8.5,18.9,2.3,3.9,2.31,99.7,393.0,2.3,73.3,5.57
01051069,Lohe-Rickelshof,2040.0,13.4,7.6,43.3,10.2,25.0,3.0,8.5,2.05,100.0,1061.0,1.9,58.8,6.62
01051071,Lunden,1727.0,14.1,9.0,43.9,10.4,22.6,11.3,14.4,2.01,100.0,884.0,5.1,44.7,4.93
01051072,"Marne, Stadt",5766.0,13.7,9.5,41.8,10.2,24.7,7.6,12.8,1.96,100.0,3086.0,3.2,49.4,6.0
01051073,Marnerdeich,395.0,20.0,7.3,42.8,11.1,20.0,3.8,8.6,2.28,100.0,183.0,2.2,67.8,5.81
01051074,"Meldorf, Stadt",7180.0,13.1,9.0,41.5,12.2,24.2,6.6,12.6,1.94,100.0,3920.0,3.4,48.4,5.94
01051075,Neuenkirchen,934.0,14.3,9.9,46.4,11.5,17.0,7.7,8.9,2.25,100.0,473.0,4.0,68.9,5.12
01051076,Neufeld,613.0,18.1,8.3,44.4,12.7,17.5,6.2,8.6,2.37,100.0,308.0,7.1,74.4,5.37
01051077,Neufelderkoog,116.0,,12.9,44.0,7.8,29.3,7.8,6.0,,100.0,52.0,,78.8,3.74
01051078,Nindorf,1095.0,15.7,7.0,46.2,11.3,19.8,1.6,4.3,2.22,100.0,525.0,3.0,77.7,5.53
01051079,Norddeich,434.0,16.8,11.1,41.5,12.0,18.0,9.2,13.1,2.19,100.0,222.0,3.2,63.5,5.2
01051080,Norderheistedt,131.0,15.3,12.2,48.1,17.6,14.5,4.6,5.3,,100.0,59.0,,59.3,5.9
01051081,Norderwöhrden,262.0,17.2,8.4,42.0,13.0,20.2,7.6,9.5,2.26,100.0,115.0,,73.9,5.1
01051082,Nordhastedt,2803.0,15.6,8.7,46.2,9.6,19.8,4.3,8.0,2.21,100.0,1330.0,2.6,63.9,6.04
01051083,Odderade,325.0,13.5,7.7,51.4,9.5,18.2,1.2,3.1,,100.0,166.0,4.2,65.1,4.9
01051084,Oesterdeichstrich,310.0,21.0,16.1,39.4,9.0,16.1,23.2,23.9,2.39,100.0,136.0,7.4,58.8,5.28
01051085,Offenbüttel,263.0,17.1,6.1,41.8,15.6,19.0,2.7,3.8,2.4,100.0,126.0,,73.8,5.07
01051086,Osterrade,412.0,14.3,9.0,43.4,15.5,18.0,2.9,5.1,2.25,100.0,202.0,4.5,69.3,4.73
01051087,Ostrohe,867.0,12.5,7.0,42.3,14.0,24.0,2.2,5.4,,100.0,437.0,2.3,71.2,6.2
01051088,Pahlen,1171.0,14.9,10.0,45.9,8.9,20.0,1.8,4.4,2.25,100.5,555.0,3.8,60.7,5.61
01051089,Quickborn,188.0,14.4,6.4,46.3,17.0,19.1,5.9,7.4,,100.0,90.0,3.3,74.4,4.88
01051090,Ramhusen,160.0,20.0,6.2,47.5,15.6,11.9,1.9,3.1,,100.0,70.0,4.3,78.6,5.23
01051092,Rehm-Flehde-Bargen,539.0,13.4,7.8,48.6,10.0,20.4,5.2,6.7,2.24,100.0,263.0,3.0,68.8,5.16
01051093,Reinsbüttel,389.0,18.3,11.1,42.7,12.1,15.9,3.3,4.4,2.27,100.0,188.0,5.3,73.9,6.28
01051096,Sankt Annen,311.0,17.4,8.7,41.5,13.8,20.6,1.0,2.9,2.23,100.0,163.0,3.1,66.9,4.88
01051097,Sankt Michaelisdonn,3539.0,13.5,8.5,42.1,11.0,24.8,3.8,9.6,2.04,100.0,1797.0,2.7,59.1,5.88
01051098,Sarzbüttel,707.0,11.3,9.9,47.1,11.2,20.8,1.6,4.1,2.21,100.0,354.0,4.5,74.3,5.29
01051099,Schafstedt,1280.0,13.8,7.9,47.4,10.5,20.9,3.0,6.1,2.13,100.0,650.0,2.5,66.0,5.15
