county_code,year,share_65plus,median_age,share_foreign,share_female,gdp_per_capita,share_primary_sector,share_secondary_sector,share_tertiary_sector,share_micro_enterprises,share_large_enterprises,unemployment_rate,share_longterm_unemployed,youth_unemployment_rate,share_abitur,share_no_degree,students_per_100,apprentices_per_100,purchasing_power,share_low_income_hh,physician_density,hospital_beds_per_capita,gp_density,childcare_under3,childcare_3to6,building_permits_per_capita,rent_level,living_space_per_capita,cars_per_capita,municipal_debt_per_capita,tax_revenue_per_capita
01001,1995.0,17.45,40.22,7.76,51.88,30.35,,,,,,,25.41,,32.79,8.14,62.54,,,,,,,,,2.43,,,437.11,,469.05
01001,1996.0,17.41,40.39,8.33,51.86,30.08,,,,,,,23.16,,30.4,7.9,58.4,,,,,,,,,3.58,,,444.73,,522.86
01001,1997.0,17.37,40.56,10.23,51.69,32.34,,,,,,,29.36,,32.42,7.61,57.81,,,,,,,,,3.9,,,452.53,,475.4
01001,1998.0,17.38,40.77,8.45,51.73,34.34,,,,,,14.6,39.71,,28.48,8.89,56.17,,,,,,,,,6.17,,,457.0,,524.75
01001,1999.0,17.54,40.93,8.65,51.72,32.49,,,,,,13.0,39.3,,32.88,8.82,58.28,,,,,,,,,4.93,,,454.05,,550.08
01001,2000.0,17.61,40.97,8.32,51.68,29.51,0.03,24.36,75.61,,,11.84,34.51,,33.91,7.27,58.76,,,,,,,,,2.5,,,454.35,,511.62
01001,2001.0,17.81,41.03,8.24,51.58,29.18,0.03,20.92,79.05,,,12.12,28.7,,30.59,8.45,65.37,,,,,,,,,3.36,,,466.07,,463.49
01001,2002.0,18.15,41.13,8.17,51.6,31.12,0.02,24.17,75.81,,,12.09,29.8,,31.77,10.61,69.15,,,,,,,,,2.88,,,472.81,,431.42
01001,2003.0,18.44,41.18,8.14,51.44,31.71,0.02,25.23,74.75,,,13.68,31.19,,31.04,7.54,73.08,,,,,,,,,2.32,,,471.28,,431.85
01001,2004.0,18.76,41.2,8.21,51.24,33.44,0.02,27.97,72.01,,,14.02,36.1,,32.74,8.63,73.41,,,,,10.09,,,,2.29,,,472.31,,473.53
01001,2005.0,19.11,41.25,8.23,51.25,33.7,0.02,25.63,74.35,,,18.28,33.23,,35.79,9.29,75.22,,,,,10.2,,,,3.42,,,523.86,,475.88
01001,2006.0,19.41,41.38,8.15,51.1,34.88,0.02,25.78,74.2,86.43,0.51,15.39,42.54,,33.81,8.9,74.85,,,,,9.87,,8.94,89.73,3.15,,,607.15,,542.58
01001,2007.0,19.36,41.31,8.05,50.83,34.76,0.02,25.42,74.55,86.12,0.48,12.5,34.99,,36.11,9.01,72.18,,,,,9.74,,8.73,85.46,1.83,,,598.39,,596.46
01001,2008.0,19.4,41.34,8.18,50.66,35.01,0.03,23.27,76.7,85.88,0.48,11.46,29.59,11.46,38.46,7.22,71.16,,,,,9.64,,10.4,86.12,1.17,,,418.3,,572.0
01001,2009.0,19.6,41.52,7.83,50.68,33.83,0.02,18.72,81.26,85.91,0.44,12.94,25.57,11.68,41.8,7.17,73.2,,,,,9.89,,16.09,87.25,1.34,,,428.72,,525.42
01001,2010.0,19.56,41.63,7.72,50.7,33.95,0.02,19.42,80.57,85.46,0.41,12.7,28.83,11.38,42.76,6.7,74.9,12.95,,,,9.37,,17.9,90.67,2.2,5.35,,436.73,895.26,495.34
01001,2011.0,20.61,42.57,6.29,50.83,36.81,0.05,20.06,79.9,85.29,0.44,11.89,30.61,10.83,45.06,6.77,92.03,13.64,,,,10.27,,26.71,98.59,3.86,5.5,45.58,476.9,1138.33,599.33
01001,2012.0,20.63,42.54,6.52,50.84,37.44,0.03,20.34,79.64,84.88,0.49,11.34,31.93,10.53,42.28,6.11,92.42,12.2,,,,10.16,,28.38,98.43,3.08,5.65,45.45,472.47,1326.3,636.53
01001,2013.0,20.62,42.59,7.02,50.76,37.58,0.03,20.38,79.59,84.07,0.59,11.1,33.81,10.0,42.51,7.57,92.48,12.45,19570.15,35.87,,10.12,,30.89,99.66,2.99,5.84,45.47,474.45,1359.0,643.31
01001,2014.0,20.61,42.63,7.92,50.62,37.58,0.04,18.97,80.99,84.54,0.54,10.55,36.43,10.08,40.97,6.07,92.47,12.63,19920.07,35.67,,10.19,,33.77,98.06,3.8,5.96,45.25,474.44,1488.57,595.51
01001,2015.0,20.45,42.47,9.68,50.24,39.19,0.04,20.94,79.02,83.12,0.62,9.96,36.24,9.02,44.16,8.53,91.04,12.45,20233.58,35.24,22.78,9.88,7.21,34.76,92.68,4.05,6.0,44.89,475.54,1308.14,674.35
01001,2016.0,20.29,42.27,11.72,50.11,39.54,0.03,21.35,78.63,83.5,0.63,9.03,32.73,8.74,59.3,5.18,89.9,12.12,20823.11,34.75,22.13,9.47,7.61,33.17,95.4,7.37,6.52,44.43,473.97,1486.22,727.31
