county,year,Arbeitslosenquote_inkar,Zuzugsrate_inkar,Fortzugsrate_inkar,Haushaltseinkommen_inkar,Asylbewerber_inkar
1001,1998,14.6,70.15,78.3,,
1001,1999,13,74.71,75.57,,
1001,2000,11.84,74.44,74.89,1178.74,
1001,2001,12.12,73.19,68.87,1202.25,
1001,2002,12.09,75.68,71.07,1200.55,
1001,2003,13.68,80.22,70.12,1219.32,
1001,2004,14.02,82.87,75.25,1212.81,
1001,2005,18.28,76.49,70.63,1269.74,
1001,2006,15.39,80.57,72.56,1311.96,
1001,2007,12.5,82.35,67.6,1357.65,
1001,2008,11.46,83.04,70.35,1347.27,
1001,2009,12.94,75.08,75.84,1346.54,
1001,2010,12.7,76.13,72.16,1331.17,1.17
1001,2011,11.89,87.28,77.89,1457.59,1.84
1001,2012,11.34,91.51,82.5,1491.13,2.02
1001,2013,11.1,91.71,83.12,1493.48,2.88
1001,2014,10.55,96.3,84.95,1491.99,4.92
1001,2015,9.96,100.88,84.29,1507.52,13.44
1001,2016,9.03,107.67,89.06,1487.67,12.62
1001,2017,8.95,99.32,85,1509.8,6.26
1001,2018,8.31,99.84,85,1553.89,5.62
1001,2019,7.96,98.74,89.16,1588.66,5.27
1001,2020,9.06,84.6,84.24,,4.78
1001,1995,,73.41,79.93,,
1001,1996,,67.84,74.79,,
1001,1997,,66.88,78.47,,
1002,1998,13.9,54.22,65.94,,
1002,1999,12.88,55.63,69.2,,
1002,2000,11.31,61.81,65.11,1187,
1002,2001,11.12,62.28,61.89,1224.02,
1002,2002,11.69,69.1,63.31,1225.67,
1002,2003,13.42,61.7,61.23,1259.87,
1002,2004,13.61,65.49,62.77,1262.26,
1002,2005,16.9,63.54,57.52,1293.39,
1002,2006,14.73,65.69,60.44,1307.05,
1002,2007,12.63,66.3,58.93,1335.76,
1002,2008,11.39,63.38,59.69,1356.87,
1002,2009,10.9,62.59,58.36,1364.78,
1002,2010,10.75,63,57.05,1369.7,1.62
1002,2011,11.06,69.93,58.91,1414.79,1.69
1002,2012,10.12,69.27,59.33,1444.68,2.48
1002,2013,10.2,67.71,60.26,1486.06,3.05
1002,2014,10.08,69.67,63.5,1465.81,5.48
1002,2015,9.87,78.81,66.66,1495.32,4.95
1002,2016,9.66,80.47,71.35,1524.34,10.18
1002,2017,9.08,63.51,61.95,1544.33,5.41
1002,2018,8.18,64.05,63.31,1606.34,5.3
1002,2019,7.59,59.3,62.22,1659.68,5.49
1002,2020,8.48,60.69,59.7,,5.37
1002,1995,,62.5,63.04,,
1002,1996,,54.54,62.94,,
1002,1997,,54.89,66.2,,
1003,1998,13.41,55.23,58.55,,
1003,1999,13.42,58.97,59.1,,
1003,2000,12.6,57.37,54.36,1205.55,
1003,2001,12.26,60.71,57.05,1248,
1003,2002,12.62,60.67,57.75,1266.73,
1003,2003,13.68,56.84,55.19,1326.17,
1003,2004,13.98,55.11,55.42,1349.45,
1003,2005,18.31,55.07,51.69,1378.74,
1003,2006,15.23,50,49.68,1393.92,
1003,2007,13.12,52.73,47.49,1409.5,
1003,2008,12.22,50.57,49.95,1422.73,
1003,2009,12.29,57.17,58.27,1424.41,
1003,2010,11.17,53.17,47.2,1416.99,0.96
1003,2011,11.01,54.59,48.15,1444.91,1.29
1003,2012,10.42,54.9,46.23,1481.65,1.72
1003,2013,10.4,56.99,46.73,1489.36,2.78
1003,2014,10.13,57.95,48.03,1507.65,4.95
1003,2015,9.9,60.18,47.54,1572.58,14
1003,2016,9.07,65.08,59.8,1579.43,10.71
1003,2017,8.6,47.97,46.27,1639.28,5.88
1003,2018,7.78,55.42,47.51,1697.02,5.71
1003,2019,7.28,51.35,49.94,1755.01,5.59
1003,2020,8.14,49.69,47.75,,5.79
1003,1995,,51.31,46.74,,
1003,1996,,48.19,50.67,,
1003,1997,,52.22,50.89,,
1004,1998,13.45,42.39,47.92,,
1004,1999,13.39,53.2,57.86,,
1004,2000,12.2,51.61,55.39,1237.31,
1004,2001,11.79,58.06,58.6,1296.23,
1004,2002,12.07,56.51,54.88,1273.2,
1004,2003,13.4,47.31,51.23,1286.54,
1004,2004,13.52,48.14,50.19,1260.77,
1004,2005,15.65,44.09,46.89,1296.05,
1004,2006,14.36,44.33,43.78,1315.24,
1004,2007,11.63,44.55,46.07,1344.6,
1004,2008,11,46.01,49.26,1356.21,
1004,2009,11.33,49.55,48.45,1358.52,
1004,2010,11.47,58.66,55.58,1352.76,5.21
1004,2011,11.23,69,63.5,1375.46,5.03
1004,2012,11.03,77.69,77.27,1422.11,3.7
1004,2013,11.1,97.56,92.46,1448.35,5.45
1004,2014,10.92,140.61,130.1,1488.98,7.91
1004,2015,10.23,187.57,164.4,1489.35,70.31
1004,2016,9.56,139.9,133.9,1551.41,15.84
1004,2017,9.21,80.37,79.35,1546.79,20.27
1004,2018,8.34,80.43,73.04,1601.54,19.85
1004,2019,7.9,83.87,72.05,1640.46,20.96
1004,2020,8.92,67.24,66.08,,22.84
1004,1995,,42.63,40.44,,
1004,1996,,40.28,41.18,,
1004,1997,,38.77,43.58,,
1051,1998,10.7,34.6,28.25,,
1051,1999,10.02,33.68,29.57,,
1051,2000,8.99,32.34,29.91,1165.73,
1051,2001,9.25,31.58,28.28,1216.41,
1051,2002,9.2,31.3,28.83,1220.31,
1051,2003,10.5,30.86,28.31,1269.66,
1051,2004,11.14,31.18,28.59,1310.53,
1051,2005,13.74,29.79,27.94,1335.31,
1051,2006,11.78,28.61,27.86,1354.74,
1051,2007,10.01,28.79,27.94,1391.43,
1051,2008,9.66,29.07,29.43,1435.3,
1051,2009,9.64,31.47,30.25,1436.27,
1051,2010,8.48,31.06,30.37,1463.32,1.58
1051,2011,8.45,32.83,32.63,1533.62,1.61
1051,2012,8.04,35.25,34.01,1581.76,2.12
1051,2013,7.6,37.81,34.49,1623.89,2.98
1051,2014,7.38,39.83,34.94,1671.9,5
1051,2015,7.34,43.06,34.92,1738.2,14.06
1051,2016,7.19,52.95,43.85,1770.79,11.89
1051,2017,6.83,42.38,37.74,1855.27,5.6
1051,2018,6.27,41.93,37.04,1910.38,5.24
1051,2019,5.49,42.3,36.54,1997.36,4.73
1051,2020,6.09,38.7,32.68,,5.07
1051,1995,,38.59,32.89,,
1051,1996,,40.81,28.92,,
1051,1997,,35.25,28.49,,
1053,1998,8.32,51.24,41.5,,
1053,1999,8,53.75,41.74,,
1053,2000,7.54,51.71,38.86,1393.37,
1053,2001,7.7,49.87,39.33,1446.2,
1053,2002,7.74,51.27,38.09,1434.62,
1053,2003,8.6,47.4,38.85,1472.31,
1053,2004,8.86,46.82,39.89,1487.36,
1053,2005,9.7,43.45,38.78,1528.24,
1053,2006,8.34,42.16,37.7,1542.72,
1053,2007,7.19,42.23,38.86,1574.54,
1053,2008,6.47,42.92,40.82,1614.27,
1053,2009,6.71,44.11,42.22,1641.95,
1053,2010,6.4,44.7,40.06,1659.36,1.59
1053,2011,6.22,48.23,42.06,1716.63,1.76
1053,2012,6.19,49.18,43.07,1772.32,2.04
1053,2013,6.2,53.39,44.89,1760.47,2.4
1053,2014,6.05,53.5,42.28,1784.14,3.28
1053,2015,5.83,57.95,42.8,1825.17,8.52
1053,2016,5.66,57.79,54.33,1865.76,10.85
1053,2017,5.47,51.55,43.24,2155.69,5.54
1053,2018,4.97,52.16,43.35,2236.12,5.13
1053,2019,4.68,50.21,42.77,2290.47,4.95
1053,2020,5.47,48.28,39.25,,5.8
1053,1995,,54.73,41.9,,
1053,1996,,53.97,40.76,,
1053,1997,,54.42,42.95,,
1054,1998,9.19,41.59,35.91,,
1054,1999,8.13,41.85,36.81,,
1054,2000,7.4,39.6,37.15,1204.18,
1054,2001,7.66,39.25,34.09,1251.36,
1054,2002,7.91,40.23,35.38,1243.35,
1054,2003,9.1,40.9,35.5,1295.11,
1054,2004,9.22,38.22,35.51,1319.77,
