county,year,Anteil_Bruttowertschöpfung_Primärer_Sektor_inkar,Anteil_Bruttowertschöpfung_Sekundärer_Sektor_inkar,Anteil_Bruttowertschöpfung_Tertiärer_Sektor_inkar,Ausgaben_für_Sachinvestitionen_inkar,Auslandsumsatz_im_Bergbau_u._Verarb._Gewerbe_inkar,Ausländeranteil_inkar,Beschäftigte_Pimärer_Sektor_inkar,Beschäftigte_Sekundärer_Sektor_inkar,Beschäftigte_Tertiärer_Sektor_inkar,Beschäftigte_am_AO_mit_Berufsabschluss_inkar,Beschäftigte_am_AO_mit_akademischem_Berufsabschluss_inkar,Beschäftigte_am_AO_ohne_Berufsabschluss_inkar,Beschäftigte_am_WO_mit_Berufsabschluss_inkar,Beschäftigte_am_WO_mit_akademischen_Abschluss_inkar,Beschäftigte_am_WO_ohne_Berufsabschluss_inkar,Beschäftigte_im_Handwerk_inkar,Beschäftigte_in_IT-_und_naturwissenschaftlichen_Dienstleistungsberufen_inkar,Beschäftigte_in_Kreativbranchen_inkar,Beschäftigte_in_unternehmensbezogenen_Dienstleistungen_inkar,Beschäftigte_in_wissensintensiven_Industrien_inkar,Beschäftigte_mit_Anforderungsniveau_Experte_inkar,Beschäftigte_mit_Anforderungsniveau_Fachkraft_inkar,Beschäftigte_mit_Anforderungsniveau_Helfer_inkar,Beschäftigte_mit_Anforderungsniveau_Spezialist_inkar,Bruttoinlandsprodukt_in_1000_Euro_inkar,Bruttoinlandsprodukt_je_Einwohner_inkar,Bruttoinlandsprodukt_je_Erwerbstätigen_inkar,Bruttoverdienst_inkar,Bruttoverdienst_im_Produzierenden_Gewerbe_inkar,Bruttowertschöpfung_je_Erwerbstätigen_inkar,Bruttowertschöpfung_je_Erwerbstätigen_Primärer_Sektor_inkar,Bruttowertschöpfung_je_Erwerbstätigen_Sekundärer_Sektor_inkar,Bruttowertschöpfung_je_Erwerbstätigen_Tertiärer_Sektor_inkar,Gewerbesteuer_inkar,Industriequote_inkar,Investitionen_im_Bergbau_und_Verarb._Gewerbe_inkar,Medianeinkommen_inkar,Mietpreise_inkar,Offene_Stellen_mit_Anforderungsniveau_Experte_inkar,Offene_Stellen_mit_Anforderungsniveau_Fachkraft_inkar,Offene_Stellen_mit_Anforderungsniveau_Helfer_inkar,Offene_Stellen_mit_Anforderungsniveau_Spezialist_inkar,Pendlersaldo_inkar,Personal_der_Kommunen_inkar,Schulabgänger_mit_Hauptschulabschluss_inkar,Schulabgänger_mit_allgemeiner_Hochschulreife_inkar,Schulabgänger_mit_mittlerem_Abschluss_inkar,Schulabgänger_ohne_Abschluss_inkar,Schuldnerquote_inkar,Schutzsuchende_an_Bevölkerung_inkar,Schutzsuchende_an_ausländischer_Bevölkerung_inkar,Schüler_inkar,Steuerkraft_inkar,Studierende_je_100_Einwohner_18_bis_25_Jahre_inkar,Umsatz_Bauhauptgewerbe_inkar,Umsatz_im_Bergbau_u._Verarb._Gewerbe_inkar,Umsatz_im_Handwerk_inkar,Umsatzsteuer_inkar,Unternehmensinsolvenzen_inkar
1001,1995,,,,,,7.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.02,,,,,,,,,,,29.26,32.79,,8.14,,,,14.58,469.05,62.54,66.95,,,,
1001,1996,,,,,,8.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.25,,,,,,,,,,,30.47,30.4,,7.9,,,,14.93,522.86,58.4,79.61,,,,
1001,1997,,,,,,10.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.3,,,,,,,,,31.28,,30.95,32.42,,7.61,,,,15.4,475.4,57.81,83.6,,,,
1001,1998,,,,,,8.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.83,,,,,,,,,32.25,,31.39,28.48,,8.89,,,,13.6,524.75,56.17,91.26,,,39.01,
1001,1999,,,,,,8.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.15,,,,,,,,,31.65,,30.19,32.88,,8.82,,,,15.62,550.08,58.28,92.59,,,41.11,
1001,2000,0.03,24.36,75.61,,,8.32,,,,,,,,,,,,,,,,,,,2487282,29.51,43.25,1946.62,2442.25,39,11.76,43.87,37.68,344.89,,,,,,,,,32.61,,29.83,33.91,,7.27,,,,13.97,511.62,58.76,84.31,,,39.95,
1001,2001,0.03,20.92,79.05,,,8.24,,,,,,,,,,,,,,,,,,,2465393,29.18,43.39,2005.81,2563.13,39.2,12.48,40.38,38.92,271.56,,,,,,,,,31.81,,29.03,30.59,,8.45,,,,15.57,463.49,65.37,100.87,,,39.03,
1001,2002,0.02,24.17,75.81,,,8.17,,,,,,,,,,,,,,,,,,,2635779,31.12,47.76,2089.84,2801.37,43.18,10.91,53.32,40.74,220.26,,,,,,,,,32.63,,31.84,31.77,,10.61,,,,15.77,431.42,69.15,113.93,,,38.59,
1001,2003,0.02,25.23,74.75,,,8.14,,,,,,,,,,,,,,,,,,,2705233,31.71,50,2151.7,2925.71,45.14,10.28,59.16,41.83,326.55,,,,,,,,,32.67,,28.91,31.04,,7.54,,,,15.67,431.85,73.08,99.88,,,38.25,
1001,2004,0.02,27.97,72.01,,,8.21,,,,,,,,,,,,,,,,,,,2867823,33.44,53.46,2140.44,2922.22,48.43,10.25,72.75,42.91,380.45,,,,,,,,,32.2,,29.73,32.74,,8.63,16.94,,,15.65,473.53,73.41,86.68,,,38.18,
1001,2005,0.02,25.63,74.35,,,8.23,,,,,,,,,,,,,,,,,,,2900791,33.7,53.37,2081.39,2850.83,48.27,9.24,69.25,43.75,397.1,,,,,,,,,33.48,,26.8,35.79,,9.29,18.04,,,15.57,475.88,75.22,92.42,,,38.52,
1001,2006,0.02,25.78,74.2,,,8.15,,,,,,,,,,,,,,,,,,,3021890,34.88,53.8,2017.9,2967.59,48.66,13.1,74.44,43.46,500.21,,,,,,,,,35.26,108.62,26.52,33.81,,8.9,18.65,,,15.33,542.58,74.85,94.69,,,40.46,
1001,2007,0.02,25.42,74.55,,,8.05,,,,,,,,,,,,,,,,,,,3051250,34.76,53.59,2035.3,3039.48,48.19,12.07,74.85,43.01,559.57,,,,,,,,,35.09,118.01,24.89,36.11,,9.01,19.02,0.46,5.66,15,596.46,72.18,107.57,,,44.37,13.65
1001,2008,0.03,23.27,76.7,,,8.18,0.09,21.35,78.55,,,,,,,,,2.79,,,,,,,3105912,35.01,54.56,2083.31,3128.17,49.05,13.96,73.33,44.61,440.41,13.19,,,,7.41,73,6.08,10.84,33.63,110.35,20.58,38.46,,7.22,17.01,0.43,5.3,14.59,572,71.16,134.21,,,45.56,11.43
1001,2009,0.02,18.72,81.26,,130.55,7.83,0.11,18.52,81.36,,,,,,,,,2.6,8.2,8.27,,,,,2993960,33.83,52.94,2060.85,2980.27,47.47,7.46,62.49,45.03,355.6,11.25,2.97,,,8.24,65.34,9.09,14.49,32.87,109.49,16.99,41.8,,7.17,14.81,0.46,5.91,14.15,525.42,73.2,157.79,209.64,,45.59,20.57
1001,2010,0.02,19.42,80.57,,110.71,7.72,0.07,18.84,81.08,,,,,,,13.1,,2.54,7.86,8.74,,,,,3013761,33.95,53.74,2079.25,2985.42,48.32,7.92,69.39,45.07,299.56,11.5,4.54,,3,8.54,68.5,7.4,10.82,32.28,110.07,18.43,42.76,,6.7,14.92,0.48,6.2,13.92,495.34,74.9,113.96,203.55,111.45,46.8,20.63
1001,2011,0.05,20.06,79.9,,136.59,6.29,0.07,17.66,82.26,,,,,,,13.22,,2.51,7.83,7.41,,,,,3047700,36.81,54.67,2119.05,3038.58,49.08,23.38,74.67,45.21,425.43,11.75,4.85,,3,7.13,74.19,8.83,7.98,30.81,120.53,18.07,45.06,,6.77,14.58,0.5,7.96,14.77,599.33,92.03,96.97,227.9,115.99,52.64,15.54
1001,2012,0.03,20.34,79.64,,133.28,6.52,0.05,17.07,82.88,62.64,9.64,13.77,56.91,9.85,14.56,13.92,,2.59,7.95,7.29,,,,,3124752,37.44,55.61,2193.46,3103.43,49.95,18.16,75.71,45.98,484.33,11.24,6.54,,3,10.12,70.32,9.61,9.95,29.41,134.07,18.25,42.28,,6.11,14.92,0.55,8.36,14.45,636.53,92.42,118.37,226.99,109,54.54,16.11
1001,2013,0.03,20.38,79.59,,130.11,7.02,0.04,15.14,84.81,62.55,10.12,11.76,59.24,10.65,13.13,13,2.1,2.87,7.61,4.11,10.12,58.97,14.44,12.93,3155806,37.58,55.27,2230.09,3213.29,49.7,28.36,73.53,45.9,459.58,10.48,6.84,,3,10.25,69.78,11.15,8.81,30.78,131.12,17.63,42.51,,7.57,16.41,0.6,8.48,14.14,643.31,92.48,135.62,240.47,109.64,54.59,13.32
1001,2014,0.04,18.97,80.99,,122.11,7.92,0.04,14.24,85.72,63.31,10.67,11.99,59.75,11.43,13.43,12.68,2.23,2.87,7.64,3.03,10.31,59.01,14.81,12.73,3183046,37.58,55.07,2243.59,3189.25,49.57,41.58,69.1,46.5,326.67,9.87,8.11,2867,3,14.07,59.83,15.42,10.68,29.67,131.06,15.81,40.97,,6.07,16.4,0.75,9.47,13.78,595.51,92.47,123.02,213.38,95.3,55.52,8.3
1001,2015,0.04,20.94,79.02,20,96.97,9.68,0.04,14.56,85.39,63.32,11.98,14.23,59.41,12.67,15.02,12.2,2.37,2.97,7.44,3.66,10.84,58.16,18.22,12.47,3367988,39.19,57.5,2316.7,3279.7,51.72,31.18,80.32,47.28,466.3,10.27,6.48,2886,4,15.78,61.26,12.48,10.47,29.42,133.23,13.52,44.16,,8.53,16.21,1.23,12.68,13.51,674.35,91.04,108.13,194.06,101.48,62.11,7.86
1001,2016,0.03,21.35,78.63,21.93,168.48,11.72,0.05,14.66,85.29,63.05,12.55,14.32,59.18,13.41,15.24,13.04,2.39,3.01,7.23,3.43,11.18,57.61,18.38,12.57,3456777,39.54,58.21,2330.01,3259.08,52.41,25.06,83.26,47.64,562.22,10.37,8.61,2934,4,14.47,64.27,11.93,9.33,28.77,136.11,12.15,59.3,23.37,5.18,16.17,2.42,20.63,13.11,727.31,89.9,124.08,265.39,102.89,63.09,7.9
1001,2017,0.01,21.87,78.12,26.51,129.87,13.27,0.04,15.92,84.04,62.89,13.14,14,58.11,14.05,15.7,11.43,2.27,3.03,7.39,3.59,11.4,57.18,18.41,12.8,3665802,41.41,61.22,2443.18,3335.56,55.17,11.32,89.21,49.86,529,11.41,7.66,2986,4,16.78,60.34,14.14,8.74,27.68,142.34,11.63,47.4,32.52,8.46,16.21,2.91,21.92,12.99,767.27,91.24,127.35,234.63,114.19,78.07,7.48
1001,2018,0.01,21.5,78.49,39.59,115.42,14.19,0.02,15.86,84.12,62.24,13.64,14.09,57.15,14.83,15.98,11.61,2.22,3.05,6.82,3.75,11.5,56.65,18.59,13,3736377,41.75,61.28,2556.13,3515.21,55.23,11,82.61,50.65,599.52,11.68,8.57,3102.12,4,16.88,61.23,12.46,9.31,28.2,145.8,14.79,42.96,35.45,7.04,16.24,3.54,24.96,12.97,797.7,90.23,138.62,221.34,116.25,94.4,6.25
1001,2019,0.01,23.32,76.67,40.15,146.92,15.21,,,84.17,62.17,14.07,14.21,56.22,15.36,16.59,,2.29,3.13,6.9,3.67,11.88,56.37,18.37,13.17,3968901,44.02,64.48,2619.99,3506.05,58.11,9.7,92.65,52.22,566.89,,9.12,3177.14,5,16.62,61.95,13.25,8.18,27.5,148.06,13.57,45.48,27.38,8.57,16.33,4.09,26.88,12.98,825.05,89.77,120.63,258.43,,103.98,8.27
1001,2020,0.01,21.44,78.55,36.53,101.25,15.79,,,83.83,62.22,14.74,14.22,55.63,15.92,16.89,,2.45,3.25,7.19,3.7,12.41,56.1,17.94,13.33,3881881,43.16,63.55,2624.65,3341.63,57.56,10.14,84.48,52.97,566.32,,,3190.17,5,16.49,60.95,14.86,7.84,26.97,,13.17,43.82,35.22,7.53,,4.41,27.92,13.17,,95.73,,225.57,,113.01,3.46
1001,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
1002,1995,,,,,,8.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.21,,,,,,,,,,,31.4,30.26,,8.8,,,,10.21,476.2,125.83,84.47,,,,
1002,1996,,,,,,8.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.64,,,,,,,,,,,32.37,29.8,,9.3,,,,10.45,488.81,127.83,82.5,,,,
