wkr_nr,wkr_name,state,state_name,boundary_change,renamed,prior_2021_wkr_nr,prior_2021_name,recomputed_2021_eligible,actual_2021_eligible,eligible_delta
001,Flensburg – Schleswig,01,Schleswig-Holstein,unchanged,FALSE,001,Flensburg – Schleswig,231536,231536,0
002,Nordfriesland – Dithmarschen Nord,01,Schleswig-Holstein,unchanged,FALSE,002,Nordfriesland – Dithmarschen Nord,188267,188267,0
003,Steinburg – Dithmarschen Süd,01,Schleswig-Holstein,unchanged,FALSE,003,Steinburg – Dithmarschen Süd,176899,176899,0
004,Rendsburg-Eckernförde,01,Schleswig-Holstein,unchanged,FALSE,004,Rendsburg-Eckernförde,202226,202226,0
005,Kiel,01,Schleswig-Holstein,unchanged,FALSE,005,Kiel,202482,202482,0
006,Plön – Neumünster,01,Schleswig-Holstein,unchanged,FALSE,006,Plön – Neumünster,174908,174908,0
007,Pinneberg,01,Schleswig-Holstein,unchanged,FALSE,007,Pinneberg,238388,238388,0
008,Segeberg – Stormarn-Mitte,01,Schleswig-Holstein,unchanged,FALSE,008,Segeberg – Stormarn-Mitte,249202,249202,0
009,Ostholstein – Stormarn-Nord,01,Schleswig-Holstein,unchanged,FALSE,009,Ostholstein – Stormarn-Nord,183138,183138,0
010,Herzogtum Lauenburg – Stormarn-Süd,01,Schleswig-Holstein,unchanged,FALSE,010,Herzogtum Lauenburg – Stormarn-Süd,246277,246277,0
011,Lübeck,01,Schleswig-Holstein,unchanged,FALSE,011,Lübeck,179394,179394,0
012,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,13,Mecklenburg-Vorpommern,unchanged,FALSE,012,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,214853,214853,0
013,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,13,Mecklenburg-Vorpommern,unchanged,FALSE,013,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,205042,205042,0
014,Rostock – Landkreis Rostock II,13,Mecklenburg-Vorpommern,unchanged,FALSE,014,Rostock – Landkreis Rostock II,222705,222705,0
015,Vorpommern-Rügen – Vorpommern-Greifswald I,13,Mecklenburg-Vorpommern,unchanged,FALSE,015,Vorpommern-Rügen – Vorpommern-Greifswald I,241066,241066,0
016,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,13,Mecklenburg-Vorpommern,unchanged,FALSE,016,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,221421,221421,0
