jahr,wahlkreis_nr,wahlkreis_name,partei,stimmen,anteil,wahlberechtigte,waehlende,gueltige,ungueltige,keys_hist,fractions
1949,1,Flensburg – Schleswig,parteilose,41556,38.61,128121,109051,107620,1430,"1, 2, 3, 4","0.01, 0.65, 0.3, 0.04"
1949,1,Flensburg – Schleswig,ssw,27482,25.54,128121,109051,107620,1430,"1, 2, 3, 4","0.01, 0.65, 0.3, 0.04"
1949,1,Flensburg – Schleswig,spd,17341,16.11,128121,109051,107620,1430,"1, 2, 3, 4","0.01, 0.65, 0.3, 0.04"
1949,1,Flensburg – Schleswig,union,10237,9.51,128121,109051,107620,1430,"1, 2, 3, 4","0.01, 0.65, 0.3, 0.04"
1949,1,Flensburg – Schleswig,rsf,2982,2.77,128121,109051,107620,1430,"1, 2, 3, 4","0.01, 0.65, 0.3, 0.04"
1949,1,Flensburg – Schleswig,dp,2684,2.49,128121,109051,107620,1430,"1, 2, 3, 4","0.01, 0.65, 0.3, 0.04"
1949,1,Flensburg – Schleswig,dkpdrp,2629,2.44,128121,109051,107620,1430,"1, 2, 3, 4","0.01, 0.65, 0.3, 0.04"
1949,1,Flensburg – Schleswig,kpd,1778,1.65,128121,109051,107620,1430,"1, 2, 3, 4","0.01, 0.65, 0.3, 0.04"
1949,1,Flensburg – Schleswig,fdp,604,0.56,128121,109051,107620,1430,"1, 2, 3, 4","0.01, 0.65, 0.3, 0.04"
1949,1,Flensburg – Schleswig,zentrum,322,0.3,128121,109051,107620,1430,"1, 2, 3, 4","0.01, 0.65, 0.3, 0.04"
1949,2,Nordfriesland – Dithmarschen Nord,union,29397,31.63,117201,94658,92941,1716,"1, 2, 3, 4, 5","0.67, 0, 0, 0.33, 0"
1949,2,Nordfriesland – Dithmarschen Nord,spd,21352,22.97,117201,94658,92941,1716,"1, 2, 3, 4, 5","0.67, 0, 0, 0.33, 0"
1949,2,Nordfriesland – Dithmarschen Nord,dp,14103,15.17,117201,94658,92941,1716,"1, 2, 3, 4, 5","0.67, 0, 0, 0.33, 0"
1949,2,Nordfriesland – Dithmarschen Nord,ssw,13134,14.13,117201,94658,92941,1716,"1, 2, 3, 4, 5","0.67, 0, 0, 0.33, 0"
1949,2,Nordfriesland – Dithmarschen Nord,fdp,9214,9.91,117201,94658,92941,1716,"1, 2, 3, 4, 5","0.67, 0, 0, 0.33, 0"
1949,2,Nordfriesland – Dithmarschen Nord,dkpdrp,2901,3.12,117201,94658,92941,1716,"1, 2, 3, 4, 5","0.67, 0, 0, 0.33, 0"
1949,2,Nordfriesland – Dithmarschen Nord,kpd,1554,1.67,117201,94658,92941,1716,"1, 2, 3, 4, 5","0.67, 0, 0, 0.33, 0"
1949,2,Nordfriesland – Dithmarschen Nord,zentrum,869,0.94,117201,94658,92941,1716,"1, 2, 3, 4, 5","0.67, 0, 0, 0.33, 0"
1949,2,Nordfriesland – Dithmarschen Nord,rsf,390,0.42,117201,94658,92941,1716,"1, 2, 3, 4, 5","0.67, 0, 0, 0.33, 0"
1949,2,Nordfriesland – Dithmarschen Nord,parteilose,23,0.03,117201,94658,92941,1716,"1, 2, 3, 4, 5","0.67, 0, 0, 0.33, 0"
1949,3,Steinburg – Dithmarschen Süd,spd,33336,33.22,122987,102568,100339,2228,"4, 5, 10, 11, 12","0.29, 0, 0.07, 0.64, 0"
1949,3,Steinburg – Dithmarschen Süd,union,28218,28.12,122987,102568,100339,2228,"4, 5, 10, 11, 12","0.29, 0, 0.07, 0.64, 0"
1949,3,Steinburg – Dithmarschen Süd,dp,21325,21.25,122987,102568,100339,2228,"4, 5, 10, 11, 12","0.29, 0, 0.07, 0.64, 0"
1949,3,Steinburg – Dithmarschen Süd,fdp,10566,10.53,122987,102568,100339,2228,"4, 5, 10, 11, 12","0.29, 0, 0.07, 0.64, 0"
1949,3,Steinburg – Dithmarschen Süd,kpd,3114,3.1,122987,102568,100339,2228,"4, 5, 10, 11, 12","0.29, 0, 0.07, 0.64, 0"
1949,3,Steinburg – Dithmarschen Süd,dkpdrp,1260,1.26,122987,102568,100339,2228,"4, 5, 10, 11, 12","0.29, 0, 0.07, 0.64, 0"
1949,3,Steinburg – Dithmarschen Süd,zentrum,1176,1.17,122987,102568,100339,2228,"4, 5, 10, 11, 12","0.29, 0, 0.07, 0.64, 0"
1949,3,Steinburg – Dithmarschen Süd,rsf,728,0.73,122987,102568,100339,2228,"4, 5, 10, 11, 12","0.29, 0, 0.07, 0.64, 0"
1949,3,Steinburg – Dithmarschen Süd,ssw,435,0.43,122987,102568,100339,2228,"4, 5, 10, 11, 12","0.29, 0, 0.07, 0.64, 0"
1949,3,Steinburg – Dithmarschen Süd,parteilose,176,0.18,122987,102568,100339,2228,"4, 5, 10, 11, 12","0.29, 0, 0.07, 0.64, 0"
1949,4,Rendsburg-Eckernförde,union,36917,34.93,128836,107371,105699,1672,"3, 4, 5, 6, 7, 11","0.36, 0, 0.57, 0.01, 0.04, 0.02"
1949,4,Rendsburg-Eckernförde,spd,22473,21.26,128836,107371,105699,1672,"3, 4, 5, 6, 7, 11","0.36, 0, 0.57, 0.01, 0.04, 0.02"
1949,4,Rendsburg-Eckernförde,parteilose,14258,13.49,128836,107371,105699,1672,"3, 4, 5, 6, 7, 11","0.36, 0, 0.57, 0.01, 0.04, 0.02"
1949,4,Rendsburg-Eckernförde,dp,13810,13.07,128836,107371,105699,1672,"3, 4, 5, 6, 7, 11","0.36, 0, 0.57, 0.01, 0.04, 0.02"
1949,4,Rendsburg-Eckernförde,ssw,7736,7.32,128836,107371,105699,1672,"3, 4, 5, 6, 7, 11","0.36, 0, 0.57, 0.01, 0.04, 0.02"
1949,4,Rendsburg-Eckernförde,dkpdrp,3637,3.44,128836,107371,105699,1672,"3, 4, 5, 6, 7, 11","0.36, 0, 0.57, 0.01, 0.04, 0.02"
1949,4,Rendsburg-Eckernförde,fdp,2684,2.54,128836,107371,105699,1672,"3, 4, 5, 6, 7, 11","0.36, 0, 0.57, 0.01, 0.04, 0.02"
1949,4,Rendsburg-Eckernförde,kpd,2299,2.18,128836,107371,105699,1672,"3, 4, 5, 6, 7, 11","0.36, 0, 0.57, 0.01, 0.04, 0.02"
1949,4,Rendsburg-Eckernförde,rsf,960,0.91,128836,107371,105699,1672,"3, 4, 5, 6, 7, 11","0.36, 0, 0.57, 0.01, 0.04, 0.02"
1949,4,Rendsburg-Eckernförde,zentrum,920,0.87,128836,107371,105699,1672,"3, 4, 5, 6, 7, 11","0.36, 0, 0.57, 0.01, 0.04, 0.02"
1949,5,Kiel,union,57854,48.93,145370,120422,118246,2175,"3, 5, 6, 7","0.07, 0.18, 0.74, 0.01"
1949,5,Kiel,spd,38165,32.28,145370,120422,118246,2175,"3, 5, 6, 7","0.07, 0.18, 0.74, 0.01"
1949,5,Kiel,kpd,5541,4.69,145370,120422,118246,2175,"3, 5, 6, 7","0.07, 0.18, 0.74, 0.01"
1949,5,Kiel,dp,5185,4.39,145370,120422,118246,2175,"3, 5, 6, 7","0.07, 0.18, 0.74, 0.01"
1949,5,Kiel,parteilose,3504,2.96,145370,120422,118246,2175,"3, 5, 6, 7","0.07, 0.18, 0.74, 0.01"
1949,5,Kiel,ssw,2393,2.02,145370,120422,118246,2175,"3, 5, 6, 7","0.07, 0.18, 0.74, 0.01"
1949,5,Kiel,fdp,2016,1.71,145370,120422,118246,2175,"3, 5, 6, 7","0.07, 0.18, 0.74, 0.01"
1949,5,Kiel,rsf,1424,1.2,145370,120422,118246,2175,"3, 5, 6, 7","0.07, 0.18, 0.74, 0.01"
1949,5,Kiel,dkpdrp,1210,1.02,145370,120422,118246,2175,"3, 5, 6, 7","0.07, 0.18, 0.74, 0.01"
1949,5,Kiel,zentrum,951,0.8,145370,120422,118246,2175,"3, 5, 6, 7","0.07, 0.18, 0.74, 0.01"
1949,6,Plön – Neumünster,union,40602,42.52,116515,97899,95500,2398,"5, 6, 7, 10","0.06, 0.05, 0.64, 0.25"
1949,6,Plön – Neumünster,spd,31142,32.61,116515,97899,95500,2398,"5, 6, 7, 10","0.06, 0.05, 0.64, 0.25"
1949,6,Plön – Neumünster,dp,8972,9.4,116515,97899,95500,2398,"5, 6, 7, 10","0.06, 0.05, 0.64, 0.25"
1949,6,Plön – Neumünster,fdp,6934,7.26,116515,97899,95500,2398,"5, 6, 7, 10","0.06, 0.05, 0.64, 0.25"
1949,6,Plön – Neumünster,kpd,2522,2.64,116515,97899,95500,2398,"5, 6, 7, 10","0.06, 0.05, 0.64, 0.25"
1949,6,Plön – Neumünster,rsf,1863,1.95,116515,97899,95500,2398,"5, 6, 7, 10","0.06, 0.05, 0.64, 0.25"
1949,6,Plön – Neumünster,parteilose,1269,1.33,116515,97899,95500,2398,"5, 6, 7, 10","0.06, 0.05, 0.64, 0.25"
1949,6,Plön – Neumünster,dkpdrp,1142,1.2,116515,97899,95500,2398,"5, 6, 7, 10","0.06, 0.05, 0.64, 0.25"
1949,6,Plön – Neumünster,zentrum,764,0.8,116515,97899,95500,2398,"5, 6, 7, 10","0.06, 0.05, 0.64, 0.25"
1949,6,Plön – Neumünster,ssw,284,0.3,116515,97899,95500,2398,"5, 6, 7, 10","0.06, 0.05, 0.64, 0.25"
1949,7,Pinneberg,spd,37974,36.22,128478,108370,104829,3540,"10, 11, 12, 16, 17","0.02, 0.01, 0.97, 0, 0"
1949,7,Pinneberg,union,27677,26.4,128478,108370,104829,3540,"10, 11, 12, 16, 17","0.02, 0.01, 0.97, 0, 0"
1949,7,Pinneberg,fdp,15022,14.33,128478,108370,104829,3540,"10, 11, 12, 16, 17","0.02, 0.01, 0.97, 0, 0"
1949,7,Pinneberg,dp,14669,13.99,128478,108370,104829,3540,"10, 11, 12, 16, 17","0.02, 0.01, 0.97, 0, 0"
1949,7,Pinneberg,kpd,5572,5.32,128478,108370,104829,3540,"10, 11, 12, 16, 17","0.02, 0.01, 0.97, 0, 0"
1949,7,Pinneberg,rsf,1752,1.67,128478,108370,104829,3540,"10, 11, 12, 16, 17","0.02, 0.01, 0.97, 0, 0"
1949,7,Pinneberg,dkpdrp,1078,1.03,128478,108370,104829,3540,"10, 11, 12, 16, 17","0.02, 0.01, 0.97, 0, 0"
1949,7,Pinneberg,zentrum,1035,0.99,128478,108370,104829,3540,"10, 11, 12, 16, 17","0.02, 0.01, 0.97, 0, 0"
1949,7,Pinneberg,parteilose,47,0.05,128478,108370,104829,3540,"10, 11, 12, 16, 17","0.02, 0.01, 0.97, 0, 0"
1949,8,Segeberg – Stormarn-Mitte,spd,32787,33.46,120739,100620,97981,2639,"7, 8, 10, 12, 13, 18, 19","0, 0, 0.53, 0.13, 0.34, 0, 0"
1949,8,Segeberg – Stormarn-Mitte,union,30176,30.8,120739,100620,97981,2639,"7, 8, 10, 12, 13, 18, 19","0, 0, 0.53, 0.13, 0.34, 0, 0"
1949,8,Segeberg – Stormarn-Mitte,dp,16683,17.03,120739,100620,97981,2639,"7, 8, 10, 12, 13, 18, 19","0, 0, 0.53, 0.13, 0.34, 0, 0"
1949,8,Segeberg – Stormarn-Mitte,fdp,9370,9.56,120739,100620,97981,2639,"7, 8, 10, 12, 13, 18, 19","0, 0, 0.53, 0.13, 0.34, 0, 0"
1949,8,Segeberg – Stormarn-Mitte,kpd,3253,3.32,120739,100620,97981,2639,"7, 8, 10, 12, 13, 18, 19","0, 0, 0.53, 0.13, 0.34, 0, 0"
1949,8,Segeberg – Stormarn-Mitte,rsf,1785,1.82,120739,100620,97981,2639,"7, 8, 10, 12, 13, 18, 19","0, 0, 0.53, 0.13, 0.34, 0, 0"
1949,8,Segeberg – Stormarn-Mitte,dkpdrp,1551,1.58,120739,100620,97981,2639,"7, 8, 10, 12, 13, 18, 19","0, 0, 0.53, 0.13, 0.34, 0, 0"
1949,8,Segeberg – Stormarn-Mitte,parteilose,1356,1.38,120739,100620,97981,2639,"7, 8, 10, 12, 13, 18, 19","0, 0, 0.53, 0.13, 0.34, 0, 0"
1949,8,Segeberg – Stormarn-Mitte,zentrum,1017,1.04,120739,100620,97981,2639,"7, 8, 10, 12, 13, 18, 19","0, 0, 0.53, 0.13, 0.34, 0, 0"
1949,9,Ostholstein – Stormarn-Nord,spd,33136,38.35,111442,89784,86399,3385,"7, 8, 9, 10, 13","0.18, 0.76, 0, 0, 0.06"
1949,9,Ostholstein – Stormarn-Nord,union,33109,38.32,111442,89784,86399,3385,"7, 8, 9, 10, 13","0.18, 0.76, 0, 0, 0.06"
1949,9,Ostholstein – Stormarn-Nord,fdp,7146,8.27,111442,89784,86399,3385,"7, 8, 9, 10, 13","0.18, 0.76, 0, 0, 0.06"
1949,9,Ostholstein – Stormarn-Nord,dp,6354,7.35,111442,89784,86399,3385,"7, 8, 9, 10, 13","0.18, 0.76, 0, 0, 0.06"
1949,9,Ostholstein – Stormarn-Nord,kpd,2718,3.15,111442,89784,86399,3385,"7, 8, 9, 10, 13","0.18, 0.76, 0, 0, 0.06"
1949,9,Ostholstein – Stormarn-Nord,rsf,1563,1.81,111442,89784,86399,3385,"7, 8, 9, 10, 13","0.18, 0.76, 0, 0, 0.06"
1949,9,Ostholstein – Stormarn-Nord,dkpdrp,1468,1.7,111442,89784,86399,3385,"7, 8, 9, 10, 13","0.18, 0.76, 0, 0, 0.06"
1949,9,Ostholstein – Stormarn-Nord,zentrum,894,1.04,111442,89784,86399,3385,"7, 8, 9, 10, 13","0.18, 0.76, 0, 0, 0.06"
1949,9,Ostholstein – Stormarn-Nord,parteilose,6,0.01,111442,89784,86399,3385,"7, 8, 9, 10, 13","0.18, 0.76, 0, 0, 0.06"
1949,10,Herzogtum Lauenburg – Stormarn-Süd,spd,29681,31.93,117944,95580,92967,2612,"9, 13, 14, 19, 20","0.01, 0.37, 0.62, 0, 0"
1949,10,Herzogtum Lauenburg – Stormarn-Süd,union,24506,26.36,117944,95580,92967,2612,"9, 13, 14, 19, 20","0.01, 0.37, 0.62, 0, 0"
1949,10,Herzogtum Lauenburg – Stormarn-Süd,dp,15408,16.57,117944,95580,92967,2612,"9, 13, 14, 19, 20","0.01, 0.37, 0.62, 0, 0"
1949,10,Herzogtum Lauenburg – Stormarn-Süd,parteilose,10067,10.83,117944,95580,92967,2612,"9, 13, 14, 19, 20","0.01, 0.37, 0.62, 0, 0"
