ags,election_year,election_date,ags_name,state_name,state,county,eligible_voters,number_voters,valid_votes,turnout,cdu_csu,spd,linke_pds,gruene,afd,piraten,fdp,die_partei,freie_wahler,bsw,other,replaced_0_with_na_cdu_csu,replaced_0_with_na_spd,replaced_0_with_na_linke_pds,replaced_0_with_na_gruene,replaced_0_with_na_afd,replaced_0_with_na_piraten,replaced_0_with_na_fdp,replaced_0_with_na_die_partei,replaced_0_with_na_freie_wahler,replaced_0_with_na_bsw,flag_unsuccessful_naive_merge,election_type,seats_cdu_csu,seats_spd,seats_linke_pds,seats_gruene,seats_afd,seats_piraten,seats_fdp,seats_die_partei,seats_freie_wahler,seats_bsw,area_cw,pop_cw,ags_21,weights,area,population
01001000,1994,,"Flensburg, Stadt",Schleswig-Holstein,01,01001,68499,43262,42898,0.63157126381407,0.283533031842976,0.347498717888946,,0.0887453960557602,,,0.0216793323698075,,,,0.25854352184251,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,56.44,87.9
01001000,1998,,"Flensburg, Stadt",Schleswig-Holstein,01,01001,68886,36670,36387,0.532328775077665,0.312281858905653,0.342787259185973,,0.0242119438260917,,,0.0580152252177976,,,,0.262703712864485,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,56.44,84.7
01001000,2003,,"Flensburg, Stadt",Schleswig-Holstein,01,01001,69570,28898,28615,0.415380192611758,0.369736152367639,0.249204962432291,,0.106797134370086,,,0.0322907565961908,,,,0.241970994233793,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,56.37,85.3
01001000,2008,,"Flensburg, Stadt",Schleswig-Holstein,01,01001,73266,29315,29012,0.400117380503917,0.205190955466703,0.159278919067972,0.0734178960430167,0.0726251206397353,,,0.0459465048945264,,,,0.443540603888046,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,56.74,88.7
01001000,2013,,"Flensburg, Stadt",Schleswig-Holstein,01,01001,75071,26961,26627,0.359140014119966,0.220640703045781,0.206857700829985,0.0368798587899501,0.124873248957825,,,0.0411236714612987,,,,0.369624816915161,0,0,0,0,0,1,0,1,1,0,0,,,,,,,,,,,,,,,,56.74,84
01001000,2018,,"Flensburg, Stadt",Schleswig-Holstein,01,01001,76827,27322,27034,0.35563018209744,0.193571058666864,0.182362950358807,0.0747577125101724,0.18820744247984,,,0.0771990826366797,,,,0.283901753347636,0,0,0,0,1,1,0,1,1,0,0,,,,,,,,,,,,,,,,56.73,89.5
01001000,2023,,"Flensburg, Stadt",Schleswig-Holstein,01,01001,77296,27625,27406,0.357392361829849,0.191490914398307,0.13511639786908,0.0413413121214333,0.236079690578705,,,0.0566664234109319,,,,0.339305261621543,0,0,0,0,1,1,0,1,1,0,0,,,,,,,,,,,,,,,,56.73,92.7
01002000,1994,,"Kiel, Landeshauptstadt",Schleswig-Holstein,01,01002,189824,122747,121422,0.646635831085637,0.311418029681606,0.393520119912372,,0.151883513696035,,,0.0390703496895126,,,,0.104107987020474,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,116.74,246.6
01002000,1998,,"Kiel, Landeshauptstadt",Schleswig-Holstein,01,01002,187342,100367,99511,0.535742118692018,0.313814553164977,0.477756227954698,,0.0307604184462019,,,0.095908994985479,,,,0.0817598054486438,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,118.39,237.3
01002000,2003,,"Kiel, Landeshauptstadt",Schleswig-Holstein,01,01002,181563,85967,85145,0.473483033437429,0.446673321980152,0.327218274707851,,0.141076986317458,,,0.0367843091197369,,,,0.0482471078748017,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,118.39,233
01002000,2008,,"Kiel, Landeshauptstadt",Schleswig-Holstein,01,01002,188971,88435,86762,0.467981859650423,0.286046886885964,0.312786703856527,0.111200756091376,0.165879071482907,,,0.0813144003135013,,,,0.042772181369724,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,118.65,237.6
01002000,2013,,"Kiel, Landeshauptstadt",Schleswig-Holstein,01,01002,194918,72414,71531,0.37151007090161,0.296584697543722,0.357075953083279,0.0344466035704799,0.175853825614069,,0.0300009785966923,0.0388502886860242,,,,0.0671876529057331,0,0,0,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,118.65,241.5
01002000,2018,,"Kiel, Landeshauptstadt",Schleswig-Holstein,01,01002,196334,89925,89159,0.458020516059368,0.235388463307126,0.29853407956572,0.072196861786247,0.204297939635931,0.0593658520171828,0.0113392927242342,0.0646485492210545,0.0255498603618255,,,0.0286791013806793,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,118.65,247.6
01002000,2023,,"Kiel, Landeshauptstadt",Schleswig-Holstein,01,01002,192104,88308,87748,0.459688502061383,0.229463919405571,0.21982267402106,0.0485139262433332,0.271299630760815,0.0598304234854356,,0.0450950449013083,0.0276587500569814,,,0.0983156311254957,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,118.65,248.9
01003000,1994,,"Lübeck, Hansestadt",Schleswig-Holstein,01,01003,170837,110692,109562,0.647939263742632,0.316533104543546,0.413145068545664,,0.105027290483927,,,0.027838119055877,,,,0.137456417370986,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,214.16,216.8
01003000,1998,,"Lübeck, Hansestadt",Schleswig-Holstein,01,01003,172660,98971,98070,0.573213251476891,0.380942184154176,0.412093402671561,,0.0301213418986438,,,0.0785153461812991,,,,0.0983277250943204,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,214.14,214
01003000,2003,,"Lübeck, Hansestadt",Schleswig-Holstein,01,01003,171420,86336,85303,0.50365184925913,0.500451332309532,0.32410348991243,,0.0922710807357303,,,0.0521669812316097,,,,0.0310071158106984,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,214.14,212.8
01003000,2008,,"Lübeck, Hansestadt",Schleswig-Holstein,01,01003,174677,72686,71358,0.416116603788707,0.254981922139073,0.287409961041509,0.116945542195689,0.115698309930211,,,0.0839849771574315,,,,0.140979287536086,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,214.2,210.9
01003000,2013,,"Lübeck, Hansestadt",Schleswig-Holstein,01,01003,175620,65139,64175,0.370908780321148,0.319906505648617,0.33802882742501,0.039298792364628,0.165251266069342,,0.0268172964550058,0.03161667315933,0.0129489676665368,0.0152239968835216,,0.0509076743280092,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,214.21,213
