ags,year,age_band,sex,count
10041,2020,10 bis unter 15 Jahre,f,6367
10041,2020,10 bis unter 15 Jahre,m,6851
10041,2020,45 bis unter 50 Jahre,f,8975
10041,2020,45 bis unter 50 Jahre,m,8880
10041,2020,65 bis unter 70 Jahre,f,11164
10041,2020,65 bis unter 70 Jahre,m,10080
10041,2020,25 bis unter 30 Jahre,f,10487
10041,2020,25 bis unter 30 Jahre,m,11549
10041,2020,50 bis unter 55 Jahre,f,12138
10041,2020,50 bis unter 55 Jahre,m,12037
10041,2020,95 Jahre und mehr,f,631
10041,2020,95 Jahre und mehr,m,150
10041,2020,30 bis unter 35 Jahre,f,10499
10041,2020,30 bis unter 35 Jahre,m,11623
10041,2020,5 bis unter 10 Jahre,f,6316
10041,2020,5 bis unter 10 Jahre,m,7020
10041,2020,90 bis unter 95 Jahre,f,2015
10041,2020,90 bis unter 95 Jahre,m,857
10041,2020,40 bis unter 45 Jahre,m,9076
10041,2020,40 bis unter 45 Jahre,f,9031
10041,2020,60 bis unter 65 Jahre,m,12249
10041,2020,60 bis unter 65 Jahre,f,12568
10041,2020,70 bis unter 75 Jahre,f,9267
10041,2020,70 bis unter 75 Jahre,m,8083
10041,2020,15 bis unter 20 Jahre,m,7329
10041,2020,15 bis unter 20 Jahre,f,6851
10041,2020,35 bis unter 40 Jahre,f,9480
10041,2020,35 bis unter 40 Jahre,m,10175
10041,2020,55 bis unter 60 Jahre,f,13630
10041,2020,55 bis unter 60 Jahre,m,13336
10041,2020,20 bis unter 25 Jahre,f,9361
10041,2020,20 bis unter 25 Jahre,m,10066
10041,2020,unter 5 Jahre,f,7048
10041,2020,unter 5 Jahre,m,7491
10041,2020,75 bis unter 80 Jahre,f,7719
10041,2020,75 bis unter 80 Jahre,m,6098
10041,2020,80 bis unter 85 Jahre,f,8395
10041,2020,80 bis unter 85 Jahre,m,5614
10041,2020,85 bis unter 90 Jahre,m,2512
10041,2020,85 bis unter 90 Jahre,f,4484
10042,2020,60 bis unter 65 Jahre,f,4298
10042,2020,60 bis unter 65 Jahre,m,4361
10042,2020,40 bis unter 45 Jahre,f,2979
10042,2020,40 bis unter 45 Jahre,m,2956
10042,2020,80 bis unter 85 Jahre,f,2673
10042,2020,80 bis unter 85 Jahre,m,1822
10042,2020,35 bis unter 40 Jahre,m,3075
10042,2020,35 bis unter 40 Jahre,f,3012
10042,2020,55 bis unter 60 Jahre,f,4777
10042,2020,55 bis unter 60 Jahre,m,4729
10042,2020,75 bis unter 80 Jahre,f,2197
10042,2020,75 bis unter 80 Jahre,m,1781
10042,2020,15 bis unter 20 Jahre,m,2596
10042,2020,15 bis unter 20 Jahre,f,2291
10042,2020,20 bis unter 25 Jahre,m,2576
10042,2020,20 bis unter 25 Jahre,f,2370
10042,2020,unter 5 Jahre,f,2012
10042,2020,unter 5 Jahre,m,2097
10042,2020,90 bis unter 95 Jahre,m,241
10042,2020,90 bis unter 95 Jahre,f,616
10042,2020,5 bis unter 10 Jahre,f,2017
10042,2020,5 bis unter 10 Jahre,m,2167
10042,2020,85 bis unter 90 Jahre,m,778
10042,2020,85 bis unter 90 Jahre,f,1415
10042,2020,65 bis unter 70 Jahre,m,3594
10042,2020,65 bis unter 70 Jahre,f,3732
10042,2020,10 bis unter 15 Jahre,m,2306
10042,2020,10 bis unter 15 Jahre,f,2082
10042,2020,50 bis unter 55 Jahre,f,4192
10042,2020,50 bis unter 55 Jahre,m,4232
10042,2020,30 bis unter 35 Jahre,f,2974
10042,2020,30 bis unter 35 Jahre,m,3157
10042,2020,25 bis unter 30 Jahre,f,2591
10042,2020,25 bis unter 30 Jahre,m,2861
10042,2020,95 Jahre und mehr,m,36
10042,2020,95 Jahre und mehr,f,195
10042,2020,45 bis unter 50 Jahre,m,3152
10042,2020,45 bis unter 50 Jahre,f,3216
10042,2020,70 bis unter 75 Jahre,m,2579
10042,2020,70 bis unter 75 Jahre,f,2736
10043,2020,70 bis unter 75 Jahre,f,3697
10043,2020,70 bis unter 75 Jahre,m,3411
10043,2020,25 bis unter 30 Jahre,m,3663
10043,2020,25 bis unter 30 Jahre,f,3341
10043,2020,45 bis unter 50 Jahre,m,3585
10043,2020,45 bis unter 50 Jahre,f,3585
10043,2020,90 bis unter 95 Jahre,f,773
10043,2020,90 bis unter 95 Jahre,m,302
10043,2020,65 bis unter 70 Jahre,m,4384
10043,2020,65 bis unter 70 Jahre,f,4731
10043,2020,85 bis unter 90 Jahre,m,1091
10043,2020,85 bis unter 90 Jahre,f,1936
10043,2020,10 bis unter 15 Jahre,f,2540
10043,2020,10 bis unter 15 Jahre,m,2785
10043,2020,5 bis unter 10 Jahre,m,2641
10043,2020,5 bis unter 10 Jahre,f,2572
10043,2020,30 bis unter 35 Jahre,m,4116
10043,2020,30 bis unter 35 Jahre,f,3809
10043,2020,50 bis unter 55 Jahre,f,5229
10043,2020,50 bis unter 55 Jahre,m,5169
10043,2020,35 bis unter 40 Jahre,f,3686
10043,2020,35 bis unter 40 Jahre,m,3868
10043,2020,55 bis unter 60 Jahre,f,6096
10043,2020,55 bis unter 60 Jahre,m,5980
10043,2020,60 bis unter 65 Jahre,m,5593
10043,2020,60 bis unter 65 Jahre,f,5599
10043,2020,80 bis unter 85 Jahre,f,3816
10043,2020,80 bis unter 85 Jahre,m,2625
10043,2020,unter 5 Jahre,m,2879
10043,2020,unter 5 Jahre,f,2703
10043,2020,20 bis unter 25 Jahre,m,3417
10043,2020,20 bis unter 25 Jahre,f,2932
10043,2020,15 bis unter 20 Jahre,m,2893
10043,2020,15 bis unter 20 Jahre,f,2627
10043,2020,40 bis unter 45 Jahre,f,3690
10043,2020,40 bis unter 45 Jahre,m,3581
10043,2020,75 bis unter 80 Jahre,f,3144
10043,2020,75 bis unter 80 Jahre,m,2418
10043,2020,95 Jahre und mehr,m,40
10043,2020,95 Jahre und mehr,f,225
10044,2020,95 Jahre und mehr,m,80
10044,2020,95 Jahre und mehr,f,328
10044,2020,75 bis unter 80 Jahre,m,3475
10044,2020,75 bis unter 80 Jahre,f,4531
10044,2020,40 bis unter 45 Jahre,m,5307
10044,2020,40 bis unter 45 Jahre,f,5405
10044,2020,20 bis unter 25 Jahre,m,5061
10044,2020,20 bis unter 25 Jahre,f,4286
10044,2020,unter 5 Jahre,m,4194
10044,2020,unter 5 Jahre,f,4085
10044,2020,60 bis unter 65 Jahre,f,8321
10044,2020,60 bis unter 65 Jahre,m,8020
10044,2020,80 bis unter 85 Jahre,m,3574
10044,2020,80 bis unter 85 Jahre,f,5276
10044,2020,15 bis unter 20 Jahre,m,4375
10044,2020,15 bis unter 20 Jahre,f,4011
10044,2020,25 bis unter 30 Jahre,f,4952
10044,2020,25 bis unter 30 Jahre,m,5455
10044,2020,55 bis unter 60 Jahre,m,8650
10044,2020,55 bis unter 60 Jahre,f,8916
10044,2020,10 bis unter 15 Jahre,f,3841
10044,2020,10 bis unter 15 Jahre,m,4107
10044,2020,85 bis unter 90 Jahre,f,2861
10044,2020,85 bis unter 90 Jahre,m,1650
10044,2020,30 bis unter 35 Jahre,f,5623
10044,2020,30 bis unter 35 Jahre,m,6083
10044,2020,5 bis unter 10 Jahre,f,3884
10044,2020,5 bis unter 10 Jahre,m,4203
10044,2020,65 bis unter 70 Jahre,m,6762
10044,2020,65 bis unter 70 Jahre,f,7167
10044,2020,90 bis unter 95 Jahre,f,1225
10044,2020,90 bis unter 95 Jahre,m,484
10044,2020,45 bis unter 50 Jahre,m,5267
10044,2020,45 bis unter 50 Jahre,f,5552
