ags,year,registrations_per_10k
10041,2008,89
10041,2009,93.9
10041,2010,92.8
10041,2011,84.7
10041,2012,77.2
10041,2013,74.5
10041,2014,73.9
10041,2015,73.9
10041,2016,70.8
10041,2017,66.8
10041,2018,71.8
10041,2019,71.1
10041,2020,70.1
10041,2021,76.5
10041,2022,74.8
10041,2023,75.5
10041,2024,77.7
10041,2025,82.7
10042,2008,85.4
10042,2009,84.9
10042,2010,76.2
10042,2011,62.7
10042,2012,53.7
10042,2013,54.6
10042,2014,56.6
10042,2015,53
10042,2016,53.6
10042,2017,49.1
10042,2018,53.3
10042,2019,55
10042,2020,59.5
10042,2021,59.8
10042,2022,55.4
10042,2023,57.2
10042,2024,55.3
10042,2025,60.7
10043,2008,73.5
10043,2009,73.7
10043,2010,70.2
10043,2011,65.1
10043,2012,58.4
10043,2013,61.2
10043,2014,63.3
10043,2015,56.4
10043,2016,58.6
10043,2017,57.5
10043,2018,54.8
10043,2019,57.9
10043,2020,61.8
10043,2021,70
10043,2022,64
10043,2023,65.9
10043,2024,66.3
10043,2025,68.8
10044,2008,79.1
10044,2009,85.3
10044,2010,79.7
10044,2011,69.6
10044,2012,69.9
10044,2013,67.9
10044,2014,70.2
10044,2015,64.9
10044,2016,63.3
10044,2017,61
10044,2018,63.2
10044,2019,66.6
10044,2020,69.5
10044,2021,77.1
10044,2022,71.5
10044,2023,75.6
10044,2024,78.2
10044,2025,80.2
10045,2008,74.6
10045,2009,80.3
10045,2010,79.3
10045,2011,69
10045,2012,68.5
10045,2013,72.1
10045,2014,64.2
10045,2015,68.2
10045,2016,60.4
10045,2017,64.2
10045,2018,61.7
10045,2019,67.7
10045,2020,64
10045,2021,69.5
10045,2022,65.2
10045,2023,68.5
10045,2024,68.1
10045,2025,68.7
10046,2008,67.7
10046,2009,73.6
10046,2010,77.9
10046,2011,61.7
10046,2012,59.2
10046,2013,65.6
10046,2014,56.9
10046,2015,54.3
10046,2016,58.3
10046,2017,51
10046,2018,58.8
10046,2019,62.7
10046,2020,59.6
10046,2021,68.2
10046,2022,61.1
10046,2023,64.2
10046,2024,61.1
10046,2025,68.2
11000,2011,139
11000,2012,136.4
11000,2013,129.3
11000,2014,123.9
11000,2015,114.5
11000,2016,113.3
11000,2017,118.5
11000,2018,115.5
11000,2019,108.8
11000,2020,107.4
11000,2021,111.8
11000,2022,107.6
11000,2023,107.8
11000,2024,109.6
11000,2025,112.5
12051,2008,71.3
12051,2009,72.2
12051,2010,61.4
12051,2011,72
12051,2012,53.9
12051,2013,55.1
12051,2014,49.3
12051,2015,56.4
12051,2016,50
12051,2017,49.9
12051,2018,58.1
12051,2019,54.3
12051,2020,51.7
12051,2021,57.7
12051,2022,49.3
12051,2023,59.8
12051,2024,55.4
12051,2025,63.9
12052,2008,89.8
12052,2009,78.5
12052,2010,76.8
12052,2011,70.3
12052,2012,61.1
12052,2013,63
12052,2014,65.4
12052,2015,65.1
12052,2016,60.8
12052,2017,58.1
12052,2018,52.5
12052,2019,51.5
12052,2020,47.8
12052,2021,53.7
12052,2022,52.4
12052,2023,50.6
12052,2024,52.6
12052,2025,63
12053,2008,86
12053,2009,103.6
12053,2010,96.5
12053,2011,71.9
12053,2012,86.1
12053,2013,93
12053,2014,73.5
12053,2015,62.2
12053,2016,53.7
12053,2017,57.9
12053,2018,60.8
12053,2019,51
12053,2020,54.7
12053,2021,52.6
12053,2022,53.2
12053,2023,49.5
12053,2024,54.5
12053,2025,65.8
12054,2008,115.7
12054,2009,113.2
12054,2010,109.1
12054,2011,99.1
12054,2012,85.7
12054,2013,83.5
12054,2014,91.5
12054,2015,77
12054,2016,81.8
12054,2017,82.6
12054,2018,82.1
12054,2019,77.6
12054,2020,75.7
12054,2021,75.4
12054,2022,74.1
12054,2023,72.4
12054,2024,69
12054,2025,75.7
12060,2008,96.8
12060,2009,94.3
12060,2010,99.7
12060,2011,92.7
12060,2012,79.2
