ags,year,cars
10041,2026,194511
10042,2026,73696
10043,2026,87568
10044,2026,135518
10045,2026,99640
10046,2026,63083
11000,2026,1222641
12051,2026,35099
12052,2026,48416
12053,2026,28103
12054,2026,77649
12060,2026,113295
12061,2026,111784
12062,2026,63574
12063,2026,100461
12064,2026,123573
12065,2026,129211
12066,2026,65348
12067,2026,110943
12068,2026,59729
12069,2026,135811
12070,2026,46220
12071,2026,70684
12072,2026,112792
12073,2026,68399
13003,2026,86483
13004,2026,45354
13071,2026,147938
13072,2026,131255
13073,2026,127441
13074,2026,93447
13075,2026,128259
13076,2026,130862
14511,2026,125972
14521,2026,202937
14522,2026,180779
14523,2026,136531
14524,2026,186741
14612,2026,229638
14625,2026,181962
14626,2026,143337
14627,2026,141934
14628,2026,147082
14713,2026,233738
14729,2026,158893
14730,2026,118975
15001,2026,41348
15002,2026,95134
15003,2026,112378
15081,2026,50644
15082,2026,93196
15083,2026,108044
15084,2026,102989
15085,2026,123776
15086,2026,54965
15087,2026,79242
15088,2026,116431
15089,2026,104857
15090,2026,63897
15091,2026,75929
16051,2026,98561
16052,2026,45803
16053,2026,44928
16054,2026,19208
16055,2026,30307
16061,2026,65134
16062,2026,47358
16063,2026,95367
16064,2026,53992
16065,2026,44001
16066,2026,75859
16067,2026,76676
16068,2026,40646
16069,2026,38820
16070,2026,58975
16071,2026,49638
16072,2026,34344
16073,2026,59487
16074,2026,49867
16075,2026,49901
16076,2026,59984
16077,2026,51194
10041100,2026,96810
09763,2026,41265
07135,2026,43090
09171,2026,75445
08416,2026,131194
03101,2026,140672
07233,2026,43504
09184,2026,250279
06531,2026,160732
05315,2026,501926
01053,2026,124618
03158,2026,77053
09676,2026,88088
07340,2026,68416
09774,2026,89536
03256,2026,80645
07211,2026,54533
03354,2026,32252
03452,2026,122553
06433,2026,169151
09761,2026,142329
09162,2026,790359
09271,2026,83195
07320,2026,21859
07133,2026,104017
09565,2026,26301
09173,2026,82874
07231,2026,78218
05762,2026,93221
09663,2026,64650
03103,2026,126648
06411,2026,74223
07331,2026,88932
09576,2026,90146
09186,2026,88684
06533,2026,116701
09674,2026,60161
06631,2026,149190
05566,2026,287940
01051,2026,85031
08316,2026,107117
07111,2026,64908
09772,2026,175173
06435,2026,215580
03454,2026,216660
03356,2026,75704
05154,2026,206340
01062,2026,156981
07311,2026,27394
03241,2026,602714
06413,2026,60769
09478,2026,45992
08111,2026,299197
06535,2026,74276
07333,2026,52443
08231,2026,63973
09180,2026,53892
06633,2026,154488
03154,2026,57726
03361,2026,90411
01057,2026,83890
09778,2026,106303
03252,2026,94804
06437,2026,64144
05916,2026,80701
07313,2026,28668
06611,2026,91782
07137,2026,144571
07235,2026,105196
06415,2026,53997
07335,2026,70949
09182,2026,68204
06635,2026,108140
05562,2026,367117
03461,2026,55550
01055,2026,132691
09678,2026,79747
09776,2026,54740
05914,2026,100423
03254,2026,165088
06439,2026,124320
03352,2026,130346
05112,2026,242289
05158,2026,304274
05366,2026,168098
09473,2026,60230
02000,2026,807162
07315,2026,103067
08236,2026,137712
06636,2026,63895
08127,2026,139213
09462,2026,41412
08225,2026,98458
08421,2026,68839
08212,2026,140612
07337,2026,79620
03402,2026,25699
05958,2026,174733
09279,2026,74104
09377,2026,49924
01003,2026,103083
05114,2026,123741
09475,2026,64839
07317,2026,23294
09464,2026,25983
08125,2026,258806
08136,2026,214701
05978,2026,247944
07339,2026,147139
03404,2026,89854
03241001,2026,223947
01001,2026,45956
05116,2026,145526
05362,2026,294169
09477,2026,51077
09575,2026,70882
07319,2026,46933
09371,2026,72511
09673,2026,56161
09273,2026,85886
06440,2026,200125
09771,2026,91963
09175,2026,89544
03457,2026,108778
03359,2026,131303
09262,2026,30498
08327,2026,94259
08425,2026,136027
07143,2026,144004
08216,2026,155260
09177,2026,94246
05758,2026,169255
08436,2026,191010
05954,2026,204971
07132,2026,87792
09671,2026,120342
09562,2026,56360
09188,2026,90510
08118,2026,342859
01060,2026,177535
09471,2026,105060
09573,2026,79024
09373,2026,94794
08336,2026,141016
09275,2026,135822
09362,2026,84123
08325,2026,98384
03459,2026,241182
09780,2026,106022
05974,2026,199204
05382,2026,380586
09179,2026,127034
04012,2026,52986
09277,2026,88145
09375,2026,133943
09571,2026,131527
06431,2026,179687
07141,2026,82787
08116,2026,345524
09183,2026,79828
05316,2026,93243
01054,2026,108638
09677,2026,87622
04011,2026,248662
03159,2026,186773
05162,2026,282190
09775,2026,115694
03257,2026,105263
03355,2026,109135
06432,2026,191669
03453,2026,110199
05558,2026,147419
05512,2026,70798
09762,2026,27020
09161,2026,103921
05754,2026,242741
09172,2026,68315
08417,2026,132817
07332,2026,93921
06532,2026,168834
08426,2026,140225
09185,2026,68801
09577,2026,65210
05314,2026,175089
05774,2026,193194
09675,2026,64217
08317,2026,286680
09773,2026,69171
08437,2026,90970
05970,2026,180775
03455,2026,68456
03357,2026,122030
06434,2026,166033
09163,2026,36326
09272,2026,55440
07134,2026,53090
09564,2026,248462
08415,2026,186440
09174,2026,97126
07232,2026,71208
09662,2026,30121
03102,2026,57503
06412,2026,347938
09261,2026,40008
06534,2026,148770
07334,2026,85999
03155,2026,89952
05358,2026,172374
01058,2026,181303
05166,2026,196530
03460,2026,94250
05120,2026,65073
06632,2026,81134
09190,2026,92847
08221,2026,61585
09779,2026,96578
05554,2026,240024
03351,2026,114570
06436,2026,183945
05915,2026,102193
05334,2026,304553
06414,2026,223018
09479,2026,47761
07336,2026,48323
09181,2026,87212
05770,2026,211237
