ags,year,rate,count
10041,2025,32.2,2674
10042,2025,40.63,1004
10043,2025,29.13,904
10044,2025,36.17,1752
10045,2025,37.57,1274
10046,2025,40.47,796
11000,2025,49.13,49180
12051,2025,57.17,872
12052,2025,56.9,1154
12053,2025,58.27,624
12054,2025,58.07,2589
12060,2025,56.8,2376
12061,2025,53.63,2285
12062,2025,58.1,1057
12063,2025,54.03,2052
12064,2025,56.5,2224
12065,2025,54.13,2487
12066,2025,57.33,1149
12067,2025,56.5,1996
12068,2025,57.73,1103
12069,2025,57.6,2538
12070,2025,55.97,815
12071,2025,59.97,1184
12072,2025,50.4,2060
12073,2025,54.83,1202
13003,2025,63.13,2734
13004,2025,56.33,1171
13071,2025,58.2,2740
13072,2025,56.03,2549
13073,2025,56.8,2236
13074,2025,58.73,1875
13075,2025,58.43,2493
13076,2025,54.67,2413
14511,2025,45.33,2509
14521,2025,46.37,2853
14522,2025,52.43,3093
14523,2025,47.47,1904
14524,2025,49.67,3045
14612,2025,54.1,7014
14625,2025,55.07,3241
14626,2025,53.3,2463
14627,2025,53.07,2383
14628,2025,51.93,2409
14713,2025,52.07,7911
14729,2025,55.5,2863
14730,2025,54.97,2223
15001,2025,53.97,830
15002,2025,53.77,2917
15003,2025,55.57,3072
15081,2025,56.8,948
15082,2025,56.37,1657
15083,2025,59.87,2037
15084,2025,56.1,1857
15085,2025,56.9,2105
15086,2025,57.93,966
15087,2025,57.27,1295
15088,2025,57.33,2174
15089,2025,60.67,2047
15090,2025,54.5,1163
15091,2025,59.23,1355
16051,2025,52.07,2405
16052,2025,47.93,936
16053,2025,57.17,1297
16054,2025,50.47,303
16055,2025,53.53,747
16061,2025,53.93,1255
16062,2025,52.27,804
16063,2025,48.83,1569
16064,2025,54.27,1100
16065,2025,55.47,783
16066,2025,54.23,1205
16067,2025,50.8,1349
16068,2025,57,783
16069,2025,52.67,589
16070,2025,55.43,1069
16071,2025,55.43,975
16072,2025,52.03,508
16073,2025,55,996
16074,2025,55.03,847
16075,2025,55.47,778
16076,2025,57.53,976
16077,2025,50.9,763
10041100,2025,39.3,1784
06636,2025,35.07,824
05114,2025,27,1630
09563,2025,30.7,1080
05111,2025,40.4,6511
09678,2025,41.43,1322
09776,2025,28.87,634
05566,2025,42.23,5489
09672,2025,37.8,1067
09779,2025,32.53,1320
06535,2025,32.43,851
05122,2025,32,1375
09462,2025,35.7,562
08121,2025,25.73,975
05970,2025,31.8,2328
09571,2025,38.1,2094
06633,2025,36.3,2076
05154,2025,32.9,2823
01056,2025,37.6,3114
09178,2025,29.07,1531
06434,2025,38.2,2181
05378,2025,35.03,2569
05316,2025,26.7,1168
09361,2025,29.63,294
06532,2025,28.83,1952
05954,2025,32.1,2631
07315,2025,34.27,2017
09186,2025,29.87,1195
09577,2025,35.9,962
08235,2025,25.63,1231
09675,2025,39.63,1075
07141,2025,35.1,1102
09773,2025,30.8,888
08421,2025,36.97,1296
09372,2025,27.4,927
05162,2025,36.07,4261
05911,2025,33.2,2975
03158,2025,38.3,1115
09189,2025,21.43,1065
05978,2025,32.13,3384
09375,2025,29.8,1663
08417,2025,28.4,1557
03155,2025,34.73,1042
07331,2025,33.47,1278
01060,2025,40.37,2952
06437,2025,29.27,694
09476,2025,41.27,592
03455,2025,34.13,803
03101,2025,40.03,2480
08316,2025,35.13,1758
07311,2025,22.3,294
09279,2025,24.03,687
08327,2025,24.07,1090
07318,2025,33.47,443
05117,2025,35.1,1631
09271,2025,24.1,782
07135,2025,31.93,481
09182,2025,26.57,699
08335,2025,33.47,2451
09174,2025,28.77,1284
09461,2025,35.33,756
06531,2025,35.1,2487
03255,2025,34.43,565
03353,2025,38.13,2646
07132,2025,26.53,975
05958,2025,34.03,2319
08125,2025,26.03,2814
09163,2025,23.03,429
07143,2025,30.27,1715
08136,2025,27.03,2487
03159,2025,38.17,2990
06414,2025,39.07,3139
09185,2025,24.17,729
09477,2025,40.83,667
03458,2025,35.23,1281
07334,2025,30.27,1123
09373,2025,29.63,1240
06435,2025,29.4,3513
03151,2025,32.93,1732
09764,2025,18.37,261
07335,2025,28.8,1003
05915,2025,32.73,1633
03354,2025,34.9,362
01004,2025,33.43,689
07314,2025,20.8,1143
09162,2025,42.27,18453
05515,2025,43.17,3257
08315,2025,35.03,2612
08126,2025,25.03,837
08336,2025,29.1,1791
03256,2025,33.73,1040
