ags,year,hz
01001,2020,9294.2
01001,2021,9588.1
01001,2022,10620.9
01001,2023,10767.2
01001,2024,9013.7
01002,2020,8664.7
01002,2021,8340.2
01002,2022,9603.1
01002,2023,10684.8
01002,2024,11172.9
01003,2020,9671.6
01003,2021,9222.8
01003,2022,10153.2
01003,2023,10322.1
01003,2024,9671.9
01004,2020,11787.4
01004,2021,11094.4
01004,2022,15948.0
01004,2023,18117.8
01004,2024,15882.0
01051,2020,4953.0
01051,2021,4846.5
01051,2022,5347.5
01051,2023,5401.0
01051,2024,5335.0
01053,2020,5028.3
01053,2021,4910.8
01053,2022,4968.7
01053,2023,4894.2
01053,2024,4658.7
01054,2020,5088.2
01054,2021,10127.0
01054,2022,25535.9
01054,2023,5566.6
01054,2024,16229.5
01055,2020,5841.8
01055,2021,5455.4
01055,2022,6313.9
01055,2023,5890.8
01055,2024,6169.8
01056,2020,5484.9
01056,2021,5688.7
01056,2022,6194.3
01056,2023,6235.7
01056,2024,6723.1
01057,2020,4150.4
01057,2021,3880.9
01057,2022,3995.0
01057,2023,3991.1
01057,2024,3786.1
01058,2020,4363.4
01058,2021,4055.8
01058,2022,4295.2
01058,2023,4434.4
01058,2024,4122.9
01059,2020,4666.5
01059,2021,4307.0
01059,2022,4675.7
01059,2023,4781.6
01059,2024,4629.3
01060,2020,5040.1
01060,2021,4697.7
01060,2022,5083.5
01060,2023,5662.0
01060,2024,6347.5
01061,2020,5079.6
01061,2021,5168.1
01061,2022,5353.7
01061,2023,5762.8
01061,2024,5811.4
01062,2020,5081.2
01062,2021,4910.0
01062,2022,5294.5
01062,2023,5220.3
01062,2024,5277.8
02000,2020,10787.9
02000,2021,9828.5
02000,2022,11117.2
02000,2023,12074.0
02000,2024,11857.4
03101,2020,7598.9
03101,2021,6982.2
03101,2022,8048.7
03101,2023,8904.1
03101,2024,8398.7
03102,2020,6037.9
03102,2021,5659.2
03102,2022,6682.2
03102,2023,6728.0
03102,2024,6621.2
03103,2020,6903.5
03103,2021,6329.9
03103,2022,7140.8
03103,2023,7523.8
03103,2024,7993.2
03151,2020,3755.9
03151,2021,3426.1
03151,2022,4053.5
03151,2023,4405.4
03151,2024,4378.1
03153,2020,6235.9
03153,2021,5693.9
03153,2022,6431.2
03153,2023,6962.8
03153,2024,6621.1
03154,2020,6668.3
03154,2021,6463.2
03154,2022,6230.1
03154,2023,6754.6
03154,2024,6768.0
03155,2020,4828.2
03155,2021,4916.1
03155,2022,5141.0
03155,2023,5264.2
03155,2024,5421.6
03157,2020,5294.5
03157,2021,4871.0
03157,2022,5293.5
03157,2023,5573.3
03157,2024,5676.6
03158,2020,3499.4
03158,2021,3481.0
03158,2022,4142.6
03158,2023,4492.6
03158,2024,4544.5
03159,2020,6254.1
03159,2021,6403.2
03159,2022,6674.0
03159,2023,7467.3
03159,2024,7931.4
03241,2020,8974.8
03241,2021,8338.5
03241,2022,9362.5
03241,2023,9921.0
03241,2024,9708.6
03251,2020,4773.6
03251,2021,4813.1
03251,2022,5265.5
03251,2023,5223.1
03251,2024,5085.1
03252,2020,5304.0
03252,2021,4815.6
03252,2022,5514.1
03252,2023,5602.1
03252,2024,5327.0
03254,2020,5753.5
03254,2021,5405.8
03254,2022,6072.6
03254,2023,6249.2
03254,2024,6177.0
03255,2020,4750.3
03255,2021,4841.4
03255,2022,4945.5
03255,2023,4676.3
03255,2024,4958.5
03256,2020,5681.7
03256,2021,4980.1
03256,2022,5461.8
03256,2023,5910.8
03256,2024,5464.0
03257,2020,5483.5
03257,2021,4957.5
03257,2022,5557.0
03257,2023,5677.0
03257,2024,5871.3
03351,2020,6468.9
03351,2021,5740.7
03351,2022,6503.6
03351,2023,6396.4
03351,2024,7101.8
03352,2020,5020.8
03352,2021,4946.5
03352,2022,5327.1
03352,2023,5368.1
03352,2024,4668.7
03353,2020,5046.6
03353,2021,4919.2
03353,2022,5101.2
03353,2023,5067.8
03353,2024,5152.1
03354,2020,5335.5
03354,2021,4972.9
03354,2022,5869.4
03354,2023,5522.8
03354,2024,6393.3
03355,2020,6623.3
03355,2021,6467.3
03355,2022,6861.2
03355,2023,7540.8
03355,2024,7947.5
03356,2020,3893.7
03356,2021,3805.0
03356,2022,4505.7
03356,2023,4176.7
03356,2024,4043.6
03357,2020,5277.7
03357,2021,4936.0
03357,2022,5597.5
03357,2023,6211.7
03357,2024,5615.5
03358,2020,7499.7
03358,2021,7338.6
03358,2022,8088.9
03358,2023,7902.0
03358,2024,7491.5
03359,2020,5456.4
03359,2021,4689.4
03359,2022,5027.2
03359,2023,5354.1
03359,2024,4821.8
03360,2020,4896.7
03360,2021,5054.8
03360,2022,6232.9
03360,2023,6642.5
03360,2024,6672.0
03361,2020,5131.5
03361,2021,4742.2
03361,2022,5586.0
03361,2023,5379.2
03361,2024,5389.3
03401,2020,6555.0
03401,2021,6217.8
03401,2022,6711.6
03401,2023,7168.5
03401,2024,6001.5
03402,2020,7649.3
03402,2021,7134.0
03402,2022,7204.7
03402,2023,8447.6
03402,2024,8690.0
03403,2020,7084.9
03403,2021,6790.5
03403,2022,7608.5
03403,2023,8660.0
03403,2024,7885.7
03404,2020,9622.9
03404,2021,8797.8
03404,2022,10925.6
03404,2023,11039.3
03404,2024,10231.4
03405,2020,10181.5
03405,2021,10613.3
03405,2022,11054.7
03405,2023,12110.8
03405,2024,9663.2
03451,2020,3395.8
03451,2021,3279.9
03451,2022,3505.8
03451,2023,3938.3
03451,2024,3507.7
03452,2020,5224.7
03452,2021,4804.4
03452,2022,4953.7
03452,2023,5596.9
03452,2024,5238.7
03453,2020,3862.7
03453,2021,3743.2
03453,2022,4083.8
03453,2023,4004.5
03453,2024,3570.9
03454,2020,4997.0
03454,2021,4798.9
03454,2022,4965.0
03454,2023,5387.0
03454,2024,5387.4
03455,2020,5154.8
03455,2021,4159.8
03455,2022,4976.2
03455,2023,5043.0
03455,2024,4874.5
03456,2020,5114.4
03456,2021,4951.0
03456,2022,6040.9
03456,2023,5820.8
03456,2024,5347.0
03457,2020,5178.1
03457,2021,5030.2
03457,2022,5504.5
03457,2023,5867.0
03457,2024,5173.5
03458,2020,4438.8
03458,2021,4110.5
03458,2022,4385.6
03458,2023,4276.7
03458,2024,4508.8
03459,2020,4063.9
03459,2021,3979.2
03459,2022,4144.1
03459,2023,4334.8
03459,2024,4206.4
03460,2020,4442.1
03460,2021,3866.4
03460,2022,4361.7
03460,2023,4434.9
03460,2024,4499.3
03461,2020,5593.6
03461,2021,4650.7
03461,2022,5267.4
03461,2023,5323.3
03461,2024,5328.3
03462,2020,5036.4
03462,2021,4677.3
03462,2022,4629.7
03462,2023,4645.4
03462,2024,4413.3
04011,2020,11799.8
04011,2021,11145.3
04011,2022,11753.4
04011,2023,14274.8
04011,2024,15231.6
04012,2020,11708.6
04012,2021,10880.0
04012,2022,11575.2
04012,2023,12845.1
04012,2024,13294.1
05111,2020,9998.8
05111,2021,9239.9
05111,2022,11488.4
05111,2023,12617.8
05111,2024,12465.9
05112,2020,8640.9
05112,2021,8734.1
05112,2022,9363.4
05112,2023,9540.0
05112,2024,10333.8
05113,2020,7472.2
05113,2021,7973.7
05113,2022,8503.5
05113,2023,9607.6
05113,2024,9828.7
05114,2020,8866.5
05114,2021,9008.4
05114,2022,9446.4
05114,2023,9761.1
05114,2024,8800.6
05116,2020,8256.4
05116,2021,8638.8
05116,2022,9557.4
05116,2023,10069.8
05116,2024,9483.4
05117,2020,5285.1
05117,2021,6146.7
05117,2022,6361.8
05117,2023,7473.7
05117,2024,7481.2
05119,2020,7378.9
05119,2021,6722.5
05119,2022,7954.9
05119,2023,8668.8
05119,2024,8256.8
05120,2020,5636.0
05120,2021,6233.2
05120,2022,7077.9
05120,2023,6701.7
05120,2024,6992.7
05122,2020,5933.6
05122,2021,6331.9
05122,2022,7139.0
05122,2023,7369.1
05122,2024,6926.3
05124,2020,8059.4
05124,2021,7817.7
05124,2022,8952.5
05124,2023,9064.1
05124,2024,9618.2
05154,2020,5879.7
05154,2021,5814.0
05154,2022,6448.9
05154,2023,7268.9
05154,2024,7508.3
05158,2020,5667.6
05158,2021,5304.7
05158,2022,5904.3
05158,2023,6076.8
05158,2024,6416.2
05162,2020,5290.8
05162,2021,5124.1
05162,2022,5927.1
05162,2023,6579.6
05162,2024,6761.7
05166,2020,5643.7
05166,2021,5763.5
05166,2022,6344.5
05166,2023,6255.9
05166,2024,6579.1
05170,2020,5207.9
05170,2021,5140.7
05170,2022,5823.4
05170,2023,5769.0
05170,2024,6090.5
05314,2020,8398.3
05314,2021,8381.1
05314,2022,10176.1
05314,2023,9930.3
05314,2024,10560.2
05315,2020,10395.1
05315,2021,10148.2
05315,2022,11878.0
05315,2023,12746.6
05315,2024,13101.1
05316,2020,6410.0
05316,2021,5844.2
05316,2022,8326.5
05316,2023,7053.5
05316,2024,6934.8
05334,2020,8178.4
05334,2021,7743.0
05334,2022,8688.4
05334,2023,9302.8
05334,2024,8346.3
05358,2020,5929.2
05358,2021,5463.5
05358,2022,6643.2
05358,2023,6364.1
05358,2024,6001.5
05362,2020,6224.4
05362,2021,6614.8
05362,2022,7329.9
05362,2023,6879.1
05362,2024,6562.2
05366,2020,4906.1
05366,2021,4945.0
05366,2022,5552.1
05366,2023,5948.4
05366,2024,6015.6
05370,2020,5583.5
05370,2021,5111.2
05370,2022,5591.8
05370,2023,5393.9
05370,2024,5425.2
05374,2020,4055.0
05374,2021,3905.1
05374,2022,4604.2
05374,2023,4202.2
05374,2024,4061.1
05378,2020,4291.7
05378,2021,4563.1
05378,2022,4767.7
05378,2023,4776.2
05378,2024,4777.4
05382,2020,4373.9
05382,2021,4655.6
05382,2022,5133.1
05382,2023,4918.0
05382,2024,5030.7
05512,2020,5589.2
05512,2021,6032.1
05512,2022,7380.4
05512,2023,6864.6
05512,2024,6944.6
05513,2020,8278.2
05513,2021,7750.1
05513,2022,8785.0
05513,2023,9320.5
05513,2024,9625.3
05515,2020,8484.2
05515,2021,8316.3
05515,2022,9999.9
05515,2023,10852.0
05515,2024,10835.0
05554,2020,5270.1
05554,2021,5863.7
05554,2022,6584.1
05554,2023,6473.5
05554,2024,6461.3
05558,2020,4810.8
05558,2021,4659.9
05558,2022,5223.8
05558,2023,5649.1
05558,2024,4986.4
05562,2020,6501.5
05562,2021,6530.2
05562,2022,7465.6
05562,2023,7497.4
05562,2024,7504.3
05566,2020,5056.4
05566,2021,4841.6
05566,2022,5808.2
05566,2023,5660.2
05566,2024,5667.5
05570,2020,4565.2
05570,2021,4575.8
05570,2022,5067.3
05570,2023,4923.1
05570,2024,5114.2
05711,2020,6945.9
05711,2021,6080.8
05711,2022,7263.1
05711,2023,8145.0
05711,2024,8435.7
05754,2020,4467.1
05754,2021,4290.4
05754,2022,4700.6
05754,2023,5015.8
05754,2024,5153.5
05758,2020,4090.1
05758,2021,4497.0
05758,2022,4896.4
05758,2023,4700.4
05758,2024,5038.2
05762,2020,4561.8
05762,2021,4042.8
05762,2022,5044.5
05762,2023,4777.9
05762,2024,4890.6
05766,2020,3718.4
05766,2021,3741.8
05766,2022,4617.3
05766,2023,4325.3
05766,2024,4412.7
05770,2020,4566.9
05770,2021,4538.3
05770,2022,4856.5
05770,2023,4860.8
05770,2024,5008.0
05774,2020,5134.5
05774,2021,5226.1
05774,2022,5864.0
05774,2023,6097.7
05774,2024,5978.0
05911,2020,7568.4
05911,2021,7148.0
05911,2022,8410.4
05911,2023,8754.0
05911,2024,8600.5
05913,2020,10500.5
05913,2021,9400.9
05913,2022,10693.5
05913,2023,11838.7
05913,2024,12163.4
05914,2020,7427.2
05914,2021,7676.2
05914,2022,9654.9
05914,2023,9499.3
05914,2024,9246.2
05915,2020,8644.6
05915,2021,8206.5
05915,2022,9233.0
05915,2023,10424.7
05915,2024,10767.1
05916,2020,8199.5
05916,2021,7767.3
05916,2022,9099.0
05916,2023,9224.2
05916,2024,8622.9
05954,2020,5364.3
05954,2021,5366.3
05954,2022,6311.2
05954,2023,5783.3
05954,2024,5853.3
05958,2020,4787.6
05958,2021,4518.0
05958,2022,4980.4
05958,2023,4887.9
05958,2024,4941.9
05962,2020,4914.7
05962,2021,5105.4
05962,2022,6113.7
05962,2023,5763.2
05962,2024,5828.8
05966,2020,3925.9
05966,2021,3798.7
05966,2022,4529.0
05966,2023,4502.4
05966,2024,4373.0
05970,2020,4903.9
05970,2021,4764.2
05970,2022,5212.8
05970,2023,5853.4
05970,2024,5485.5
05974,2020,5160.3
05974,2021,5006.4
05974,2022,6147.6
05974,2023,6761.6
05974,2024,6216.1
05978,2020,5542.3
05978,2021,5542.2
05978,2022,6190.6
05978,2023,6008.3
05978,2024,5839.5
06411,2020,6004.6
06411,2021,5754.7
06411,2022,6858.9
06411,2023,8182.2
06411,2024,7994.2
06412,2020,13479.1
06412,2021,12622.5
06412,2022,14363.0
06412,2023,14871.8
06412,2024,15110.4
06413,2020,7277.4
06413,2021,6854.5
06413,2022,7138.9
06413,2023,7357.1
06413,2024,6213.4
06414,2020,6901.2
06414,2021,6777.2
06414,2022,7080.1
06414,2023,7274.5
06414,2024,7173.1
06431,2020,3122.7
06431,2021,3012.7
06431,2022,3310.9
06431,2023,3418.5
06431,2024,3124.8
06432,2020,2851.5
06432,2021,2766.5
06432,2022,3112.5
06432,2023,3133.8
06432,2024,3128.7
06433,2020,3932.5
06433,2021,3932.1
06433,2022,4304.6
06433,2023,4334.2
06433,2024,4817.9
06434,2020,3671.4
06434,2021,3648.8
06434,2022,3716.2
06434,2023,3403.5
06434,2024,3738.2
06435,2020,3915.1
06435,2021,3885.8
06435,2022,4059.8
06435,2023,4038.2
06435,2024,4052.5
06436,2020,4034.7
06436,2021,3940.8
06436,2022,3992.5
06436,2023,4256.2
06436,2024,4489.7
06437,2020,2645.2
06437,2021,2607.6
06437,2022,3117.0
06437,2023,3231.3
06437,2024,2546.5
06438,2020,3951.5
06438,2021,4066.3
06438,2022,4145.6
06438,2023,4475.7
06438,2024,4208.3
06439,2020,2776.8
06439,2021,2895.4
06439,2022,2811.5
06439,2023,2834.7
06439,2024,2914.8
06440,2020,3293.5
06440,2021,3538.6
06440,2022,3468.8
06440,2023,3979.5
06440,2024,4086.8
06531,2020,5837.3
06531,2021,6174.1
06531,2022,7585.6
06531,2023,8847.9
06531,2024,10700.7
06532,2020,3397.7
06532,2021,3443.1
06532,2022,3534.4
06532,2023,3789.5
06532,2024,3919.5
06533,2020,3968.3
06533,2021,3966.5
06533,2022,4422.3
06533,2023,5012.5
06533,2024,4450.9
06534,2020,4102.7
06534,2021,4202.1
06534,2022,4221.1
06534,2023,4513.7
06534,2024,4388.4
06535,2020,3733.3
06535,2021,4124.9
06535,2022,4247.1
06535,2023,3998.8
06535,2024,3921.4
06611,2020,8042.6
06611,2021,8380.1
06611,2022,10163.9
06611,2023,12046.9
06611,2024,10961.9
06631,2020,4305.7
06631,2021,3727.9
06631,2022,4428.6
06631,2023,4890.6
06631,2024,4285.8
06632,2020,4240.4
06632,2021,3864.4
06632,2022,4340.8
06632,2023,4464.2
06632,2024,4607.2
06633,2020,2998.3
06633,2021,3028.2
06633,2022,3019.8
06633,2023,3433.5
06633,2024,3590.6
06634,2020,3530.3
06634,2021,3586.0
06634,2022,3775.0
06634,2023,4089.9
06634,2024,3910.9
06635,2020,3335.5
06635,2021,3492.0
06635,2022,3587.6
06635,2023,3791.3
06635,2024,3415.7
06636,2020,3804.1
06636,2021,3969.2
06636,2022,4543.0
06636,2023,4844.9
06636,2024,4119.1
07111,2020,9432.5
07111,2021,9319.3
07111,2022,12467.7
07111,2023,14920.0
07111,2024,10593.2
07131,2020,5046.7
07131,2021,4881.2
07131,2022,4917.0
07131,2023,4978.9
07131,2024,5121.1
07132,2020,4958.7
07132,2021,4191.7
07132,2022,5055.7
07132,2023,4907.7
07132,2024,4803.7
07133,2020,5249.9
07133,2021,5057.1
07133,2022,5427.8
07133,2023,5435.0
07133,2024,4897.2
07134,2020,5839.3
07134,2021,4808.9
07134,2022,5567.2
07134,2023,5324.1
07134,2024,5013.2
07135,2020,4135.2
07135,2021,3546.7
07135,2022,4245.6
07135,2023,3831.4
07135,2024,3679.0
07137,2020,4628.0
07137,2021,4111.1
07137,2022,4596.5
07137,2023,4459.9
07137,2024,4586.1
07138,2020,5169.8
07138,2021,4696.6
07138,2022,5175.4
07138,2023,5164.9
07138,2024,5111.9
07140,2020,4064.4
07140,2021,3824.9
07140,2022,4701.9
07140,2023,4903.1
07140,2024,4984.5
07141,2020,4750.7
07141,2021,4227.7
07141,2022,4773.3
07141,2023,4584.3
07141,2024,4622.3
07143,2020,4363.5
07143,2021,4185.8
07143,2022,4546.4
07143,2023,4488.0
07143,2024,4260.6
07211,2020,9516.9
07211,2021,9181.0
