ags,year,divorces
10041,2018,166
10041,2019,335
10041,2020,285
10041,2021,178
10041,2022,179
10041,2023,136
10041,2024,121
10042,2018,53
10042,2019,102
10042,2020,92
10042,2021,53
10042,2022,100
10042,2023,102
10042,2024,70
10043,2018,148
10043,2019,144
10043,2020,71
10043,2021,77
10043,2022,53
10043,2023,97
10043,2024,109
10044,2018,102
10044,2019,201
10044,2020,200
10044,2021,102
10044,2022,93
10044,2023,145
10044,2024,147
10045,2018,63
10045,2019,132
10045,2020,80
10045,2021,72
10045,2022,72
10045,2023,120
10045,2024,32
10046,2018,75
10046,2019,54
10046,2020,91
10046,2021,33
10046,2022,40
10046,2023,79
10046,2024,94
11000,2018,1325
11000,2019,3218
11000,2020,2895
11000,2021,1441
11000,2022,3095
11000,2023,1272
11000,2024,1236
12051,2018,24
12051,2019,25
12051,2020,19
12051,2021,14
12051,2022,30
12051,2023,15
12051,2024,23
12052,2018,26
12052,2019,34
12052,2020,35
12052,2021,35
12052,2022,40
12052,2023,33
12052,2024,29
12053,2018,19
12053,2019,44
12053,2020,14
12053,2021,13
12053,2022,16
12053,2023,18
12053,2024,17
12054,2018,82
12054,2019,82
12054,2020,74
12054,2021,82
12054,2022,78
12054,2023,90
12054,2024,56
12060,2018,61
12060,2019,60
12060,2020,229
12060,2021,46
12060,2022,68
12060,2023,48
12060,2024,195
12061,2018,63
12061,2019,66
12061,2020,185
12061,2021,72
12061,2022,57
12061,2023,65
12061,2024,175
12062,2018,33
12062,2019,71
12062,2020,41
12062,2021,33
12062,2022,37
12062,2023,65
12062,2024,43
12063,2018,59
12063,2019,82
12063,2020,141
12063,2021,53
12063,2022,57
12063,2023,79
12063,2024,144
12064,2018,58
12064,2019,77
12064,2020,64
12064,2021,78
12064,2022,69
12064,2023,72
12064,2024,79
12065,2018,63
12065,2019,248
12065,2020,72
12065,2021,65
12065,2022,74
12065,2023,86
12065,2024,102
12066,2018,34
12066,2019,84
12066,2020,37
12066,2021,56
12066,2022,48
12066,2023,31
12066,2024,29
12067,2018,51
12067,2019,72
12067,2020,60
12067,2021,68
12067,2022,65
12067,2023,71
12067,2024,58
12068,2018,45
12068,2019,31
12068,2020,83
12068,2021,49
12068,2022,45
12068,2023,50
12068,2024,30
12069,2018,61
12069,2019,67
12069,2020,179
12069,2021,89
12069,2022,80
12069,2023,95
12069,2024,83
12070,2018,63
12070,2019,54
12070,2020,50
12070,2021,21
12070,2022,27
12070,2023,22
12070,2024,42
12071,2018,60
12071,2019,107
12071,2020,88
12071,2021,26
12071,2022,37
12071,2023,59
12071,2024,26
12072,2018,144
12072,2019,90
12072,2020,161
12072,2021,76
12072,2022,54
12072,2023,86
12072,2024,53
12073,2018,47
12073,2019,60
12073,2020,55
12073,2021,44
12073,2022,47
12073,2023,45
12073,2024,84
13003,2018,59
13003,2019,118
13003,2020,226
13003,2021,48
13003,2022,123
13003,2023,158
13003,2024,135
13004,2018,60
