ags,year,pct_no_hauptschulabschluss
10041,2006,8.8
10041,2007,8.3
10041,2008,7.5
10041,2009,6.4
10041,2010,6.2
10041,2011,5.5
10041,2012,5.7
10041,2013,6.2
10041,2014,6.1
10041,2015,5.5
10041,2016,8.6
10041,2017,6.8
10041,2018,8.8
10041,2019,8
10041,2020,7.7
10041,2021,6.5
10041,2022,8.8
10041,2023,9.1
10041,2024,9.4
10042,2006,7.4
10042,2007,6.9
10042,2008,6.4
10042,2009,5.1
10042,2010,5.2
10042,2011,3.1
10042,2012,4.5
10042,2013,5.4
10042,2014,4.7
10042,2015,3.4
10042,2016,8.4
10042,2017,8
10042,2018,7.5
10042,2019,4.6
10042,2020,3.8
10042,2021,3.9
10042,2022,6.7
10042,2023,6
10042,2024,7.7
10043,2006,8.3
10043,2007,9
10043,2008,7.6
10043,2009,7.2
10043,2010,6.4
10043,2011,7.3
10043,2012,6.6
10043,2013,5.4
10043,2014,5.8
10043,2015,5.2
10043,2016,8.9
10043,2017,7.1
10043,2018,8
10043,2019,10.2
10043,2020,9.7
10043,2021,9.3
10043,2022,10.2
10043,2023,12.6
10043,2024,11.1
10044,2006,6.7
10044,2007,7.7
10044,2008,6.3
10044,2009,3.8
10044,2010,4.7
10044,2011,4.3
10044,2012,5.5
10044,2013,3.5
10044,2014,3.5
10044,2015,4.1
10044,2016,6.1
10044,2017,5.8
10044,2018,5.4
10044,2019,6.1
10044,2020,4.1
10044,2021,5
10044,2022,5.3
10044,2023,8.1
10044,2024,8.3
10045,2006,8.2
10045,2007,4.8
10045,2008,6
10045,2009,4.4
10045,2010,6.6
10045,2011,4.7
10045,2012,4.6
10045,2013,4.5
10045,2014,4.4
10045,2015,3.7
10045,2016,4.4
10045,2017,6.3
10045,2018,5.6
10045,2019,6.6
10045,2020,6.7
10045,2021,6.8
10045,2022,7.9
10045,2023,10.2
10045,2024,9.1
10046,2006,8.7
10046,2007,7.6
10046,2008,7
10046,2009,4.5
10046,2010,5.1
10046,2011,4.6
10046,2012,4.3
10046,2013,4.9
10046,2014,5.9
10046,2015,5.5
10046,2016,3.8
10046,2017,6.6
10046,2018,6.4
10046,2019,7.2
10046,2020,4.9
10046,2021,5.7
10046,2022,3.3
10046,2023,7.2
10046,2024,10.1
11000,2006,9.5
11000,2007,9.7
11000,2008,9.5
11000,2009,8.9
11000,2010,9.1
11000,2011,8.8
11000,2012,6.9
11000,2013,7.2
11000,2014,8.4
11000,2015,10
11000,2016,8.4
11000,2017,9.6
11000,2018,9.9
11000,2019,8.9
11000,2020,6.9
11000,2021,6.6
11000,2022,7
11000,2023,8.1
11000,2024,9.5
12051,2006,12.7
12051,2007,13.9
12051,2008,7.8
12051,2009,8.2
12051,2010,9.3
12051,2011,10.1
12051,2012,6.3
12051,2013,7.4
12051,2014,8.3
12051,2015,9.6
12051,2016,8.7
12051,2017,8.4
12051,2018,8.7
12051,2019,8.3
12051,2020,7.4
12051,2021,4.3
12051,2022,7.2
12051,2023,11.1
12051,2024,8.2
12052,2006,7.8
12052,2007,10
12052,2008,7.1
12052,2009,6.6
12052,2010,7.4
12052,2011,7.5
12052,2012,6.8
12052,2013,8.6
12052,2014,8.8
12052,2015,8.7
12052,2016,8.2
12052,2017,8.6
12052,2018,10.2
12052,2019,6.9
12052,2020,5.5
12052,2021,6
12052,2022,8.5
12052,2023,7.2
12052,2024,8.9
12053,2006,8.5
12053,2007,8.3
12053,2008,7.4
12053,2009,6.8
12053,2010,6.9
12053,2011,5.8
12053,2012,7.1
12053,2013,6.8
12053,2014,6.5
12053,2015,4.6
12053,2016,5.4
12053,2017,6.3
12053,2018,6.9
12053,2019,7.8
12053,2020,4.2
12053,2021,5.7
12053,2022,5
12053,2023,8
12053,2024,8.5
12054,2006,8
12054,2007,6.6
12054,2008,6.2
12054,2009,4.5
12054,2010,4.2
12054,2011,4.6
12054,2012,3.6
12054,2013,4.2
12054,2014,4.8
12054,2015,3.9
12054,2016,3.6
12054,2017,4.5
12054,2018,4.8
12054,2019,5.1
12054,2020,3.8
12054,2021,3.5
12054,2022,5.1
12054,2023,5.5
12054,2024,5.8
12060,2006,9.6
12060,2007,9.6
12060,2008,8.6
12060,2009,7.6
12060,2010,5.5
12060,2011,8.7
12060,2012,8.2
12060,2013,7.1
12060,2014,7.6
12060,2015,6.4
12060,2016,6.4
12060,2017,6.8
12060,2018,7.5
12060,2019,6.4
12060,2020,5.9
12060,2021,5.2
12060,2022,5.9
12060,2023,5.9
12060,2024,5.8
12061,2006,9
12061,2007,8.9
12061,2008,8.4
12061,2009,7.1
12061,2010,6.6
12061,2011,5.7
12061,2012,5.2
12061,2013,7.1
12061,2014,6.1
12061,2015,6.8
12061,2016,5.6
12061,2017,4.8
12061,2018,6.6
12061,2019,5.4
12061,2020,4
12061,2021,4.1
12061,2022,4.7
12061,2023,5.2
12061,2024,7.2
12062,2006,8.7
12062,2007,9
12062,2008,11
12062,2009,9.8
12062,2010,7.6
12062,2011,9.9
12062,2012,7.1
12062,2013,8.6
12062,2014,8
12062,2015,6.7
12062,2016,5.9
12062,2017,8.4
12062,2018,6.4
12062,2019,7.2
12062,2020,5.4
12062,2021,6.8
12062,2022,8.3
12062,2023,9
12062,2024,10.4
12063,2006,11.5
12063,2007,11.6
12063,2008,10.7
12063,2009,10.2
12063,2010,9
12063,2011,7.4
12063,2012,7.4
12063,2013,7.3
12063,2014,8
12063,2015,6.6
12063,2016,5.3
12063,2017,6.1
12063,2018,6.2
12063,2019,5.3
12063,2020,5.1
12063,2021,4
12063,2022,5.8
12063,2023,6.8
12063,2024,7.5
12064,2006,10.3
12064,2007,10.9
12064,2008,10
12064,2009,7.8
12064,2010,9.2
12064,2011,8.5
12064,2012,7.5
12064,2013,8.7
12064,2014,7
12064,2015,9.1
12064,2016,7.9
12064,2017,7.3
12064,2018,8.4
12064,2019,8.9
12064,2020,5.5
12064,2021,6.4
12064,2022,6.7
12064,2023,7.7
12064,2024,8.4
12065,2006,8.4
12065,2007,7.3
12065,2008,8.8
12065,2009,7.8
12065,2010,7.5
12065,2011,9.4
12065,2012,6.1
12065,2013,6.9
12065,2014,7.3
12065,2015,6.3
12065,2016,7.3
12065,2017,7
12065,2018,5.8
12065,2019,7
12065,2020,4.5
12065,2021,6.1
12065,2022,5.2
12065,2023,7.6
12065,2024,7.2
12066,2006,11.4
12066,2007,9.6
12066,2008,11
12066,2009,10.4
12066,2010,12.6
12066,2011,10.1
12066,2012,9.3
12066,2013,8.9
12066,2014,10.3
12066,2015,9.4
12066,2016,10.1
12066,2017,8.7
12066,2018,8.2
12066,2019,9.9
12066,2020,6
12066,2021,11.5
12066,2022,11.8
12066,2023,10.6
12066,2024,12.5
12067,2006,11.5
12067,2007,12.1
12067,2008,12.5
12067,2009,11.4
12067,2010,9.7
12067,2011,9.8
12067,2012,8.7
