state,year,per_1000
Thüringen,2008,53
Thüringen,2012,59.4
Thüringen,2018,66.3
Thüringen,2024,72.2
Niedersachsen,2008,55.6
Niedersachsen,2012,61.4
Niedersachsen,2018,68.1
Niedersachsen,2024,72
Sachsen-Anhalt,2008,52.2
Sachsen-Anhalt,2012,58.6
Sachsen-Anhalt,2018,66.7
Sachsen-Anhalt,2024,72
Bremen,2008,66.5
Bremen,2012,69.5
Bremen,2018,73.3
Bremen,2024,73.4
Hamburg,2008,68.6
Hamburg,2012,73.4
Hamburg,2018,80.8
Hamburg,2024,89.6
Schleswig-Holstein,2008,60.9
Schleswig-Holstein,2012,65.4
Schleswig-Holstein,2018,71.2
Schleswig-Holstein,2024,75.4
Bayern,2008,58.5
Bayern,2012,63.9
Bayern,2018,70.2
Bayern,2024,75.1
Mecklenburg-Vorpommern,2008,53.3
Mecklenburg-Vorpommern,2012,60.1
Mecklenburg-Vorpommern,2018,70.4
Mecklenburg-Vorpommern,2024,76.2
Hessen,2008,59.3
Hessen,2012,65.4
Hessen,2018,71.7
Hessen,2024,76.5
Nordrhein-Westfalen,2008,56.2
Nordrhein-Westfalen,2012,61.3
Nordrhein-Westfalen,2018,67.1
Nordrhein-Westfalen,2024,72.7
Sachsen,2008,53.5
Sachsen,2012,59.8
Sachsen,2018,66.5
Sachsen,2024,72.9
Berlin,2008,63.4
Berlin,2012,67.6
Berlin,2018,70.6
Berlin,2024,73.9
Brandenburg,2008,46.9
Brandenburg,2012,53.2
Brandenburg,2018,59.4
Brandenburg,2024,63.1
Rheinland-Pfalz,2008,55.9
Rheinland-Pfalz,2012,61.3
Rheinland-Pfalz,2018,65
Rheinland-Pfalz,2024,67.8
Baden-Württemberg,2008,60.4
Baden-Württemberg,2012,65.9
Baden-Württemberg,2018,70.2
Baden-Württemberg,2024,75.2
Saarland,2008,66.1
Saarland,2012,72.1
Saarland,2018,76.1
Saarland,2024,78.2
