ags,year,beds
10041,2024,2747
10042,2024,226
10043,2024,635
10044,2024,1013
10045,2024,1474
10046,2024,365
11000,2024,20119
12051,2024,997
12052,2024,1020
12053,2024,825
12054,2024,1570
12060,2024,1069
12061,2024,1192
12062,2024,448
12063,2024,427
12064,2024,748
12065,2024,1187
12066,2024,436
12067,2024,1420
12068,2024,948
12069,2024,696
12070,2024,326
12071,2024,427
12072,2024,500
12073,2024,676
13003,2024,1529
13004,2024,1300
13071,2024,1687
13072,2024,753
13073,2024,1131
13074,2024,588
13075,2024,2237
13076,2024,945
14511,2024,2121
14521,2024,2004
14522,2024,1295
14523,2024,1588
14524,2024,1940
14612,2024,3611
14625,2024,1594
14626,2024,1557
14627,2024,1135
14628,2024,1053
14713,2024,3842
14729,2024,1036
14730,2024,1399
15001,2024,809
15002,2024,2706
15003,2024,2050
15081,2024,328
15082,2024,767
15083,2024,535
15084,2024,935
15085,2024,1123
15086,2024,701
15087,2024,611
15088,2024,583
15089,2024,1062
15090,2024,827
15091,2024,560
16051,2024,1733
16052,2024,967
16053,2024,1166
16054,2024,600
16055,2024,634
16061,2024,304
16062,2024,975
16063,2024,983
16064,2024,1073
16065,2024,396
16066,2024,667
16067,2024,575
16069,2024,466
16070,2024,523
16071,2024,836
16072,2024,305
16073,2024,938
16074,2024,682
16076,2024,342
16077,2024,522
10041100,2024,1594
11001001,2024,4714
11002002,2024,32
11003003,2024,2266
11004004,2024,1884
11005005,2024,1081
11006006,2024,2090
11007007,2024,708
11008008,2024,118
11009009,2024,528
11010010,2024,888
11011011,2024,1192
11012012,2024,4618
06535,2024,603
07132,2024,359
07211,2024,1514
09763,2024,895
09177,2024,584
03353,2024,774
08125,2024,1164
06440,2024,1236
07334,2024,351
05358,2024,1669
09372,2024,639
03454,2024,1799
06636,2024,618
09478,2024,745
03460,2024,1037
08325,2024,796
05170,2024,2752
05334,2024,3859
05366,2024,1144
05962,2024,2501
02000,2024,12964
08221,2024,3225
05566,2024,2074
09462,2024,1433
05113,2024,4899
07137,2024,744
09183,2024,232
03257,2024,608
03459,2024,1549
06434,2024,1275
08335,2024,1446
09278,2024,370
03358,2024,389
08215,2024,866
03153,2024,973
03254,2024,1590
05914,2024,1284
03361,2024,254
