state,year,gini,s80s20
Schleswig-Holstein,2021,29.0,4.7
Schleswig-Holstein,2022,28.1,4.2
Schleswig-Holstein,2023,29.5,4.4
Schleswig-Holstein,2024,29.7,4.6
Schleswig-Holstein,2025,30.1,4.7
Hamburg,2021,36.4,7.0
Hamburg,2022,29.2,4.7
Hamburg,2023,29.5,4.4
Hamburg,2024,29.4,4.5
Hamburg,2025,30.5,4.9
Niedersachsen,2021,31.7,5.1
Niedersachsen,2022,30.1,4.6
Niedersachsen,2023,29.4,4.4
Niedersachsen,2024,28.7,4.3
Niedersachsen,2025,29.6,4.5
Bremen,2021,33.0,5.6
Bremen,2022,26.4,3.9
Bremen,2023,26.5,4.1
Bremen,2024,29.9,4.6
Bremen,2025,31.3,4.7
Nordrhein-Westfalen,2021,31.7,5.1
Nordrhein-Westfalen,2022,31.2,4.9
Nordrhein-Westfalen,2023,30.7,4.8
Nordrhein-Westfalen,2024,30.5,4.8
Nordrhein-Westfalen,2025,30.7,4.9
Hessen,2021,34.0,5.7
Hessen,2022,29.8,4.5
Hessen,2023,30.8,4.8
Hessen,2024,30.5,4.7
Hessen,2025,31.3,5.0
Rheinland-Pfalz,2021,30.0,4.9
Rheinland-Pfalz,2022,28.1,4.3
Rheinland-Pfalz,2023,28.1,4.2
Rheinland-Pfalz,2024,28.8,4.4
Rheinland-Pfalz,2025,28.9,4.4
Baden-Württemberg,2021,29.1,4.4
Baden-Württemberg,2022,26.5,3.9
Baden-Württemberg,2023,28.1,4.2
Baden-Württemberg,2024,28.4,4.3
Baden-Württemberg,2025,30.3,4.7
Bayern,2021,32.6,5.4
Bayern,2022,29.8,4.7
Bayern,2023,30.2,4.6
Bayern,2024,30.8,4.8
Bayern,2025,30.6,4.8
Saarland,2021,27.8,4.5
Saarland,2022,26.3,4.0
Saarland,2023,26.6,3.9
Saarland,2024,29.1,4.5
Saarland,2025,27.8,4.1
Berlin,2021,31.6,5.2
Berlin,2022,28.8,4.4
Berlin,2023,28.7,4.4
Berlin,2024,29.3,4.5
Berlin,2025,31.8,5.0
Brandenburg,2021,26.9,4.0
Brandenburg,2022,24.4,3.5
Brandenburg,2023,27.3,4.2
Brandenburg,2024,25.9,3.7
Brandenburg,2025,26.5,3.9
Mecklenburg-Vorpommern,2021,25.3,3.6
Mecklenburg-Vorpommern,2022,24.8,3.5
Mecklenburg-Vorpommern,2023,25.3,3.7
Mecklenburg-Vorpommern,2024,24.5,3.6
Mecklenburg-Vorpommern,2025,27.0,4.1
Sachsen,2021,26.0,3.8
Sachsen,2022,23.6,3.4
Sachsen,2023,24.5,3.5
Sachsen,2024,24.3,3.5
Sachsen,2025,25.0,3.7
Sachsen-Anhalt,2021,29.8,4.7
Sachsen-Anhalt,2022,25.8,3.7
Sachsen-Anhalt,2023,27.6,4.1
Sachsen-Anhalt,2024,28.2,4.3
Sachsen-Anhalt,2025,26.3,4.1
Thüringen,2021,28.5,4.2
Thüringen,2022,24.7,3.5
Thüringen,2023,25.2,3.7
Thüringen,2024,27.9,4.1
Thüringen,2025,27.8,4.1
