state,year,score
Hamburg,2019,7.27
Hamburg,2021,6.74
Hamburg,2024,7.38
Hamburg,2025,7.33
Bayern,2019,7.26
Bayern,2021,6.77
Bayern,2024,7.23
Bayern,2025,7.21
Rheinland-Pfalz,2019,7.03
Rheinland-Pfalz,2021,6.62
Rheinland-Pfalz,2024,7.11
Rheinland-Pfalz,2025,7.21
Nordrhein-Westfalen,2019,7.17
Nordrhein-Westfalen,2021,6.73
Nordrhein-Westfalen,2024,7.17
Nordrhein-Westfalen,2025,7.19
Schleswig-Holstein,2019,7.44
Schleswig-Holstein,2021,6.78
Schleswig-Holstein,2024,7.23
Schleswig-Holstein,2025,7.12
Thüringen,2019,7.09
Thüringen,2021,6.45
Thüringen,2024,6.9
Thüringen,2025,7.12
Brandenburg,2019,6.76
Brandenburg,2021,6.74
Brandenburg,2024,6.99
Brandenburg,2025,7.1
Niedersachsen,2019,7.19
Niedersachsen,2021,6.59
Niedersachsen,2024,7.02
Niedersachsen,2025,7.1
Baden-Württemberg,2019,7.21
Baden-Württemberg,2021,6.61
Baden-Württemberg,2024,7.1
Baden-Württemberg,2025,7.09
Hessen,2019,7.31
Hessen,2021,6.66
Hessen,2024,7.01
Hessen,2025,7.02
Sachsen-Anhalt,2019,6.92
Sachsen-Anhalt,2021,6.78
Sachsen-Anhalt,2024,7.08
Sachsen-Anhalt,2025,6.99
Sachsen,2019,6.98
Sachsen,2021,6.58
Sachsen,2024,6.87
Sachsen,2025,6.96
Bremen,2019,6.87
Bremen,2021,6.35
Bremen,2024,6.76
Bremen,2025,6.89
Berlin,2019,6.93
Berlin,2021,6.2
Berlin,2024,6.63
Berlin,2025,6.83
Saarland,2019,7.26
Saarland,2021,6.46
Saarland,2024,6.73
Saarland,2025,6.78
Mecklenburg-Vorpommern,2019,6.87
Mecklenburg-Vorpommern,2021,6.6
Mecklenburg-Vorpommern,2024,6.17
Mecklenburg-Vorpommern,2025,6.06
