ags,year,marriages
10041,2018,1642
10041,2019,1490
10041,2020,1309
10041,2021,1237
10041,2022,1396
10041,2023,1301
10041,2024,1275
10041,2025,1229
10042,2018,622
10042,2019,637
10042,2020,557
10042,2021,547
10042,2022,577
10042,2023,510
10042,2024,535
10042,2025,474
10043,2018,721
10043,2019,643
10043,2020,553
10043,2021,531
10043,2022,637
10043,2023,602
10043,2024,560
10043,2025,512
10044,2018,1107
10044,2019,937
10044,2020,897
10044,2021,832
10044,2022,853
10044,2023,825
10044,2024,823
10044,2025,782
10045,2018,815
10045,2019,706
10045,2020,656
10045,2021,635
10045,2022,741
10045,2023,676
10045,2024,595
10045,2025,603
10046,2018,456
10046,2019,391
10046,2020,367
10046,2021,372
10046,2022,398
10046,2023,395
10046,2024,372
10046,2025,395
11000,2018,15660
11000,2019,14602
11000,2020,12288
11000,2021,12163
11000,2022,12341
11000,2023,11429
11000,2024,11243
11000,2025,11235
12051,2018,313
12051,2019,300
12051,2020,247
12051,2021,239
12051,2022,299
12051,2023,286
12051,2024,248
12051,2025,243
12052,2018,360
12052,2019,331
12052,2020,286
12052,2021,313
12052,2022,325
12052,2023,273
12052,2024,280
12052,2025,242
12053,2018,242
12053,2019,211
12053,2020,186
12053,2021,165
12053,2022,176
12053,2023,168
12053,2024,151
12053,2025,152
12054,2018,1147
12054,2019,1101
12054,2020,979
12054,2021,868
12054,2022,872
12054,2023,825
12054,2024,432
12054,2025,535
12060,2018,1284
12060,2019,1110
12060,2020,955
12060,2021,906
12060,2022,1022
12060,2023,924
12060,2024,799
12060,2025,948
12061,2018,1065
12061,2019,1041
12061,2020,948
12061,2021,842
12061,2022,900
12061,2023,844
12061,2024,817
12061,2025,693
12062,2018,432
12062,2019,411
12062,2020,389
12062,2021,328
12062,2022,395
12062,2023,360
12062,2024,298
12062,2025,311
12063,2018,871
12063,2019,751
12063,2020,768
12063,2021,644
12063,2022,760
12063,2023,652
12063,2024,616
12063,2025,649
12064,2018,1524
12064,2019,1366
12064,2020,1190
12064,2021,1143
12064,2022,1268
12064,2023,1200
12064,2024,1167
12064,2025,1076
12065,2018,1554
12065,2019,1394
12065,2020,1354
12065,2021,1218
12065,2022,1337
12065,2023,1211
12065,2024,1157
12065,2025,1186
12066,2018,685
12066,2019,638
12066,2020,550
12066,2021,519
12066,2022,565
12066,2023,525
12066,2024,482
12066,2025,421
12067,2018,1279
12067,2019,1255
12067,2020,1077
12067,2021,961
12067,2022,1023
12067,2023,922
12067,2024,822
12067,2025,886
12068,2018,638
12068,2019,557
12068,2020,527
12068,2021,472
12068,2022,549
12068,2023,535
12068,2024,502
12068,2025,473
12069,2018,1345
12069,2019,1188
12069,2020,1105
12069,2021,1014
12069,2022,1252
12069,2023,1172
12069,2024,1205
12069,2025,1169
12070,2018,411
12070,2019,374
12070,2020,322
12070,2021,332
12070,2022,343
12070,2023,268
12070,2024,250
12070,2025,255
12071,2018,523
12071,2019,483
12071,2020,447
12071,2021,442
12071,2022,490
12071,2023,388
12071,2024,351
12071,2025,398
12072,2018,1024
12072,2019,955
12072,2020,868
12072,2021,858
12072,2022,945
12072,2023,804
12072,2024,797
12072,2025,759
12073,2018,743
12073,2019,737
12073,2020,611
12073,2021,554
12073,2022,657
12073,2023,538
12073,2024,546
12073,2025,552
13003,2018,1058
13003,2019,1005
13003,2020,862
13003,2021,914
13003,2022,900
13003,2023,798
13003,2024,863
13003,2025,891
13004,2018,612
13004,2019,534
13004,2020,438
13004,2021,425
13004,2022,461
13004,2023,429
13004,2024,454
13004,2025,455
13071,2018,1705
13071,2019,1471
13071,2020,1316
13071,2021,1286
13071,2022,1347
13071,2023,1197
13071,2024,1223
13071,2025,1077
13072,2018,1773
13072,2019,1539
13072,2020,1314
13072,2021,1212
13072,2022,1391
13072,2023,1223
13072,2024,1092
13072,2025,1021
13073,2018,3056
13073,2019,2843
13073,2020,2376
13073,2021,2187
13073,2022,2404
13073,2023,2131
13073,2024,2081
13073,2025,2037
13074,2018,1080
13074,2019,980
13074,2020,873
13074,2021,764
13074,2022,832
13074,2023,727
13074,2024,801
13074,2025,706
13075,2018,1735
13075,2019,1596
13075,2020,1345
13075,2021,1224
13075,2022,1379
13075,2023,1235
13075,2024,1230
13075,2025,1163
13076,2018,1255
13076,2019,1116
