ags,year,rate_pct
10041,2011,1.7
10041,2012,2.1
10041,2013,2
10041,2014,1.7
10041,2015,1.6
10041,2016,1.5
10041,2017,1.2
10041,2018,1.1
10041,2019,1.1
10041,2020,0.8
10041,2021,0.7
10041,2022,1.4
10041,2023,1.5
10041,2024,1.6
10042,2011,0.9
10042,2012,1.3
10042,2013,1.1
10042,2014,1.1
10042,2015,1.2
10042,2016,0.7
10042,2017,0.9
10042,2018,1.1
10042,2019,0.9
10042,2020,0.6
10042,2021,0.4
10042,2022,0.8
10042,2023,1.1
10042,2024,1.6
10043,2011,1.7
10043,2012,2.1
10043,2013,1.9
10043,2014,1.4
10043,2015,1.7
10043,2016,1.1
10043,2017,1.1
10043,2018,0.8
10043,2019,0.8
10043,2020,0.7
10043,2021,0.8
10043,2022,1.3
10043,2023,2.2
10043,2024,1.8
10044,2011,1.7
10044,2012,2
10044,2013,1.9
10044,2014,1.7
10044,2015,1.8
10044,2016,1.3
10044,2017,1.1
10044,2018,1
10044,2019,0.7
10044,2020,0.9
10044,2021,0.8
10044,2022,1.6
10044,2023,1.6
10044,2024,2.3
10045,2011,1.5
10045,2012,1.8
10045,2013,1.7
10045,2014,1.5
10045,2015,1.7
10045,2016,1.6
10045,2017,1.7
10045,2018,1.3
10045,2019,1.1
10045,2020,1.2
10045,2021,0.9
10045,2022,1.9
10045,2023,2.3
10045,2024,2.2
10046,2011,1.4
10046,2012,1.6
10046,2013,2.6
10046,2014,1.3
10046,2015,1.4
10046,2016,1
10046,2017,1.1
10046,2018,0.9
10046,2019,0.8
10046,2020,0.9
10046,2021,0.7
10046,2022,1.2
10046,2023,1.7
10046,2024,3.3
11000,2011,1.9
11000,2012,1.6
11000,2013,1.6
11000,2014,1.4
11000,2015,1.3
11000,2016,1.1
11000,2017,1.1
11000,2018,1
11000,2019,1
11000,2020,0.9
11000,2021,1.1
11000,2022,1.2
11000,2023,1.2
11000,2024,2.7
12051,2011,0.9
12051,2012,1.1
12051,2013,1.7
12051,2014,1.3
12051,2015,0.9
12051,2016,0.4
12051,2017,0.3
12051,2018,0.6
12051,2019,1.3
12051,2020,1
12051,2021,0.6
12051,2022,0.9
12051,2023,1.7
12051,2024,2.3
12052,2011,1.8
12052,2012,0.9
12052,2013,1.6
12052,2014,1.7
12052,2015,1.9
12052,2016,1.5
12052,2017,0.6
12052,2018,0.8
12052,2019,1
12052,2020,1
12052,2021,1.1
12052,2022,1
12052,2023,2.2
12052,2024,3.3
12053,2011,0.9
12053,2012,0.4
12053,2013,1.4
12053,2014,1.6
12053,2015,1.4
12053,2016,0.7
12053,2017,0.6
12053,2018,0.7
12053,2019,0.9
12053,2020,0.2
12053,2021,0.4
12053,2022,0.7
12053,2023,0.6
12053,2024,0.5
12054,2011,3
12054,2012,2.3
12054,2013,2.3
12054,2014,2.2
12054,2015,1.7
12054,2016,1.3
12054,2017,1
12054,2018,0.9
12054,2019,0.8
12054,2020,0.5
12054,2021,0.9
12054,2022,1
12054,2023,2
12054,2024,2.5
12060,2011,1.4
12060,2012,0.6
12060,2013,0.7
12060,2014,0.9
12060,2015,1.4
12060,2016,0.6
12060,2017,0.4
12060,2018,0.4
12060,2019,0.5
12060,2020,0.3
