ags,year,dwellings
10041,2024,270
10042,2024,204
10043,2024,68
10044,2024,214
10045,2024,253
10046,2024,143
11000,2024,14615
12051,2024,69
12052,2024,139
12053,2024,66
12054,2024,992
12060,2024,775
12061,2024,1091
12062,2024,94
12063,2024,1792
12064,2024,582
12065,2024,948
12066,2024,117
12067,2024,521
12068,2024,220
12069,2024,847
12070,2024,139
12071,2024,161
12072,2024,578
12073,2024,202
13003,2024,823
13004,2024,203
13071,2024,860
13072,2024,518
13073,2024,428
13074,2024,313
13075,2024,636
13076,2024,241
14511,2024,248
14521,2024,355
14522,2024,437
14523,2024,122
14524,2024,248
14612,2024,1486
14625,2024,362
14626,2024,133
14627,2024,326
14628,2024,236
14713,2024,2413
14729,2024,500
14730,2024,647
15001,2024,65
15002,2024,314
15003,2024,675
15081,2024,97
15082,2024,156
15083,2024,241
15084,2024,197
15085,2024,358
15086,2024,70
15087,2024,93
15088,2024,277
15089,2024,77
15090,2024,140
15091,2024,117
16051,2024,240
16052,2024,164
16053,2024,404
16054,2024,79
16055,2024,64
16061,2024,215
16062,2024,66
16063,2024,108
16064,2024,77
16065,2024,52
16066,2024,101
16067,2024,161
16068,2024,87
16069,2024,38
16070,2024,267
16071,2024,72
16072,2024,21
16073,2024,34
16074,2024,188
16075,2024,33
16076,2024,43
16077,2024,81
10041100,2024,198
11001001,2024,848
11002002,2024,712
11003003,2024,1320
11004004,2024,310
11005005,2024,2461
11006006,2024,290
11007007,2024,1395
11008008,2024,654
11009009,2024,4004
11010010,2024,1008
11011011,2024,982
11012012,2024,631
05958,2024,395
07140,2024,273
05366,2024,789
08116,2024,1135
07318,2024,188
05562,2024,861
09563,2024,697
09661,2024,294
05914,2024,163
08436,2024,1386
06636,2024,124
03459,2024,1092
09376,2024,969
08325,2024,629
09474,2024,645
05113,2024,329
09572,2024,473
03402,2024,37
09278,2024,556
07131,2024,260
03352,2024,683
05954,2024,157
09674,2024,96
05758,2024,468
05122,2024,137
09180,2024,124
03254,2024,551
09772,2024,1052
07340,2024,163
05362,2024,916
03241001,2024,1068
01062,2024,738
08316,2024,451
06534,2024,568
09763,2024,184
06436,2024,439
03241,2024,2259
06632,2024,252
05166,2024,648
01053,2024,545
07233,2024,137
07331,2024,572
09576,2024,339
09478,2024,187
06414,2024,510
03361,2024,349
07135,2024,192
07211,2024,290
09162,2024,5915
09678,2024,182
05754,2024,884
09776,2024,284
06533,2024,331
05558,2024,694
06435,2024,1058
04012,2024,220
06631,2024,489
01054,2024,517
09171,2024,436
05162,2024,689
09184,2024,1401
03353,2024,692
03451,2024,465
07335,2024,155
03157,2024,492
08121,2024,345
03255,2024,111
07313,2024,137
09362,2024,362
01001,2024,310
05554,2024,1275
05334002,2024,303
06431,2024,538
05358,2024,775
01058,2024,765
09371,2024,296
08236,2024,287
09175,2024,182
09273,2024,743
09188,2024,294
03357,2024,426
07339,2024,285
03455,2024,42
05314,2024,1309
06440,2024,858
08125,2024,1705
08117,2024,451
09377,2024,86
08215,2024,1271
09475,2024,6
07317,2024,52
09573,2024,576
05378,2024,1073
09279,2024,230
05913,2024,1249
08237,2024,475
05770,2024,659
08335,2024,669
08326,2024,376
01061,2024,425
05112,2024,525
03403,2024,664
05334,2024,954
09462,2024,86
07143,2024,634
09671,2024,288
05570,2024,860
09577,2024,285
09479,2024,91
08317,2024,1788
05966,2024,241
08415,2024,776
05374,2024,436
06439,2024,271
09662,2024,143
06635,2024,272
08437,2024,467
09181,2024,797
07232,2024,336
09190,2024,592
06413,2024,311
07134,2024,125
09564,2024,1458
03460,2024,443
03153,2024,129
09675,2024,330
09773,2024,456
03251,2024,503
09185,2024,376
05513,2024,104
05766,2024,332
06532,2024,463
06434,2024,269
05962,2024,515
05370,2024,979
09163,2024,316
09764,2024,73
09261,2024,288
06412,2024,3463
03354,2024,86
03101,2024,900
03452,2024,473
07334,2024,558
03158,2024,107
07138,2024,377
03256,2024,191
01057,2024,292
07312,2024,200
09679,2024,517
09172,2024,296
09777,2024,401
09189,2024,960
05762,2024,166
08211,2024,217
08135,2024,327
05566,2024,1554
09363,2024,191
09461,2024,671
03358,2024,217
07338,2024,322
03456,2024,620
01004,2024,285
08126,2024,430
09372,2024,509
05170,2024,800
07316,2024,131
05117,2024,238
09176,2024,626
09274,2024,389
08336,2024,587
08421,2024,495
09476,2024,112
09574,2024,399
03404,2024,234
08225,2024,279
08127,2024,859
09672,2024,248
05124,2024,240
08118,2024,1156
08216,2024,467
01060,2024,870
09463,2024,85
09561,2024,76
06438,2024,683
09663,2024,354
09761,2024,1289
06634,2024,458
01051,2024,509
08327,2024,338
07231,2024,230
05978,2024,408
08425,2024,712
05111,2024,1807
07133,2024,352
03461,2024,196
03154,2024,189
09676,2024,341
09774,2024,438
05120,2024,66
07111,2024,33
03252,2024,160
07320,2024,23
08416,2024,566
09565,2024,114
05382,2024,1112
06411,2024,168
09173,2024,350
09271,2024,867
07235,2024,365
09186,2024,676
05512,2024,134
03355,2024,951
03102,2024,157
05974,2024,782
07333,2024,186
03453,2024,758
03159,2024,475
07137,2024,449
03257,2024,259
05316,2024,194
07311,2024,31
09778,2024,544
09182,2024,302
06531,2024,562
06433,2024,528
01056,2024,825
09373,2024,361
09471,2024,807
08136,2024,1087
09177,2024,514
09275,2024,639
03457,2024,414
05970,2024,443
03359,2024,660
07337,2024,183
05774,2024,1084
08221,2024,349
09262,2024,104
07315,2024,418
05116,2024,215
01003,2024,664
08212,2024,662
05114,2024,176
09780,2024,349
03360,2024,114
03405,2024,15
08226,2024,1233
09464,2024,13
09562,2024,335
08128,2024,411
07141,2024,292
03151,2024,505
08119,2024,1056
07319,2024,147
09375,2024,1062
09473,2024,122
09571,2024,629
05158,2024,298
09179,2024,542
08315,2024,672
09277,2024,488
05915,2024,344
08337,2024,419
02000,2024,7900
08435,2024,555
08426,2024,847
06611,2024,431
07132,2024,171
03462,2024,194
03351,2024,218
03155,2024,220
09673,2024,474
09771,2024,510
09575,2024,215
09477,2024,159
05154,2024,992
08417,2024,544
05911,2024,1349
06535,2024,239
09762,2024,78
06437,2024,135
06633,2024,406
03103,2024,351
03356,2024,161
03454,2024,1418
07332,2024,243
01055,2024,1114
09174,2024,434
09677,2024,216
09775,2024,764
09272,2024,420
09183,2024,449
08111,2024,1023
05515,2024,905
06432,2024,479
09161,2024,732
08231,2024,251
05711,2024,876
01002,2024,1335
07336,2024,75
05916,2024,135
01059,2024,617
08222,2024,640
03401,2024,171
05119,2024,160
09374,2024,289
09472,2024,382
07314,2024,497
09178,2024,705
09276,2024,180
09779,2024,526
09187,2024,1164
08115,2024,1494
05315,2024,1573
08311,2024,381
