ags,year,population
10041,2018,329708
10041,2019,328714
10041,2020,327502
10041,2021,327284
10041,2022,330672
10041,2023,332416
10041,2024,333149
10041,2025,331994
10042,2018,103366
10042,2019,103243
10042,2020,103471
10042,2021,103426
10042,2022,109393
10042,2023,109336
10042,2024,108779
10042,2025,107982
10043,2018,132206
10043,2019,131408
10043,2020,131172
10043,2021,130847
10043,2022,133544
10043,2023,133667
10043,2024,133179
10043,2025,132607
10044,2018,195201
10044,2019,194319
10044,2020,193732
10044,2021,193661
10044,2022,205785
10044,2023,206094
10044,2024,205129
10044,2025,204087
10045,2018,142631
10045,2019,142196
10045,2020,141656
10045,2021,140960
10045,2022,144492
10045,2023,144478
10045,2024,144092
10045,2025,143300
10046,2018,87397
10046,2019,87007
10046,2020,86458
10046,2021,86170
10046,2022,88005
10046,2023,88056
10046,2024,87813
10046,2025,87372
11000,2018,3644826
11000,2019,3669491
11000,2020,3664088
11000,2021,3677472
11000,2022,3632853
11000,2023,3662381
11000,2024,3685265
11000,2025,3700577
12051,2018,72124
12051,2019,72184
12051,2020,72040
12051,2021,72461
12051,2022,73612
12051,2023,73939
12051,2024,74113
12051,2025,73945
12052,2018,100219
12052,2019,99678
12052,2020,98693
12052,2021,98359
12052,2022,94250
12052,2023,94778
12052,2024,95123
12052,2025,95140
12053,2018,57873
12053,2019,57751
12053,2020,57015
12053,2021,56679
12053,2022,56434
12053,2023,57065
12053,2024,57107
12053,2025,56586
12054,2018,178089
12054,2019,180334
12054,2020,182112
12054,2021,183154
12054,2022,182987
12054,2023,184290
12054,2024,184754
12054,2025,185137
12060,2018,182760
12060,2019,185244
12060,2020,187343
12060,2021,188835
12060,2022,191525
12060,2023,192776
12060,2024,194169
12060,2025,194885
12061,2018,169067
12061,2019,170791
12061,2020,173316
12061,2021,175834
12061,2022,176373
12061,2023,177662
12061,2024,178793
12061,2025,179480
12062,2018,102638
12062,2019,101827
12062,2020,101085
12062,2021,100317
12062,2022,99684
12062,2023,98750
12062,2024,97967
12062,2025,97017
12063,2018,161909
12063,2019,162996
12063,2020,164693
12063,2021,165906
12063,2022,168494
12063,2023,169721
12063,2024,170834
12063,2025,170792
12064,2018,194328
12064,2019,195751
12064,2020,197195
12064,2021,197965
12064,2022,196930
12064,2023,197785
12064,2024,197817
12064,2025,197192
12065,2018,211249
12065,2019,212914
12065,2020,214234
12065,2021,215795
12065,2022,216849
12065,2023,217290
12065,2024,217690
12065,2025,217858
12066,2018,110476
12066,2019,109371
12066,2020,108396
12066,2021,107558
12066,2022,109091
12066,2023,108434
