state,year,members
Baden-Württemberg,2017,3737583
Baden-Württemberg,2018,3760912
Baden-Württemberg,2019,3798370
Baden-Württemberg,2020,3986516
Baden-Württemberg,2021,3888468
Baden-Württemberg,2022,3896653
Baden-Württemberg,2023,4031464
Baden-Württemberg,2024,4184101
Baden-Württemberg,2025,4300033
Bayern,2017,4401138
Bayern,2018,4459132
Bayern,2019,4481292
Bayern,2020,4458933
Bayern,2021,4263649
Bayern,2022,4277097
Bayern,2023,4408688
Bayern,2024,4536451
Bayern,2025,4678620
Berlin,2017,642225
Berlin,2018,659863
Berlin,2019,672788
Berlin,2020,695193
Berlin,2021,662076
Berlin,2022,684298
Berlin,2023,729622
Berlin,2024,781295
Berlin,2025,809581
Brandenburg,2017,342581
Brandenburg,2018,347886
Brandenburg,2019,351030
Brandenburg,2020,355190
Brandenburg,2021,343752
Brandenburg,2022,345219
Brandenburg,2023,361829
Brandenburg,2024,381437
Brandenburg,2025,396039
Bremen,2017,152926
Bremen,2018,150792
Bremen,2019,150428
Bremen,2020,151205
Bremen,2021,142259
Bremen,2022,142217
Bremen,2023,147297
Bremen,2024,155780
Bremen,2025,158871
Hamburg,2017,522298
Hamburg,2018,524870
Hamburg,2019,536578
Hamburg,2020,542495
Hamburg,2021,520205
Hamburg,2022,497762
Hamburg,2023,528052
Hamburg,2024,557480
Hamburg,2025,582913
Hessen,2017,2081800
Hessen,2018,2093052
Hessen,2019,2110111
Hessen,2020,2134686
Hessen,2021,2064311
Hessen,2022,2074753
Hessen,2023,2137347
Hessen,2024,2214093
Hessen,2025,2265048
Mecklenburg-Vorpommern,2017,250575
Mecklenburg-Vorpommern,2018,253973
Mecklenburg-Vorpommern,2019,255953
Mecklenburg-Vorpommern,2020,260678
Mecklenburg-Vorpommern,2021,257587
Mecklenburg-Vorpommern,2022,261207
Mecklenburg-Vorpommern,2023,274015
Mecklenburg-Vorpommern,2024,290057
Mecklenburg-Vorpommern,2025,301648
Niedersachsen,2017,2644179
Niedersachsen,2018,2634245
Niedersachsen,2019,2626385
Niedersachsen,2020,2625577
Niedersachsen,2021,2525641
Niedersachsen,2022,2518082
Niedersachsen,2023,2566418
Niedersachsen,2024,2644621
Niedersachsen,2025,2694105
Nordrhein-Westfalen,2017,5066270
Nordrhein-Westfalen,2018,5093543
Nordrhein-Westfalen,2019,5081239
Nordrhein-Westfalen,2020,5090989
Nordrhein-Westfalen,2021,4919852
Nordrhein-Westfalen,2022,4936173
Nordrhein-Westfalen,2023,5099880
Nordrhein-Westfalen,2024,5321912
Nordrhein-Westfalen,2025,5475642
Rheinland-Pfalz,2017,1419636
Rheinland-Pfalz,2018,1412420
Rheinland-Pfalz,2019,1402625
Rheinland-Pfalz,2020,1397200
Rheinland-Pfalz,2021,1344127
Rheinland-Pfalz,2022,1341445
Rheinland-Pfalz,2023,1378287
Rheinland-Pfalz,2024,1424018
Rheinland-Pfalz,2025,1457710
Saarland,2017,368615
Saarland,2018,367859
Saarland,2019,366782
Saarland,2020,365807
Saarland,2021,354418
Saarland,2022,352238
Saarland,2023,353509
Saarland,2024,364765
Saarland,2025,370302
Sachsen,2017,656577
Sachsen,2018,664132
Sachsen,2019,667319
Sachsen,2020,676126
Sachsen,2021,656189
Sachsen,2022,649846
Sachsen,2023,671281
Sachsen,2024,700325
Sachsen,2025,726216
Sachsen-Anhalt,2017,348082
Sachsen-Anhalt,2018,349825
Sachsen-Anhalt,2019,354757
Sachsen-Anhalt,2020,357198
Sachsen-Anhalt,2021,346237
Sachsen-Anhalt,2022,345821
Sachsen-Anhalt,2023,358245
Sachsen-Anhalt,2024,374674
Sachsen-Anhalt,2025,383698
Schleswig-Holstein,2017,781895
Schleswig-Holstein,2018,771575
Schleswig-Holstein,2019,771659
Schleswig-Holstein,2020,769648
Schleswig-Holstein,2021,738987
Schleswig-Holstein,2022,744842
Schleswig-Holstein,2023,758709
Schleswig-Holstein,2024,789604
Schleswig-Holstein,2025,809465
Thüringen,2017,370579
Thüringen,2018,367095
Thüringen,2019,366064
Thüringen,2020,365398
Thüringen,2021,350130
Thüringen,2022,347913
Thüringen,2023,360494
Thüringen,2024,375997
Thüringen,2025,385073
