ags,year,total,german,foreign,male,female
10041,2023/24,30450,25209,5241,15742,14708
10042,2023/24,0,0,0,0,0
10043,2023/24,0,0,0,0,0
10044,2023/24,0,0,0,0,0
10045,2023/24,0,0,0,0,0
10046,2023/24,0,0,0,0,0
11000,2023/24,200440,152078,48362,96348,104092
12051,2023/24,3308,2469,839,1993,1315
12052,2023/24,5614,2978,2636,3313,2301
12053,2023/24,4209,2726,1483,1773,2436
12054,2023/24,29270,23338,5932,13016,16254
12060,2023/24,2318,2057,261,1086,1232
12061,2023/24,4262,3587,675,2667,1595
12062,2023/24,0,0,0,0,0
12063,2023/24,38,34,4,19,19
12064,2023/24,0,0,0,0,0
12065,2023/24,699,699,0,467,232
12066,2023/24,973,776,197,438,535
12067,2023/24,0,0,0,0,0
12068,2023/24,777,764,13,266,511
12069,2023/24,0,0,0,0,0
12070,2023/24,0,0,0,0,0
12071,2023/24,0,0,0,0,0
12072,2023/24,0,0,0,0,0
12073,2023/24,0,0,0,0,0
13001,2023/24,0,0,0,0,0
13002,2023/24,0,0,0,0,0
13003,2023/24,14113,12614,1499,6477,7636
13004,2023/24,611,601,10,190,421
13005,2023/24,0,0,0,0,0
13006,2023/24,0,0,0,0,0
13051,2023/24,0,0,0,0,0
13052,2023/24,0,0,0,0,0
13053,2023/24,0,0,0,0,0
13054,2023/24,0,0,0,0,0
13055,2023/24,0,0,0,0,0
13056,2023/24,0,0,0,0,0
13057,2023/24,0,0,0,0,0
13058,2023/24,0,0,0,0,0
13059,2023/24,0,0,0,0,0
13060,2023/24,0,0,0,0,0
13061,2023/24,0,0,0,0,0
13062,2023/24,0,0,0,0,0
13071,2023/24,1956,1848,108,774,1182
13072,2023/24,547,547,0,273,274
13073,2023/24,1959,1542,417,1308,651
13074,2023/24,7599,6553,1046,4052,3547
13075,2023/24,10296,9390,906,4005,6291
13076,2023/24,0,0,0,0,0
14161,2023/24,0,0,0,0,0
14166,2023/24,0,0,0,0,0
14167,2023/24,0,0,0,0,0
14171,2023/24,0,0,0,0,0
14173,2023/24,0,0,0,0,0
14177,2023/24,0,0,0,0,0
14178,2023/24,0,0,0,0,0
14181,2023/24,0,0,0,0,0
14182,2023/24,0,0,0,0,0
14188,2023/24,0,0,0,0,0
14191,2023/24,0,0,0,0,0
14193,2023/24,0,0,0,0,0
14262,2023/24,0,0,0,0,0
14263,2023/24,0,0,0,0,0
14264,2023/24,0,0,0,0,0
14272,2023/24,0,0,0,0,0
14280,2023/24,0,0,0,0,0
14284,2023/24,0,0,0,0,0
14285,2023/24,0,0,0,0,0
14286,2023/24,0,0,0,0,0
14287,2023/24,0,0,0,0,0
14290,2023/24,0,0,0,0,0
14292,2023/24,0,0,0,0,0
14365,2023/24,0,0,0,0,0
14374,2023/24,0,0,0,0,0
14375,2023/24,0,0,0,0,0
14379,2023/24,0,0,0,0,0
14383,2023/24,0,0,0,0,0
14389,2023/24,0,0,0,0,0
14511,2023/24,8455,5783,2672,4450,4005
14521,2023/24,133,119,14,43,90
14522,2023/24,10279,6557,3722,6685,3594
14523,2023/24,15,14,1,6,9
14524,2023/24,2745,2131,614,1766,979
14612,2023/24,36029,29775,6254,19012,17017
14625,2023/24,157,156,1,106,51
