ags,year,total_eur
10041,2022,420805014
10041,2023,435603019
10041,2024,415654416
10042,2022,100572063
10042,2023,102145221
10042,2024,106082847
10043,2022,124674401
10043,2023,128093644
10043,2024,134336287
10044,2022,221401083
10044,2023,237905506
10044,2024,251908330
10045,2022,183919149
10045,2023,209356275
10045,2024,200024997
10046,2022,98903282
10046,2023,102156321
10046,2024,119202610
11000,2022,5683467014
11000,2023,5950291592
11000,2024,6062170731
12051,2022,62858948
12051,2023,83971608
12051,2024,65969503
12052,2022,99927690
12052,2023,118346082
12052,2024,151902420
12053,2022,52654836
12053,2023,56059271
12053,2024,59168882
12054,2022,204435782
12054,2023,243471585
12054,2024,259713300
12060,2022,173930785
12060,2023,201240218
12060,2024,200346041
12061,2022,320118096
12061,2023,404476128
12061,2024,416438362
12062,2022,84965501
12062,2023,90094515
12062,2024,98473297
12063,2022,162007753
12063,2023,177839751
12063,2024,184149131
12064,2022,186608091
12064,2023,205351968
12064,2024,214576739
12065,2022,291178114
12065,2023,319625642
12065,2024,306215074
12066,2022,97258709
12066,2023,97309347
12066,2024,111428226
12067,2022,173298477
12067,2023,194401371
12067,2024,225321628
12068,2022,103525023
12068,2023,102629000
12068,2024,101810046
12069,2022,267093107
12069,2023,293544758
12069,2024,295367425
12070,2022,77317807
12070,2023,84621214
12070,2024,87603814
12071,2022,108008215
12071,2023,169107951
12071,2024,172001450
12072,2022,262832167
12072,2023,282928775
12072,2024,365211633
12073,2022,123997522
12073,2023,148716583
12073,2024,130539749
13003,2022,228801974
13003,2023,232023945
13003,2024,253546750
13004,2022,102933662
13004,2023,104686611
13004,2024,108762491
13071,2022,236504260
13071,2023,245293713
13071,2024,280810369
13072,2022,231490736
13072,2023,235309713
13072,2024,258586590
13073,2022,218123492
13073,2023,221544566
13073,2024,237928995
13074,2022,159669299
13074,2023,162095189
13074,2024,169702710
13075,2022,208404069
13075,2023,228161328
13075,2024,233861122
13076,2022,209326974
13076,2023,217965484
13076,2024,237042917
14511,2022,257847880
14511,2023,269386503
14511,2024,278251027
14521,2022,280500421
14521,2023,297224901
14521,2024,302156828
14522,2022,289143811
14522,2023,308409375
14522,2024,314102245
14523,2022,208888937
14523,2023,214905025
14523,2024,232939728
14524,2022,292186347
14524,2023,323827816
14524,2024,318631972
14612,2022,689107436
14612,2023,730983218
14612,2024,757787429
14625,2022,288233469
14625,2023,297627633
14625,2024,363085723
14626,2022,192847598
14626,2023,298594491
14626,2024,234599058
14627,2022,263664213
14627,2023,269803205
14627,2024,259946937
14628,2022,206491034
14628,2023,219568833
14628,2024,230918220
14713,2022,678037224
14713,2023,851973765
14713,2024,909441877
14729,2022,258532332
14729,2023,315134525
14729,2024,307415529
14730,2022,212038544
14730,2023,204131545
14730,2024,214832109
15001,2022,76873038
15001,2023,73008584
15001,2024,79574322
15002,2022,216156428
15002,2023,215907885
15002,2024,222189622
15003,2022,243128773
15003,2023,259499165
15003,2024,267647421
15081,2022,81697277
15081,2023,79361049
15081,2024,86436654
15082,2022,175230325
15082,2023,198960911
15082,2024,187074918
15083,2022,232574622
15083,2023,204475264
15083,2024,220312095
15084,2022,185993241
15084,2023,248583787
15084,2024,200291150
15085,2022,183329524
15085,2023,186424694
15085,2024,208867477
15086,2022,81638675
15086,2023,84241172
15086,2024,94759726
15087,2022,102632774
15087,2023,106655918
15087,2024,118163406
15088,2022,258584946
15088,2023,423331322
15088,2024,303434359
15089,2022,176322265
15089,2023,185264069
15089,2024,200556774
15090,2022,123742484
15090,2023,109318644
15090,2024,103703492
15091,2022,128495791
15091,2023,127449429
15091,2024,130583930
16051,2022,229810967
16051,2023,265821103
16051,2024,242655467
16052,2022,75474864
16052,2023,79969858
16052,2024,91477434
16053,2022,146918150
16053,2023,145079765
16053,2024,146412867
16054,2022,35819510
16054,2023,32427866
16054,2024,34988902
16055,2022,54202352
16055,2023,55902695
16055,2024,58252321
16061,2022,92412406
16061,2023,105524359
16061,2024,113030767
16062,2022,73393187
16062,2023,75208374
16062,2024,72744478
16063,2022,178442557
16063,2023,159752432
16063,2024,164918286
16064,2022,88653797
16064,2023,94290894
16064,2024,92174321
16065,2022,63486131
16065,2023,66338165
16065,2024,62205283
16066,2022,119553485
16066,2023,123227539
16066,2024,125052845
16067,2022,121940313
16067,2023,124261184
16067,2024,133793293
16068,2022,67716628
16068,2023,78027602
16068,2024,74521505
16069,2022,52884397
16069,2023,53344837
