ags,year,stays_per_resident
10041,2024,2.4
10042,2024,6.2
10043,2024,1.1
10044,2024,1.1
10045,2024,3
10046,2024,10.5
11000,2024,8.3
12051,2024,3.5
12052,2024,3.1
12053,2024,2.5
12054,2024,7.7
12060,2024,4.2
12061,2024,13.3
12062,2024,2.6
12063,2024,1.5
12064,2024,3.5
12065,2024,2.4
12066,2024,8.6
12067,2024,7.2
12068,2024,11.1
12069,2024,5.6
12070,2024,5.2
12071,2024,7.6
12072,2024,3.4
12073,2024,8.3
13003,2024,10.9
13004,2024,4.4
13071,2024,15.2
13072,2024,24.7
13073,2024,48.5
13074,2024,17
13075,2024,30.4
13076,2024,5.3
14511,2024,2
14521,2024,5.4
14522,2024,1.9
14523,2024,6.1
14524,2024,1.6
14612,2024,8.2
14625,2024,2.6
14626,2024,5.1
14627,2024,3
14628,2024,10.6
14713,2024,6.3
14729,2024,2.9
14730,2024,4.1
15001,2024,3
15002,2024,1.9
15003,2024,3.2
15081,2024,4.3
15082,2024,1.9
15083,2024,2.7
15084,2024,4.1
15085,2024,12.9
15086,2024,1.9
15087,2024,2.7
15088,2024,2.3
15089,2024,2.5
15090,2024,3.1
15091,2024,5.7
16051,2024,4.9
16052,2024,1.4
16053,2024,3.5
16054,2024,5.3
16055,2024,12.1
16061,2024,3.7
16062,2024,2.1
16063,2024,7.8
16064,2024,4.5
16065,2024,4.8
16066,2024,6.1
16067,2024,7.5
16068,2024,1.4
16069,2024,5.7
16070,2024,3.5
16071,2024,6.5
16072,2024,3.2
16073,2024,4.7
16074,2024,4
16075,2024,6.8
16076,2024,1.7
16077,2024,1.8
10041100,2024,3.9
11001001,2024,37.8
11002002,2024,16.6
11003003,2024,2.9
11004004,2024,14.8
11005005,2024,2.5
11006006,2024,1.3
11007007,2024,5.1
11008008,2024,2.6
11009009,2024,3.5
11010010,2024,1.1
11011011,2024,4.2
11012012,2024,1.4
09473,2024,3.6
08236,2024,1.1
02000,2024,8.6
03403,2024,2.2
08311,2024,9.2
08127,2024,3
09375,2024,1.9
05124,2024,1.8
06636,2024,6.5
09461,2024,11.1
09278,2024,5.6
03151,2024,1.8
08116,2024,3
05366,2024,4.4
09363,2024,1.8
07338,2024,0.8
05112,2024,1.2
07315,2024,5.2
09571,2024,8.1
05158,2024,1.8
08421,2024,6.6
09472,2024,7.1
08237,2024,13.2
08335,2024,10.5
03404,2024,3.1
05562,2024,1.2
06635,2024,20.5
08126,2024,3.7
09374,2024,2.6
09279,2024,2.1
05978,2024,1.1
08225,2024,3.5
09362,2024,9.1
08115,2024,2.8
05111,2024,9
07337,2024,7.4
07314,2024,1.9
01004,2024,2.5
09471,2024,2.6
05570,2024,1.9
09373,2024,3.1
03153,2024,20.1
03241001,2024,4.6
06634,2024,3.2
03405,2024,4.9
08125,2024,3.8
06611,2024,4.7
05122,2024,0.6
08222,2024,5.3
03251,2024,3.2
05958,2024,15.5
09361,2024,2.4
01003,2024,10.5
07317,2024,2.4
06535,2024,4.9
08235,2024,9.4
08212,2024,4.2
05362,2024,3
03361,2024,2.4
09372,2024,12.9
01059,2024,8.9
06633,2024,3.5
05374,2024,3
05911,2024,2.2
05120,2024,0.7
01002,2024,4.3
03360,2024,7.6
08136,2024,2.4
07339,2024,3.1
07316,2024,4.2
08211,2024,15.4
09190,2024,4.7
06534,2024,2.7
09262,2024,10.5
01061,2024,1.2
09661,2024,3.9
05711,2024,1.9
06632,2024,8.3
09187,2024,9.8
08315,2024,17.9
09563,2024,2.5
05166,2024,1.3
03358,2024,22.1
08436,2024,12.3
09274,2024,1.5
06440,2024,3.6
09673,2024,11.5
09176,2024,6.2
08326,2024,7.3
07319,2024,1.8
09477,2024,3.1
09575,2024,6.7
01062,2024,1.5
05515,2024,6.2
05154,2024,2.7
03456,2024,6.1
07141,2024,6.5
06533,2024,3.7
05758,2024,1.6
08425,2024,3
09476,2024,2.9
09263,2024,3.3
01060,2024,2.5
09188,2024,5.5
08316,2024,4
06631,2024,7.7
09562,2024,5.9
09771,2024,1.3
09275,2024,19.1
03359,2024,3
09464,2024,3
08437,2024,4.5
09672,2024,19.9
05974,2024,5.5
08119,2024,1.5
03457,2024,10.8
09177,2024,9.9
08327,2024,2.4
07318,2024,5.8
09574,2024,1.8
07140,2024,7.7
05966,2024,4.1
06532,2024,2
09475,2024,5.4
08215,2024,2.2
05382,2024,2.1
08336,2024,5.5
09189,2024,17.6
09377,2024,5
09561,2024,3.2
07132,2024,1.7
03401,2024,0.8
09276,2024,26.3
05954,2024,1.7
09463,2024,4
08226,2024,2.4
09671,2024,2.6
09178,2024,7.2
08118,2024,1.9
03458,2024,3.2
05513,2024,1.3
06431,2024,2.4
09573,2024,1.9
07143,2024,3.7
08216,2024,2.7
06531,2024,1.7
09474,2024,3.4
03402,2024,5.3
08128,2024,7.6
09376,2024,2.9
08337,2024,7.2
07131,2024,8.2
08435,2024,14
09277,2024,7.6
09462,2024,7.2
05162,2024,2
05370,2024,1.1
03459,2024,5.1
08325,2024,2
09179,2024,1.9
08117,2024,2.6
09780,2024,38.8
09572,2024,3.1
06432,2024,1.9
09763,2024,5.3
07232,2024,8.7
04011,2024,4.3
09677,2024,3.9
09183,2024,1.6
03159,2024,5.9
03257,2024,4.7
01054,2024,59.1
05316,2024,1.2
07111,2024,7.9
07134,2024,4.7
09774,2024,7.7
08417,2024,1.6
03354,2024,5.7
03102,2024,2
09172,2024,27.9
03452,2024,23.4
06433,2024,4
09762,2024,2.2
09764,2024,4.5
05754,2024,1.5
07231,2024,16.8
05315,2024,6.9
09676,2024,2.3
09161,2024,4.6
03158,2024,0.9
09184,2024,7.6
04012,2024,3.6
01053,2024,3.5
03256,2024,2.5
07133,2024,6.3
07340,2024,4.5
09775,2024,2.8
09271,2024,3.5
05766,2024,4.6
05970,2024,2.7
03355,2024,4
03101,2024,2.8
05119,2024,2.8
06411,2024,4.7
05512,2024,0.7
09173,2024,9.9
05558,2024,3
06434,2024,5.2
03453,2024,2.8
08426,2024,4.1
09577,2024,11.1
09663,2024,8.1
05774,2024,3.4
05962,2024,0.9
05314,2024,5.1
09675,2024,8.5
09185,2024,1.6
09162,2024,13.2
08317,2024,10.2
09772,2024,1.5
07320,2024,1.4
08415,2024,4
09272,2024,14
03356,2024,1.4
07211,2024,8.4
06412,2024,14.8
09174,2024,3.3
09479,2024,5.5
06435,2024,3.3
03454,2024,7.3
07332,2024,7
05170,2024,1.8
07331,2024,1.1
09261,2024,4.8
09576,2024,3.1
09662,2024,4.6
09186,2024,2.2
09163,2024,4.9
01051,2024,14.2
09564,2024,7.3
09773,2024,2.2
07135,2024,31
09565,2024,2.5
09273,2024,7.3
08416,2024,1.9
03103,2024,4.8
09674,2024,2.2
03357,2024,3.3
07233,2024,25.4
06413,2024,4.7
09175,2024,2.7
09478,2024,9.1
03455,2024,20.5
09761,2024,4
06436,2024,4
05117,2024,1
08111,2024,7.6
05358,2024,2.1
09371,2024,3
03155,2024,3.6
03460,2024,2.9
01058,2024,6.4
05914,2024,1.5
07138,2024,2.2
09778,2024,7.3
06414,2024,4.7
01001,2024,4
08135,2024,1.8
08231,2024,1.8
05334002,2024,4.1
07334,2024,1.1
05116,2024,1.4
07311,2024,1.9
06437,2024,4.1
05334,2024,3
03154,2024,1.5
05566,2024,2
03461,2024,8.7
08221,2024,11.8
09180,2024,38.1
01057,2024,10.3
03252,2024,7.8
07137,2024,4.2
05913,2024,2.6
09779,2024,2.8
05762,2024,8.3
03351,2024,4.9
06438,2024,2.4
07235,2024,8.6
05554,2024,1.8
07333,2024,2
03241,2024,3.5
05770,2024,4.4
09679,2024,3.1
03157,2024,0.8
09181,2024,2.6
03462,2024,47.8
03255,2024,3
01056,2024,2.2
09776,2024,22.3
05916,2024,0.5
08121,2024,4.2
03352,2024,11.9
06439,2024,5.7
07336,2024,1.6
05114,2024,1.2
07313,2024,2.6
05378,2024,1.7
09678,2024,0.9
09182,2024,23.6
01055,2024,45.6
03254,2024,2.4
09777,2024,27
05915,2024,1.1
03353,2024,3
03451,2024,6.6
09171,2024,2.7
05113,2024,3.2
07335,2024,2.6
07312,2024,3.5
