ags,year,persons
10041,2018,43864
10041,2020,43003
10041,2022,41559
10041,2024,41419
10042,2018,5227
10042,2020,4898
10042,2022,5278
10042,2024,5061
10043,2018,12686
10043,2020,12572
10043,2022,12607
10043,2024,12812
10044,2018,12157
10044,2020,11286
10044,2022,12213
10044,2024,12720
10045,2018,9010
10045,2020,8107
10045,2022,8082
10045,2024,8258
10046,2018,3818
10046,2020,3329
10046,2022,3845
10046,2024,4246
11000,2018,513489
11000,2020,501591
11000,2022,468325
12051,2018,8934
12051,2020,7728
12051,2022,7647
12051,2024,7441
12052,2018,12711
12052,2020,10756
12052,2022,10301
12052,2024,9912
12053,2018,7205
12053,2020,6182
12053,2022,5908
12053,2024,5801
12054,2018,13756
12054,2020,13127
12054,2022,12576
12054,2024,12244
12060,2018,12105
12060,2020,10784
12060,2022,10068
12060,2024,9720
12061,2018,8426
12061,2020,7656
12061,2022,7643
12061,2024,7515
12062,2018,7854
12062,2020,6472
12062,2022,6195
12062,2024,6048
12063,2018,9607
12063,2020,8491
12063,2022,8769
12063,2024,9410
12064,2018,12653
12064,2020,10730
12064,2022,10310
12064,2024,10137
12065,2018,12060
12065,2020,10239
12065,2022,10211
12065,2024,9747
12066,2018,10149
12066,2020,8128
12066,2022,7585
12066,2024,7565
12067,2018,12861
12067,2020,11118
12067,2022,10815
12067,2024,10584
12068,2018,7798
12068,2020,6507
12068,2022,6345
12068,2024,6162
12069,2018,7592
12069,2020,6725
12069,2022,7436
12069,2024,7280
12070,2018,7279
12070,2020,6179
12070,2022,5977
12070,2024,5858
12071,2018,8424
12071,2020,6889
12071,2022,6591
12071,2024,6144
12072,2018,9237
12072,2020,8183
12072,2022,8104
12072,2024,8123
12073,2018,14665
12073,2020,12539
12073,2022,11536
12073,2024,12024
13003,2018,21461
13003,2020,17573
13003,2022,16394
13003,2024,15860
13004,2018,12346
13004,2020,11128
13004,2022,10967
13004,2024,11270
13071,2018,26079
13071,2020,21463
13071,2022,20971
13071,2024,20583
13072,2018,14135
13072,2020,11940
13072,2022,12013
13072,2024,12178
13073,2018,19478
13073,2020,16581
13073,2022,16222
13073,2024,15883
13074,2018,10991
13074,2020,9410
13074,2022,9754
13074,2024,9170
13075,2018,23157
13075,2020,19656
13075,2022,18879
13075,2024,18219
13076,2018,13931
13076,2020,12122
13076,2022,11973
13076,2024,11490
14511,2018,22356
14511,2020,19762
14511,2022,20759
14511,2024,23745
14521,2018,15574
14521,2020,13120
14521,2022,13329
14521,2024,13644
14522,2018,16278
14522,2020,13921
14522,2022,14356
14522,2024,15084
14523,2018,12846
14523,2020,10735
14523,2022,11462
14523,2024,11690
14524,2018,18741
14524,2020,16383
14524,2022,16619
14524,2024,16649
14612,2018,41897
14612,2020,39185
14612,2022,39549
14612,2024,39141
14625,2018,16719
14625,2020,13652
14625,2022,14275
14625,2024,14160
14626,2018,21853
14626,2020,18419
14626,2022,18312
14626,2024,18716
14627,2018,14396
14627,2020,12084
14627,2022,12514
14627,2024,12501
14628,2018,13802
14628,2020,11031
14628,2022,11618
14628,2024,11427
14713,2018,62630
14713,2020,57953
14713,2022,55346
14713,2024,54344
14729,2018,15806
14729,2020,13775
14729,2022,14039
14729,2024,14307
14730,2018,14460
14730,2020,12082
14730,2022,11996
14730,2024,11380
15001,2018,8368
15001,2020,7228
15001,2022,7384
15001,2024,7335
15002,2018,34166
15002,2020,30046
15002,2022,29001
15002,2024,27035
15003,2018,30108
15003,2020,25352
15003,2022,24986
15003,2024,23242
15081,2018,6416
15081,2020,5642
15081,2022,5425
15081,2024,5429
15082,2018,15119
15082,2020,12737
15082,2022,12491
15082,2024,11587
15083,2018,10823
15083,2020,8831
15083,2022,8668
15083,2024,8301
15084,2018,16800
15084,2020,14147
15084,2022,14181
15084,2024,13964
15085,2018,16115
15085,2020,14096
15085,2022,14000
15085,2024,13006
15086,2018,6851
15086,2020,5947
15086,2022,5895
15086,2024,5501
15087,2018,14664
15087,2020,12814
15087,2022,12004
15087,2024,11534
15088,2018,15344
15088,2020,12592
15088,2022,12104
15088,2024,12087
15089,2018,19968
15089,2020,16928
15089,2022,17155
15089,2024,16237
15090,2018,12554
15090,2020,10918
15090,2022,10825
15090,2024,10282
15091,2018,10277
15091,2020,8817
15091,2022,8293
15091,2024,7829
16051,2018,19959
16051,2020,17379
16051,2022,15878
16051,2024,14502
16052,2018,11395
16052,2020,9846
16052,2022,9311
16052,2024,10948
16053,2018,7094
16053,2020,6141
16053,2022,6002
16053,2024,5765
16054,2018,1866
16054,2020,1700
16054,2022,1774
16054,2024,1727
16055,2018,5554
16055,2020,5005
16055,2022,4802
16055,2024,4553
16056,2018,3947
16056,2020,3496
16061,2018,4017
16061,2020,3517
16061,2022,3738
16061,2024,3725
16062,2018,7230
16062,2020,6547
16062,2022,6719
16062,2024,6553
16063,2018,4820
16063,2020,4049
16063,2022,7601
16063,2024,7551
16064,2018,8035
16064,2020,6796
16064,2022,7083
16064,2024,6975
16065,2018,6789
16065,2020,5838
16065,2022,5932
16065,2024,5498
16066,2018,4968
16066,2020,4361
16066,2022,4607
16066,2024,4405
16067,2018,8348
16067,2020,7457
16067,2022,7246
16067,2024,7361
16068,2018,4093
16068,2020,3632
16068,2022,3948
16068,2024,3641
16069,2018,2120
16069,2020,1749
16069,2022,2046
16069,2024,1993
16070,2018,7027
16070,2020,6154
16070,2022,6561
16070,2024,6194
16071,2018,4478
16071,2020,3921
16071,2022,4260
16071,2024,4156
16072,2018,2269
16072,2020,2004
16072,2022,2280
16072,2024,2168
16073,2018,6030
16073,2020,5061
16073,2022,5597
16073,2024,5772
16074,2018,3795
16074,2020,3218
16074,2022,3274
16074,2024,3007
16075,2018,4041
16075,2020,3261
16075,2022,3502
16075,2024,3527
16076,2018,4849
16076,2020,4159
16076,2022,4138
16076,2024,4275
16077,2018,8341
16077,2020,6641
16077,2022,6907
16077,2024,7743
10041100,2018,29212
10041100,2020,28803
10041100,2022,27183
10041100,2024,27048
11001001,2018,77125
11001001,2020,73600
11001001,2022,65446
11001001,2024,57897
11002002,2018,45587
11002002,2020,45358
11002002,2022,38354
11002002,2024,28727
11003003,2018,31703
11003003,2020,32613
11003003,2022,30093
11003003,2024,18532
11004004,2018,30275
11004004,2020,29858
11004004,2022,28503
11004004,2024,40952
11005005,2018,45490
11005005,2020,43751
11005005,2022,42638
11005005,2024,27898
11006006,2018,18444
11006006,2020,18258
11006006,2022,18306
11006006,2024,31628
11007007,2018,45982
11007007,2020,45236
11007007,2022,41885
11007007,2024,38014
11008008,2018,68195
11008008,2020,66798
11008008,2022,60032
11008008,2024,42961
11009009,2018,26838
11009009,2020,27036
11009009,2022,27847
11009009,2024,36528
11010010,2018,40200
11010010,2020,38260
11010010,2022,37129
11010010,2024,63292
11011011,2018,40597
11011011,2020,39822
11011011,2022,39517
11011011,2024,38394
11012012,2018,43053
11012012,2020,41001
11012012,2022,38575
11012012,2024,39407
08125,2018,11663
08125,2020,11603
08125,2022,13494
08125,2024,13779
05122,2018,15110
05122,2020,14709
05122,2022,15188
05122,2024,15585
05358,2018,22559
05358,2020,21874
05358,2022,21871
05358,2024,22414
03460,2018,7250
03460,2020,7082
03460,2022,7289
03460,2024,6489
07319,2018,8192
07319,2020,8104
07319,2022,7745
07319,2024,8147
06411,2018,14175
06411,2020,13939
06411,2022,13902
06411,2024,14294
09189,2018,3924
09189,2020,3836
09189,2022,4323
09189,2024,4603
03459,2018,13427
03459,2020,11806
03459,2022,13364
03459,2024,12771
07137,2018,10365
07137,2020,9040
07137,2022,10003
07137,2024,10307
07132,2018,6119
07132,2020,5820
07132,2022,6957
07132,2024,7675
09190,2018,3475
09190,2020,3365
09190,2022,3748
09190,2024,4350
09564,2018,42131
09564,2020,40849
09564,2022,42581
09564,2024,45040
05915,2018,20145
05915,2020,18704
05915,2022,18149
05915,2024,17682
07314,2018,21110
07314,2020,21363
07314,2022,20244
07314,2024,21894
05554,2018,16145
05554,2020,14840
05554,2022,16571
05554,2024,18187
07320,2018,2504
07320,2020,2534
07320,2022,2574
07320,2024,2671
09662,2018,4896
09662,2020,4482
09662,2022,4507
09662,2024,4846
09479,2018,4137
09479,2020,3516
09479,2022,3588
09479,2024,3749
07235,2018,4212
07235,2020,3745
07235,2022,4148
07235,2024,4156
03157,2018,9775
03157,2020,9458
03157,2022,10240
03157,2024,9879
08317,2018,16265
08317,2020,15968
08317,2022,17895
08317,2024,18841
05314,2018,31771
05314,2020,31570
05314,2022,30362
05314,2024,28978
05758,2018,16645
05758,2020,16076
05758,2022,16500
05758,2024,17002
06531,2018,20948
06531,2020,20982
06531,2022,21645
06531,2024,22745
09577,2018,2520
09577,2020,2430
09577,2022,3407
09577,2024,3176
06433,2018,20354
06433,2020,19967
06433,2022,19953
06433,2024,21013
03402,2018,5947
03402,2020,5637
03402,2022,5636
03402,2024,5331
07333,2018,3709
07333,2020,3523
07333,2022,3665
07333,2024,4014
06414,2018,31572
06414,2020,31121
06414,2022,31092
06414,2024,30459
03255,2018,5325
03255,2020,4908
03255,2022,5323
03255,2024,5191
09675,2018,1964
09675,2020,1772
09675,2022,2231
09675,2024,2165
09778,2018,1799
09778,2020,1854
09778,2022,2334
09778,2024,2668
09173,2018,2902
09173,2020,2906
09173,2022,3430
09173,2024,3424
09271,2018,3017
09271,2020,2989
09271,2022,3109
09271,2024,3137
03358,2018,9519
03358,2020,8666
03358,2022,8870
03358,2024,8871
09773,2018,2499
09773,2020,2397
09773,2022,2817
09773,2024,3214
05954,2018,26251
05954,2020,25489
05954,2022,26285
05954,2024,27573
08326,2018,7377
08326,2020,8081
08326,2022,9222
08326,2024,9571
07336,2018,3832
07336,2020,3523
07336,2022,3873
07336,2024,3798
03353,2018,11243
03353,2020,11003
03353,2022,12268
03353,2024,12283
09176,2018,1660
09176,2020,1786
09176,2022,2624
09176,2024,3201
05154,2018,18296
05154,2020,16217
05154,2022,16682
05154,2024,18365
06632,2018,5833
06632,2020,5303
06632,2022,5857
06632,2024,5731
09262,2018,2839
09262,2020,3063
09262,2022,3172
09262,2024,3652
03101,2018,18176
03101,2020,18126
03101,2022,18884
03101,2024,18078
09274,2018,2777
09274,2020,2996
09274,2022,3361
09274,2024,3947
03456,2018,6489
03456,2020,6036
03456,2022,6822
03456,2024,6645
03153,2018,11662
03153,2020,10893
03153,2022,10567
03153,2024,10447
05166,2018,19317
05166,2020,17540
05166,2022,17555
05166,2024,17847
01058,2018,15721
01058,2020,14340
01058,2022,13873
01058,2024,14608
06436,2018,10973
06436,2020,11024
06436,2022,12050
06436,2024,12366
08416,2018,7849
08416,2020,7610
08416,2022,8121
08416,2024,8688
09372,2018,2573
09372,2020,2510
09372,2022,3153
09372,2024,3417
08415,2018,12446
08415,2020,11865
08415,2022,12367
08415,2024,13140
03251,2018,12453
03251,2020,11466
03251,2022,12046
03251,2024,11338
06534,2018,13662
06534,2020,12471
06534,2022,13733
06534,2024,14125
08437,2018,3581
08437,2020,3342
08437,2022,3767
08437,2024,3916
08135,2018,6394
08135,2020,5945
08135,2022,5878
08135,2024,6281
09186,2018,1437
09186,2020,1483
09186,2022,2013
09186,2024,2275
01001,2018,12152
01001,2020,11752
01001,2022,10663
01001,2024,10121
05362,2018,36315
05362,2020,33925
05362,2022,33697
